,index,NAME,TYPE,STATE,stateIDs,lat,lon,GEOID
0,0,Accomack,County,VA,51,37.76707161,-75.63234615,51001
1,1,Adams,County,PA,42,39.87204983,-77.21604164,42001
2,2,Albemarle,County,VA,51,38.02073717,-78.555084,51003
3,3,Alexandria,City,VA,51,38.814003,-77.08183073,51510
4,4,Allegany,County,MD,24,39.62357628,-78.69280486,24001
5,5,Allegany,County,NY,36,42.25748406,-78.02750466,36003
6,6,Alleghany,County,VA,51,37.78641191,-80.0022305,51005
7,7,Allegheny,County,PA,42,40.47039917,-79.98554139,42003
8,8,Amelia,County,VA,51,37.34081025,-77.98584649,51007
9,9,Amherst,County,VA,51,37.60316808,-79.14556139,51009
10,10,Anne Arundel,County,MD,24,39.00668786,-76.60327934,24003
11,11,Appomattox,County,VA,51,37.37569509,-78.81333746,51011
12,12,Arlington,County,VA,51,38.87676863,-77.10139893,51013
13,13,Armstrong,County,PA,42,40.8178373,-79.46378371,42005
14,14,Atlantic,County,NJ,34,39.47538693,-74.65848483,34001
15,15,Augusta,County,VA,51,38.16228791,-79.1256185,51015
16,16,Baltimore,County,MD,24,39.30209475,-76.61148134,24510
17,18,Barbour,County,WV,54,39.13092549,-80.00368564,54001
18,19,Bath,County,VA,51,38.05852462,-79.73912144,51017
19,20,Beaver,County,PA,42,40.68266486,-80.34970598,42007
20,21,Bedford,County,PA,42,40.00586266,-78.49123865,42009
21,22,Bedford,County,VA,51,37.30805946,-79.52822778,51019
22,23,Berkeley,County,WV,54,39.46708414,-78.02357992,54003
23,24,Berks,County,PA,42,40.41551389,-75.92318433,42011
24,25,Blair,County,PA,42,40.48217287,-78.35076068,42013
25,26,Bland,County,VA,51,37.13428276,-81.12714225,51021
26,27,Boone,County,WV,54,38.01974191,-81.69888019,54005
27,28,Botetourt,County,VA,51,37.55537192,-79.80992902,51023
28,29,Bradford,County,PA,42,41.78869215,-76.51570822,42015
29,30,Braxton,County,WV,54,38.70034948,-80.72010959,54007
30,31,Bristol,City,VA,51,36.61629031,-82.16360037,51520
31,32,Bronx,County,NY,36,40.8520873,-73.86283008,36005
32,33,Brooke,County,WV,54,40.27367263,-80.57915332,54009
33,34,Broome,County,NY,36,42.15903257,-75.81325707,36007
34,35,Brunswick,County,VA,51,36.76366949,-77.8593436,51025
35,36,Buchanan,County,VA,51,37.26818323,-82.03749726,51027
36,37,Buckingham,County,VA,51,37.57242231,-78.52518843,51029
37,38,Bucks,County,PA,42,40.3374017,-75.10876276,42017
38,39,Buena Vista,City,VA,51,37.7370151,-79.35654436,51530
39,40,Burlington,County,NJ,34,39.87681868,-74.66931433,34005
40,41,Butler,County,PA,42,40.91172172,-79.91351117,42019
41,42,Cabell,County,WV,54,38.4206575,-82.23973551,54011
42,43,Calhoun,County,WV,54,38.84317349,-81.11934581,54013
43,44,Calvert,County,MD,24,38.53961642,-76.56820632,24009
44,45,Cambria,County,PA,42,40.4941853,-78.71788306,42021
45,46,Camden,County,NJ,34,39.80338264,-74.96387341,34007
46,47,Cameron,County,PA,42,41.43625568,-78.20376846,42023
47,48,Campbell,County,VA,51,37.20551978,-79.09674063,51031
48,49,Cape May,County,NJ,34,39.14963789,-74.8012637,34009
49,50,Carbon,County,PA,42,40.91508025,-75.70908737,42025
50,51,Caroline,County,MD,24,38.87172293,-75.82904158,24011
51,52,Caroline,County,VA,51,38.02991616,-77.34734766,51033
52,53,Carroll,County,MD,24,39.56465022,-77.02368761,24013
53,54,Carroll,County,VA,51,36.73066666,-80.73455942,51035
54,55,Cecil,County,MD,24,39.56654283,-75.94628056,24015
55,56,Centre,County,PA,42,40.92126,-77.82249856,42027
56,57,Charles,County,MD,24,38.51092331,-76.98580666,24017
57,58,Charles City,County,VA,51,37.3535706,-77.05632773,51036
58,59,Charlotte,County,VA,51,37.01909701,-78.66314092,51037
59,60,Charlottesville,City,VA,51,38.03639622,-78.48597204,51540
