Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.87204983 Degree
Longitude: -77.21604164 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,23,25
10-min:, 13,16,19,21,24,27,29,31,35,37
15-min:, 17,20,24,27,30,33,36,39,43,47
30-min:, 22,27,33,38,44,49,54,59,66,72
60-min:, 28,34,42,49,58,65,73,81,93,104
2-hr:, 32,39,49,57,69,80,92,105,125,142
3-hr:, 35,42,53,62,75,87,100,114,136,155
6-hr:, 44,53,66,77,94,109,125,144,173,199
12-hr:, 54,65,81,95,117,137,159,185,226,263
24-hr:, 63,76,95,111,138,162,191,224,279,329
2-day:, 73,88,109,128,158,186,218,256,318,375
3-day:, 78,93,116,136,167,195,229,268,331,389
4-day:, 83,99,123,143,175,205,239,279,344,403
7-day:, 97,115,141,164,199,231,268,311,379,441
10-day:, 111,132,160,184,220,253,290,332,398,457
20-day:, 150,177,208,235,274,308,346,389,453,508
30-day:, 185,218,252,281,323,359,398,441,505,559
45-day:, 233,272,310,341,385,423,463,506,568,619
60-day:, 277,323,365,400,449,490,533,579,645,700

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,15,17,19,21,23,25,27
10-min:, 15,18,21,24,27,29,32,35,38,41
15-min:, 19,22,27,30,34,37,40,43,48,51
30-min:, 25,30,37,42,49,54,59,65,73,80
60-min:, 31,37,47,54,64,72,81,90,103,114
2-hr:, 36,43,55,64,77,88,101,116,138,157
3-hr:, 40,48,60,70,85,97,112,127,152,173
6-hr:, 50,60,75,88,106,122,141,162,195,223
12-hr:, 62,75,93,109,133,155,180,208,254,294
24-hr:, 70,84,105,123,151,177,207,243,300,353
2-day:, 82,98,122,143,176,206,241,283,349,411
3-day:, 87,104,129,151,184,215,251,294,362,424
4-day:, 92,110,136,158,193,225,262,305,374,437
7-day:, 107,128,156,180,219,253,293,340,413,480
10-day:, 122,145,175,201,240,276,316,362,433,496
20-day:, 160,189,223,250,292,328,368,413,481,540
30-day:, 197,231,268,298,342,380,421,466,534,590
45-day:, 246,287,327,360,407,446,487,533,599,653
60-day:, 292,341,384,420,472,515,560,609,679,737

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,20,21
10-min:, 12,15,17,19,22,24,26,28,30,32
15-min:, 15,18,21,24,27,30,32,35,38,40
30-min:, 20,24,30,34,39,43,48,52,58,63
60-min:, 25,30,38,44,51,58,65,72,82,90
2-hr:, 29,35,44,51,62,71,80,91,107,121
3-hr:, 31,38,48,56,67,76,87,99,116,131
6-hr:, 39,47,59,68,83,95,109,124,147,167
12-hr:, 48,57,72,84,102,118,136,157,188,216
24-hr:, 58,70,87,101,124,145,169,197,241,281
2-day:, 66,80,99,116,142,165,193,224,274,318
3-day:, 71,85,106,123,150,175,203,235,286,332
4-day:, 76,91,112,130,158,184,213,246,299,346
7-day:, 89,106,130,150,181,208,240,276,332,381
10-day:, 102,122,147,169,201,230,261,297,352,400
20-day:, 141,166,195,220,255,286,320,357,412,459
30-day:, 175,206,238,264,303,336,371,409,464,511
45-day:, 221,258,294,323,364,399,435,474,529,574
60-day:, 264,308,347,380,425,463,503,544,603,651

Date/time (GMT):  Thu Feb 29 23:06:05 2024
pyRunTime:  0.012013673782348633
