Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.02073717 Degree
Longitude: -78.555084 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,35,37,39,42,44
30-min:, 24,29,36,41,47,52,57,61,67,71
60-min:, 30,37,46,53,63,71,78,86,96,104
2-hr:, 36,44,55,65,78,88,98,110,125,138
3-hr:, 40,48,61,71,85,96,108,120,137,151
6-hr:, 51,62,77,91,109,125,141,159,185,207
12-hr:, 65,78,97,115,140,162,186,213,252,287
24-hr:, 77,94,120,142,174,202,233,267,317,361
2-day:, 91,111,141,166,201,232,264,300,352,396
3-day:, 97,118,150,176,214,246,280,317,372,418
4-day:, 103,125,159,186,226,260,296,335,392,440
7-day:, 120,144,180,210,252,288,326,366,425,474
10-day:, 136,163,201,232,276,312,349,389,445,492
20-day:, 178,213,257,292,339,376,414,452,505,545
30-day:, 219,259,307,343,390,426,460,495,540,574
45-day:, 273,323,377,418,470,508,546,582,628,662
60-day:, 321,377,435,479,534,575,613,650,697,731

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,22,23,25
10-min:, 16,19,22,25,28,30,32,34,37,39
15-min:, 20,24,28,31,35,38,41,43,46,49
30-min:, 27,33,40,45,52,57,62,67,74,79
60-min:, 34,41,51,59,69,78,86,94,106,115
2-hr:, 42,50,63,74,88,100,111,124,141,156
3-hr:, 46,56,70,81,97,110,123,137,156,173
6-hr:, 58,70,87,102,123,140,159,180,209,234
12-hr:, 74,89,111,131,159,184,211,241,286,326
24-hr:, 87,105,134,158,193,224,257,294,350,398
2-day:, 102,124,157,184,224,257,293,333,392,441
3-day:, 108,130,166,194,236,271,309,350,412,463
4-day:, 113,137,174,204,248,284,324,367,431,485
7-day:, 130,157,196,228,274,313,354,399,464,518
10-day:, 147,176,217,251,298,336,377,421,483,535
20-day:, 191,227,275,312,362,402,443,485,543,589
30-day:, 233,276,326,364,415,452,490,527,577,614
45-day:, 289,342,399,442,497,538,578,617,669,706
60-day:, 338,398,459,504,562,605,647,687,738,775

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,26,27,29,30
15-min:, 16,19,23,25,28,31,33,34,36,38
30-min:, 22,27,32,37,42,46,50,54,58,61
60-min:, 27,33,41,48,56,63,69,75,83,89
2-hr:, 32,39,49,57,68,76,85,94,106,115
3-hr:, 35,42,53,62,74,83,93,102,115,126
6-hr:, 45,55,68,79,95,108,121,135,155,171
12-hr:, 57,69,86,101,122,140,158,178,207,232
24-hr:, 70,84,108,127,155,178,203,230,270,302
2-day:, 82,99,126,148,179,204,231,260,301,334
3-day:, 88,107,136,159,192,219,248,279,323,359
4-day:, 95,115,145,170,206,235,266,299,345,383
7-day:, 110,133,166,192,230,261,293,327,374,413
10-day:, 126,151,186,214,253,285,317,351,397,435
20-day:, 167,200,241,273,315,349,382,416,461,495
30-day:, 206,245,289,322,366,398,430,460,499,528
45-day:, 258,305,356,394,443,478,512,544,584,614
60-day:, 304,358,413,453,505,542,578,611,652,682

Date/time (GMT):  Thu Feb 29 23:06:07 2024
pyRunTime:  0.00858616828918457
