Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.814003 Degree
Longitude: -77.08183073 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,22,24
10-min:, 15,17,21,23,26,28,31,33,35,37
15-min:, 18,22,26,29,33,36,39,41,45,47
30-min:, 25,30,37,42,49,54,59,64,71,76
60-min:, 31,38,48,55,65,73,82,90,102,111
2-hr:, 36,44,55,64,77,88,99,110,126,140
3-hr:, 38,47,59,69,83,95,107,120,139,155
6-hr:, 47,57,72,84,102,117,134,152,178,201
12-hr:, 56,68,86,102,126,147,171,197,236,270
24-hr:, 65,79,101,121,152,179,209,244,297,343
2-day:, 76,92,117,140,173,202,235,271,326,372
3-day:, 80,97,124,147,182,213,247,285,341,390
4-day:, 84,102,131,155,192,223,259,298,357,408
7-day:, 98,118,149,175,215,249,287,329,391,444
10-day:, 112,134,168,196,236,270,307,347,405,454
20-day:, 151,180,217,247,290,324,360,396,448,488
30-day:, 186,220,261,295,341,378,415,454,506,547
45-day:, 233,275,322,357,404,440,475,510,554,587
60-day:, 277,326,377,415,465,501,536,570,612,643

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,26,29,31,34,36,40,42
15-min:, 20,24,29,32,37,40,43,46,50,53
30-min:, 27,33,41,47,54,60,66,71,80,86
60-min:, 34,42,53,61,72,81,90,100,114,125
2-hr:, 40,48,61,71,85,97,109,122,141,157
3-hr:, 42,52,65,76,92,105,119,134,155,174
6-hr:, 52,63,79,93,113,130,148,169,200,227
12-hr:, 63,76,97,114,141,164,191,221,267,308
24-hr:, 73,88,113,134,167,196,229,266,323,373
2-day:, 84,102,130,155,191,223,258,298,357,409
3-day:, 89,108,137,163,201,234,271,312,375,429
4-day:, 94,113,145,171,211,246,284,327,392,448
7-day:, 108,130,164,193,236,273,314,359,428,486
10-day:, 123,147,184,214,258,295,335,378,442,495
20-day:, 163,194,234,267,312,349,387,427,482,527
30-day:, 200,236,281,317,366,405,445,486,543,588
45-day:, 248,293,342,380,430,468,505,543,591,627
60-day:, 295,346,400,440,493,532,569,606,651,684

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,23,25,27,29,31,32
15-min:, 16,20,24,26,30,32,34,36,39,41
30-min:, 23,28,34,38,44,48,53,57,62,66
60-min:, 28,35,43,50,59,66,72,79,89,96
2-hr:, 33,40,50,58,69,78,87,97,110,120
3-hr:, 35,42,53,62,74,84,94,105,120,132
6-hr:, 43,51,65,75,91,104,117,131,152,168
12-hr:, 51,61,78,91,112,129,147,167,197,222
24-hr:, 59,72,92,110,136,159,184,213,255,291
2-day:, 69,83,107,126,156,181,208,238,281,318
3-day:, 73,88,113,133,164,190,219,250,296,334
4-day:, 77,93,119,141,173,200,230,262,310,350
7-day:, 90,108,136,160,195,225,257,292,342,385
10-day:, 103,123,154,179,215,245,277,310,359,398
20-day:, 140,167,201,229,268,298,329,361,405,439
30-day:, 173,205,243,274,316,349,382,416,461,495
45-day:, 219,258,302,335,379,412,444,475,514,543
60-day:, 261,307,355,391,437,471,503,533,570,597

Date/time (GMT):  Thu Feb 29 23:06:09 2024
pyRunTime:  0.00953984260559082
