Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.62357628 Degree
Longitude: -78.69280486 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,15,16,18,20,22,25
10-min:, 12,14,17,19,22,25,27,30,33,36
15-min:, 14,17,21,24,27,30,34,37,41,45
30-min:, 19,23,28,33,39,43,48,54,61,67
60-min:, 23,28,36,42,50,57,65,73,84,94
2-hr:, 27,33,42,49,60,69,80,91,107,121
3-hr:, 29,35,44,52,64,74,85,97,115,130
6-hr:, 36,43,54,64,77,89,102,116,138,156
12-hr:, 44,53,66,77,94,109,125,143,170,194
24-hr:, 53,63,79,92,112,129,148,169,199,225
2-day:, 61,73,91,106,129,148,168,191,224,251
3-day:, 68,81,100,116,140,160,182,205,239,268
4-day:, 74,88,109,126,152,173,195,219,255,285
7-day:, 86,103,125,143,169,189,211,234,265,292
10-day:, 96,114,136,154,179,199,220,240,269,294
20-day:, 134,158,184,205,231,252,271,291,316,334
30-day:, 166,194,223,245,273,294,315,334,359,377
45-day:, 209,244,277,301,332,354,374,393,416,432
60-day:, 251,292,328,354,386,409,430,449,471,486

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,22,25,27
10-min:, 13,16,19,21,25,27,30,33,36,39
15-min:, 16,19,23,26,31,34,37,41,45,49
30-min:, 21,26,32,37,43,48,54,59,67,74
60-min:, 26,31,40,47,56,64,72,80,93,104
2-hr:, 30,36,46,55,67,77,88,100,118,133
3-hr:, 33,39,50,58,71,82,93,106,126,143
6-hr:, 41,49,61,71,86,99,113,129,152,172
12-hr:, 50,60,74,87,105,121,139,158,188,213
24-hr:, 57,69,85,100,121,139,160,182,215,243
2-day:, 66,79,98,114,138,159,181,205,242,272
3-day:, 73,87,108,125,150,171,195,220,258,291
4-day:, 79,95,117,135,162,184,209,236,275,309
7-day:, 91,109,133,152,179,201,225,250,285,315
10-day:, 101,120,144,163,189,210,232,255,287,318
20-day:, 141,166,193,214,242,263,285,306,334,354
30-day:, 173,203,233,255,285,308,330,351,378,398
45-day:, 218,255,289,314,346,369,391,412,437,455
60-day:, 261,304,341,368,402,426,448,469,493,509

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,16,17,19,21
10-min:, 10,12,15,17,20,22,24,26,28,30
15-min:, 13,15,19,21,24,27,29,32,35,38
30-min:, 17,20,25,29,34,38,42,47,52,57
60-min:, 21,25,32,37,44,50,56,63,72,80
2-hr:, 24,29,37,44,53,61,69,78,92,103
3-hr:, 26,31,40,47,57,65,74,84,98,110
6-hr:, 32,39,49,57,69,78,89,101,118,132
12-hr:, 40,48,59,69,83,96,109,124,145,163
24-hr:, 49,59,73,85,103,118,134,151,175,195
2-day:, 57,68,85,99,118,135,152,171,197,219
3-day:, 63,76,93,108,129,147,165,185,212,234
4-day:, 69,83,102,118,140,159,178,198,227,250
7-day:, 81,97,117,134,157,175,194,213,238,260
10-day:, 91,108,129,146,168,186,204,222,245,266
20-day:, 129,151,176,195,220,239,256,273,295,311
30-day:, 159,186,214,234,261,281,299,317,338,353
45-day:, 201,235,266,289,318,338,357,375,395,409
60-day:, 241,281,316,341,371,393,412,429,449,462

Date/time (GMT):  Thu Feb 29 23:06:11 2024
pyRunTime:  0.01278066635131836
