Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.25748406 Degree
Longitude: -78.02750466 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,16,18,20,22,25,28
10-min:, 10,12,16,18,22,25,28,31,36,40
15-min:, 12,14,18,22,26,29,33,37,42,47
30-min:, 16,20,25,30,36,40,45,50,58,64
60-min:, 21,25,32,38,45,51,57,64,73,81
2-hr:, 25,31,40,47,57,65,73,81,93,103
3-hr:, 28,35,45,53,64,73,82,92,107,118
6-hr:, 34,42,54,64,78,88,99,112,133,151
12-hr:, 42,50,64,75,91,103,116,133,163,191
24-hr:, 49,59,75,89,108,121,136,158,197,232
2-day:, 56,68,88,105,128,144,163,188,230,268
3-day:, 62,75,97,115,140,158,178,205,249,288
4-day:, 67,81,104,123,149,168,189,217,261,301
7-day:, 81,96,121,141,169,190,213,241,285,324
10-day:, 95,111,137,158,187,209,233,261,304,341
20-day:, 138,156,185,209,242,267,293,321,361,393
30-day:, 175,194,226,252,288,315,343,372,410,439
45-day:, 221,242,277,306,346,377,407,436,474,501
60-day:, 259,282,320,352,395,429,462,492,530,556

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,20,23,27,31,37,42
10-min:, 12,15,19,23,29,33,39,44,53,60
15-min:, 15,18,23,27,34,39,46,52,62,70
30-min:, 20,24,31,37,46,53,62,71,85,96
60-min:, 26,31,39,47,59,68,79,90,108,122
2-hr:, 31,38,49,58,74,85,99,114,136,154
3-hr:, 35,42,54,65,83,96,112,129,155,176
6-hr:, 41,50,65,78,100,116,136,156,192,222
12-hr:, 50,60,77,92,117,136,161,185,235,279
24-hr:, 59,71,90,107,138,160,191,218,281,337
2-day:, 67,81,105,126,162,188,224,257,326,387
3-day:, 73,89,115,137,177,205,243,279,351,413
4-day:, 79,96,123,146,187,217,256,294,367,430
7-day:, 95,113,142,167,211,243,284,325,398,461
10-day:, 111,130,160,186,232,265,307,350,423,484
20-day:, 160,181,215,244,295,332,378,426,497,553
30-day:, 202,224,262,293,348,389,438,491,562,616
45-day:, 254,278,320,355,416,462,515,574,647,699
60-day:, 297,324,369,407,473,524,580,645,720,774

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,13,14,15,17,18
10-min:, 8,10,13,15,17,19,20,21,24,25
15-min:, 10,12,15,17,20,22,24,25,28,30
30-min:, 13,16,20,24,28,30,33,34,38,41
60-min:, 17,20,26,30,35,38,41,44,48,51
2-hr:, 21,25,32,38,44,49,53,56,61,65
3-hr:, 23,28,36,43,50,55,60,63,70,75
6-hr:, 28,34,44,52,61,67,73,77,87,96
12-hr:, 35,42,53,62,73,80,88,92,107,122
24-hr:, 41,49,63,74,86,95,105,109,130,149
2-day:, 47,58,74,87,103,114,125,131,152,173
3-day:, 52,64,82,96,113,124,136,143,165,186
4-day:, 57,69,88,103,120,132,144,151,174,194
7-day:, 69,82,103,119,137,150,162,169,190,210
10-day:, 82,95,116,134,152,165,177,184,204,221
20-day:, 119,134,158,178,197,211,221,227,243,256
30-day:, 152,168,194,215,235,249,259,264,277,286
45-day:, 192,210,239,262,283,298,307,311,321,327
60-day:, 226,246,277,302,324,340,348,352,359,363

Date/time (GMT):  Thu Feb 29 23:06:14 2024
pyRunTime:  0.0664510726928711
