Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.78641191 Degree
Longitude: -80.0022305 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,14,15,17,18,19
10-min:, 11,14,16,19,21,23,25,26,28,29
15-min:, 14,17,21,23,27,29,31,33,35,37
30-min:, 19,24,30,34,39,44,48,51,56,60
60-min:, 24,30,38,44,53,59,66,72,81,88
2-hr:, 28,34,43,51,61,68,76,84,95,103
3-hr:, 29,35,45,53,64,72,80,89,101,110
6-hr:, 36,44,55,64,77,88,99,111,127,140
12-hr:, 44,53,66,78,94,109,124,140,164,184
24-hr:, 57,69,86,101,122,139,158,178,207,231
2-day:, 67,81,101,118,141,161,181,202,233,258
3-day:, 71,86,107,125,149,169,190,212,243,268
4-day:, 76,91,113,131,157,177,199,221,253,279
7-day:, 88,105,130,149,176,197,219,242,273,298
10-day:, 101,120,146,166,193,214,235,256,284,306
20-day:, 135,161,192,216,248,273,298,322,355,380
30-day:, 167,197,231,256,289,314,338,361,391,413
45-day:, 211,248,286,314,350,377,402,426,455,476
60-day:, 254,297,337,368,405,432,456,479,506,525

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,20,22
10-min:, 13,15,19,21,24,26,28,30,32,34
15-min:, 16,19,24,27,30,33,35,38,41,43
30-min:, 22,27,34,38,45,49,54,59,65,70
60-min:, 27,34,43,50,59,67,74,82,93,102
2-hr:, 31,37,48,56,67,76,85,94,107,117
3-hr:, 33,40,51,60,71,80,90,100,114,126
6-hr:, 42,50,64,74,89,101,114,128,149,165
12-hr:, 52,62,78,92,111,127,146,166,197,223
24-hr:, 63,76,96,112,135,154,174,197,229,256
2-day:, 74,89,112,130,156,177,200,224,259,287
3-day:, 78,94,118,136,163,185,208,233,268,297
4-day:, 83,99,124,143,170,193,217,242,277,306
7-day:, 95,114,140,161,190,213,237,262,296,325
10-day:, 108,129,157,178,207,229,252,275,306,331
20-day:, 144,171,204,229,263,290,317,344,380,408
30-day:, 177,209,244,271,306,333,358,384,416,440
45-day:, 222,261,301,331,369,397,424,450,482,505
60-day:, 266,311,354,386,425,453,479,504,533,553

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,11,12,13,14,15,15
10-min:, 10,12,14,16,18,20,21,22,24,24
15-min:, 12,15,18,21,23,25,27,28,30,31
30-min:, 17,21,26,30,34,38,41,44,47,50
60-min:, 21,26,33,39,46,51,56,61,68,72
2-hr:, 25,30,39,45,54,60,67,73,81,86
3-hr:, 26,32,41,48,57,63,70,77,86,92
6-hr:, 32,39,49,57,68,76,85,94,106,115
12-hr:, 39,47,59,68,82,93,104,116,133,145
24-hr:, 52,63,79,92,110,125,141,157,180,199
2-day:, 61,74,92,107,127,144,161,179,203,223
3-day:, 66,79,98,114,135,152,170,189,214,234
4-day:, 70,84,105,121,143,161,179,198,225,245
7-day:, 82,98,121,138,162,181,200,220,246,266
10-day:, 94,113,137,155,179,198,216,234,258,277
20-day:, 127,151,180,202,232,254,276,298,326,347
30-day:, 158,186,218,241,272,295,316,337,363,381
45-day:, 200,235,271,298,331,355,378,399,425,443
60-day:, 242,283,322,351,386,411,433,454,478,494

Date/time (GMT):  Thu Feb 29 23:06:16 2024
pyRunTime:  0.009361028671264648
