Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.47039917 Degree
Longitude: -79.98554139 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 12,15,18,20,23,25,27,29,32,33
15-min:, 15,18,22,25,28,31,34,36,39,42
30-min:, 20,24,30,35,40,45,49,53,58,63
60-min:, 25,30,38,44,52,59,65,72,81,88
2-hr:, 28,34,43,50,60,67,75,83,94,103
3-hr:, 30,36,46,53,63,72,80,89,101,111
6-hr:, 36,43,54,62,75,85,95,106,122,134
12-hr:, 42,51,62,72,86,98,110,123,141,156
24-hr:, 50,60,73,84,99,112,125,138,158,173
2-day:, 59,70,84,96,113,126,140,154,173,189
3-day:, 63,75,90,102,119,132,147,161,181,196
4-day:, 67,80,95,108,125,139,153,168,188,203
7-day:, 80,95,112,125,144,158,173,188,207,222
10-day:, 92,109,127,141,161,176,191,206,225,240
20-day:, 129,151,174,193,217,235,253,270,292,309
30-day:, 162,189,216,237,265,286,305,325,349,367
45-day:, 207,241,272,296,327,349,370,390,414,431
60-day:, 250,290,325,351,384,408,431,451,476,493

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,17,18,20,21,24,25
10-min:, 14,17,20,22,25,28,30,32,35,37
15-min:, 17,20,24,27,31,34,37,40,43,46
30-min:, 22,27,34,38,44,49,54,58,64,69
60-min:, 27,33,42,49,58,65,72,79,89,96
2-hr:, 31,38,48,55,65,73,82,90,102,112
3-hr:, 33,40,50,58,69,78,87,97,110,120
6-hr:, 39,47,59,68,81,92,103,115,131,144
12-hr:, 46,55,68,79,94,106,119,132,152,167
24-hr:, 54,64,78,90,106,119,133,147,167,183
2-day:, 63,74,90,103,120,134,149,163,184,200
3-day:, 67,80,96,109,126,141,155,170,191,208
4-day:, 71,85,101,114,133,147,162,177,198,215
7-day:, 85,100,118,132,151,166,181,197,217,233
10-day:, 97,114,133,149,169,185,200,216,236,252
20-day:, 135,159,183,202,227,246,264,283,306,323
30-day:, 170,199,227,249,277,299,320,340,366,385
45-day:, 216,252,284,309,341,364,386,407,432,450
60-day:, 260,302,338,366,400,425,448,469,495,513

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,16,17,19,20
10-min:, 11,14,16,18,21,23,24,26,28,29
15-min:, 14,17,20,22,26,28,30,32,35,37
30-min:, 18,22,27,31,36,40,43,47,52,55
60-min:, 22,27,34,40,47,53,58,64,71,77
2-hr:, 26,31,39,46,54,61,68,75,84,91
3-hr:, 27,33,42,48,57,65,72,80,90,98
6-hr:, 33,40,50,57,68,77,86,95,108,118
12-hr:, 39,47,57,66,78,89,99,110,125,137
24-hr:, 47,56,68,79,93,104,116,128,144,158
2-day:, 55,65,79,90,105,117,130,142,160,173
3-day:, 59,70,84,96,111,124,137,149,167,180
4-day:, 64,75,90,102,118,130,143,156,174,188
7-day:, 76,90,106,119,136,150,163,176,193,206
10-day:, 88,103,121,135,153,167,181,194,212,225
20-day:, 123,144,166,184,206,223,239,255,276,290
30-day:, 155,181,207,227,253,272,291,309,331,347
45-day:, 198,231,261,283,312,333,353,371,394,409
60-day:, 240,279,312,337,369,391,412,432,455,471

Date/time (GMT):  Thu Feb 29 23:06:18 2024
pyRunTime:  0.009833574295043945
