Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.34081025 Degree
Longitude: -77.98584649 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,22
10-min:, 15,17,20,23,25,28,29,31,33,35
15-min:, 18,22,26,29,32,35,37,39,42,43
30-min:, 25,30,36,42,48,53,57,61,66,70
60-min:, 31,38,47,54,64,71,79,86,95,103
2-hr:, 37,45,55,65,78,88,98,109,124,135
3-hr:, 40,48,60,70,84,95,106,118,134,147
6-hr:, 48,58,72,85,103,118,133,150,172,192
12-hr:, 58,70,87,104,127,147,168,191,225,254
24-hr:, 69,84,107,127,156,181,209,239,284,322
2-day:, 81,98,125,147,179,205,234,265,311,348
3-day:, 86,104,132,155,188,216,247,279,327,366
4-day:, 90,109,139,163,198,227,259,293,342,383
7-day:, 104,125,156,181,218,249,281,316,366,407
10-day:, 118,141,174,201,239,270,303,338,386,425
20-day:, 159,190,229,260,303,336,370,404,451,487
30-day:, 196,233,275,308,350,382,413,444,484,514
45-day:, 247,292,341,378,425,460,493,526,567,597
60-day:, 293,345,399,439,489,527,562,596,638,669

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,23,25
10-min:, 17,19,23,26,28,31,33,35,37,39
15-min:, 21,24,29,32,36,39,42,44,47,49
30-min:, 28,34,41,47,53,59,64,68,74,79
60-min:, 35,42,52,61,71,80,88,96,106,115
2-hr:, 42,50,63,74,87,99,110,122,139,152
3-hr:, 45,54,68,80,95,107,120,133,150,165
6-hr:, 55,66,82,97,117,133,151,169,194,216
12-hr:, 66,80,99,118,143,165,188,213,250,283
24-hr:, 79,96,122,145,177,206,237,270,321,364
2-day:, 91,111,141,165,200,230,263,297,349,392
3-day:, 96,116,148,173,210,241,275,311,364,409
4-day:, 100,122,154,181,220,253,288,325,380,427
7-day:, 115,139,173,202,242,276,312,350,407,454
10-day:, 130,156,192,222,263,297,333,372,426,471
20-day:, 172,206,248,282,327,363,399,437,488,528
30-day:, 211,251,296,331,376,411,445,478,522,555
45-day:, 265,313,365,404,455,493,529,564,610,644
60-day:, 314,369,426,468,522,563,601,638,685,719

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,23,26,29,31,33,34,36,38
30-min:, 22,27,32,37,42,47,50,54,58,61
60-min:, 28,34,42,48,57,63,69,75,83,89
2-hr:, 33,39,49,58,68,77,85,94,106,115
3-hr:, 35,42,53,62,73,83,92,102,114,124
6-hr:, 43,51,63,75,89,102,114,127,145,159
12-hr:, 52,62,77,92,111,128,145,163,188,209
24-hr:, 62,75,95,113,137,158,181,205,240,269
2-day:, 73,88,112,131,159,182,206,231,267,297
3-day:, 77,93,118,139,168,192,217,244,282,312
4-day:, 81,98,125,146,177,202,228,256,296,328
7-day:, 94,113,141,164,196,223,251,280,321,354
10-day:, 108,129,159,183,217,245,273,302,343,375
20-day:, 147,175,212,240,278,307,337,367,406,436
30-day:, 182,216,256,286,324,353,380,408,442,467
45-day:, 230,272,317,351,394,426,456,485,520,546
60-day:, 275,324,373,410,457,491,523,553,590,616

Date/time (GMT):  Thu Feb 29 23:06:20 2024
pyRunTime:  0.058208465576171875
