Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.00668786 Degree
Longitude: -76.60327934 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 14,17,20,22,25,27,29,31,34,36
15-min:, 18,21,26,28,32,35,37,40,43,45
30-min:, 24,29,36,41,47,52,57,62,68,73
60-min:, 30,37,46,54,63,71,79,87,97,106
2-hr:, 36,44,55,64,77,87,97,109,124,137
3-hr:, 39,47,60,70,84,95,108,121,139,155
6-hr:, 48,58,73,86,104,120,137,155,182,205
12-hr:, 58,70,89,105,130,152,176,204,245,281
24-hr:, 67,82,106,126,158,186,218,254,310,358
2-day:, 78,95,122,146,181,212,246,285,343,394
3-day:, 82,100,128,153,189,221,257,296,356,408
4-day:, 87,105,134,160,198,231,267,308,369,422
7-day:, 101,121,153,181,222,257,295,338,402,456
10-day:, 114,138,172,200,241,276,313,353,412,462
20-day:, 154,183,222,253,296,332,368,406,458,500
30-day:, 191,225,268,303,350,387,426,465,518,560
45-day:, 240,283,331,368,416,453,489,525,571,605
60-day:, 285,336,388,427,478,516,551,586,629,660

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,18,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 19,23,28,31,35,38,41,44,48,50
30-min:, 27,32,40,45,52,58,63,69,76,82
60-min:, 33,41,51,59,70,78,87,96,109,119
2-hr:, 39,48,61,71,84,96,108,120,139,154
3-hr:, 43,52,66,77,92,105,119,134,156,174
6-hr:, 53,64,81,95,115,133,152,173,205,232
12-hr:, 65,79,100,118,146,171,198,230,278,321
24-hr:, 75,91,118,141,175,206,240,279,338,391
2-day:, 87,105,136,161,200,233,271,313,377,433
3-day:, 91,111,142,169,209,243,282,325,391,448
4-day:, 96,116,149,176,217,253,293,337,404,462
7-day:, 111,133,169,198,242,280,322,369,439,498
10-day:, 125,150,187,218,262,299,339,382,446,501
20-day:, 166,198,239,272,318,356,395,435,493,538
30-day:, 204,242,287,324,374,414,455,497,555,601
45-day:, 255,300,351,390,442,481,519,558,608,645
60-day:, 302,355,410,452,505,545,583,620,667,701

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,18,19,20
10-min:, 13,15,18,20,23,24,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,37,39
30-min:, 22,27,33,37,43,47,51,54,59,63
60-min:, 27,33,42,48,57,63,70,76,85,92
2-hr:, 32,39,50,58,69,77,86,95,108,118
3-hr:, 35,43,54,63,75,85,95,105,120,132
6-hr:, 43,53,66,77,93,106,120,135,155,173
12-hr:, 52,63,80,94,115,133,152,173,203,229
24-hr:, 61,74,96,114,142,165,192,221,265,303
2-day:, 71,86,111,131,162,189,218,250,296,336
3-day:, 75,91,117,138,171,198,228,261,309,349
4-day:, 79,96,123,145,179,207,238,272,321,363
7-day:, 92,111,140,165,201,231,264,300,352,395
10-day:, 106,127,158,184,221,251,283,317,366,407
20-day:, 143,171,206,235,274,305,337,370,415,449
30-day:, 178,211,251,282,326,359,393,428,473,508
45-day:, 226,266,311,345,390,424,457,489,529,559
60-day:, 269,316,365,402,449,483,516,547,585,612

Date/time (GMT):  Thu Feb 29 23:06:24 2024
pyRunTime:  0.009350776672363281
