Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.37569509 Degree
Longitude: -78.81333746 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,21
10-min:, 14,17,20,22,25,27,29,30,32,34
15-min:, 18,21,25,28,31,34,36,38,40,42
30-min:, 24,29,35,40,46,51,55,59,64,68
60-min:, 30,36,45,53,62,69,76,83,92,100
2-hr:, 36,43,54,63,75,85,95,105,119,130
3-hr:, 38,46,58,68,81,92,103,113,128,140
6-hr:, 48,58,72,85,102,117,132,148,171,190
12-hr:, 59,71,89,106,129,149,171,194,228,258
24-hr:, 72,87,111,132,162,188,217,248,295,334
2-day:, 85,103,131,154,187,215,245,277,325,364
3-day:, 90,109,139,163,198,227,259,293,343,384
4-day:, 95,115,146,172,209,240,273,309,361,404
7-day:, 110,132,165,192,231,264,298,335,388,431
10-day:, 125,150,185,214,254,287,321,358,409,451
20-day:, 167,199,240,272,317,351,386,422,471,508
30-day:, 205,243,287,321,365,398,430,462,504,535
45-day:, 256,303,354,392,441,477,512,545,588,619
60-day:, 303,357,411,452,505,543,579,614,657,689

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,18,20,21,22,24
10-min:, 16,18,22,24,27,29,31,33,36,37
15-min:, 19,23,27,31,34,37,40,42,45,47
30-min:, 27,32,39,45,51,56,61,65,71,76
60-min:, 33,40,50,58,68,76,84,92,102,110
2-hr:, 40,48,60,70,83,94,105,117,132,145
3-hr:, 43,52,65,76,90,102,114,126,143,156
6-hr:, 54,65,81,95,114,131,147,165,190,212
12-hr:, 67,80,100,119,144,166,190,216,254,287
24-hr:, 80,96,123,146,179,207,238,272,323,367
2-day:, 93,113,143,168,205,235,268,303,356,401
3-day:, 99,120,152,179,217,249,283,321,376,422
4-day:, 105,127,161,189,229,262,299,338,396,444
7-day:, 119,144,179,209,251,286,323,363,421,470
10-day:, 135,162,200,231,274,310,347,386,442,489
20-day:, 179,214,258,293,340,377,415,454,507,548
30-day:, 218,258,305,341,387,422,457,492,537,571
45-day:, 271,320,374,414,466,504,541,577,624,659
60-day:, 319,376,433,476,531,572,611,648,695,731

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,25,27,28,29
15-min:, 16,19,22,25,28,30,32,34,35,37
30-min:, 22,26,32,36,42,46,49,52,56,59
60-min:, 27,33,41,47,55,62,68,74,81,87
2-hr:, 32,38,48,57,67,75,83,92,103,111
3-hr:, 34,42,52,61,72,81,90,99,110,119
6-hr:, 43,52,65,76,90,103,115,128,145,159
12-hr:, 54,64,80,95,114,131,148,166,191,213
24-hr:, 66,80,102,120,147,169,193,219,256,288
2-day:, 78,95,120,141,170,194,220,247,286,317
3-day:, 83,100,127,149,180,205,232,261,302,335
4-day:, 87,106,134,157,189,216,245,275,317,352
7-day:, 101,122,152,177,211,239,269,300,344,378
10-day:, 116,139,171,197,233,262,292,323,366,400
20-day:, 155,185,224,253,293,324,355,387,428,459
30-day:, 193,229,270,302,342,373,402,430,466,493
45-day:, 243,287,335,371,416,449,481,511,548,575
60-day:, 288,338,390,429,477,513,546,577,616,644

Date/time (GMT):  Thu Feb 29 23:06:27 2024
pyRunTime:  0.1232609748840332
