Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.87676863 Degree
Longitude: -77.10139893 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,22,24
10-min:, 15,17,21,23,26,28,31,33,35,37
15-min:, 18,22,26,29,33,36,39,41,45,47
30-min:, 25,30,37,42,49,54,59,64,71,76
60-min:, 31,38,48,55,65,73,82,90,102,111
2-hr:, 36,44,56,65,78,88,99,111,127,141
3-hr:, 39,47,59,69,84,95,108,121,140,156
6-hr:, 47,57,72,84,103,118,135,153,180,203
12-hr:, 57,69,87,103,128,149,173,199,239,274
24-hr:, 66,80,103,123,154,181,212,247,301,349
2-day:, 77,93,119,141,175,204,237,274,329,376
3-day:, 81,98,125,149,184,215,249,288,345,395
4-day:, 85,103,132,156,194,226,262,301,362,413
7-day:, 99,119,151,177,218,252,291,333,397,451
10-day:, 113,136,170,198,239,274,311,351,411,461
20-day:, 153,182,219,250,293,328,364,401,453,494
30-day:, 188,222,264,298,345,382,420,459,513,554
45-day:, 236,279,325,362,409,446,481,516,562,595
60-day:, 281,330,382,421,471,508,544,578,622,653

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,26,29,31,34,36,40,42
15-min:, 20,24,29,32,37,40,43,46,50,53
30-min:, 27,33,41,47,54,60,66,71,79,86
60-min:, 34,42,53,61,72,81,90,100,114,125
2-hr:, 40,49,61,71,85,97,109,123,142,158
3-hr:, 43,52,66,77,92,105,119,134,156,175
6-hr:, 52,63,80,93,113,131,150,171,202,229
12-hr:, 64,77,98,115,142,166,193,224,271,313
24-hr:, 74,89,114,136,169,199,232,270,328,379
2-day:, 85,103,132,156,193,225,260,300,360,413
3-day:, 90,109,139,165,203,236,274,315,378,434
4-day:, 95,115,146,173,213,248,287,331,397,454
7-day:, 109,131,166,195,239,276,318,364,434,494
10-day:, 124,149,186,217,262,299,339,383,449,504
20-day:, 165,196,237,270,316,353,392,432,488,534
30-day:, 202,239,284,321,371,411,451,493,551,596
45-day:, 251,296,346,385,435,474,512,550,599,636
60-day:, 298,351,405,446,499,539,577,615,661,696

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,23,25,27,29,31,32
15-min:, 16,20,24,26,30,32,34,36,39,41
30-min:, 23,27,34,38,44,48,53,57,62,66
60-min:, 28,34,43,50,59,66,72,79,89,96
2-hr:, 33,40,51,59,70,79,88,97,110,121
3-hr:, 35,43,54,63,75,85,95,106,121,133
6-hr:, 43,52,65,76,92,104,118,133,153,170
12-hr:, 51,62,79,92,113,130,149,169,199,224
24-hr:, 60,73,93,111,138,161,187,216,259,295
2-day:, 70,84,108,128,157,182,210,240,284,322
3-day:, 74,89,114,135,166,192,221,253,299,338
4-day:, 78,94,120,142,175,202,232,265,314,354
7-day:, 91,109,138,162,197,227,260,296,347,390
10-day:, 104,125,156,181,218,248,280,314,364,404
20-day:, 142,169,204,232,270,301,333,365,409,444
30-day:, 175,207,246,277,320,353,387,421,467,501
45-day:, 222,261,305,339,383,416,449,481,521,550
60-day:, 265,311,359,396,442,477,509,540,578,605

Date/time (GMT):  Thu Feb 29 23:06:29 2024
pyRunTime:  0.00935506820678711
