Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.8178373 Degree
Longitude: -79.46378371 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 13,15,18,20,23,25,28,30,32,34
15-min:, 15,18,22,25,29,31,34,37,40,42
30-min:, 20,25,31,35,41,45,49,54,59,63
60-min:, 25,30,38,45,53,59,66,73,82,89
2-hr:, 29,35,44,51,60,68,76,84,95,104
3-hr:, 31,37,46,54,64,73,81,90,103,113
6-hr:, 36,44,55,63,76,86,96,108,123,136
12-hr:, 44,52,64,75,89,101,113,127,146,161
24-hr:, 52,62,75,87,102,115,129,143,163,179
2-day:, 60,72,87,99,116,130,144,159,179,194
3-day:, 65,77,92,105,123,137,151,166,186,202
4-day:, 69,82,98,111,129,143,158,173,194,210
7-day:, 84,99,116,130,150,165,180,195,215,230
10-day:, 97,114,133,148,169,184,200,216,236,252
20-day:, 136,160,184,203,228,248,266,285,308,326
30-day:, 172,201,229,252,281,303,324,345,371,390
45-day:, 221,257,290,316,348,372,394,416,442,460
60-day:, 267,310,347,376,411,437,461,483,509,528

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,26
10-min:, 14,17,20,23,26,28,30,33,35,37
15-min:, 17,21,25,28,32,35,38,40,44,46
30-min:, 23,27,34,39,45,50,54,59,65,70
60-min:, 28,34,43,49,58,65,73,80,90,98
2-hr:, 32,38,48,56,66,75,83,92,104,113
3-hr:, 34,41,51,59,71,80,89,99,112,123
6-hr:, 40,49,60,70,83,94,105,117,134,147
12-hr:, 48,57,71,81,97,109,123,137,157,173
24-hr:, 56,67,81,93,110,123,138,152,173,189
2-day:, 65,77,93,106,124,138,153,169,190,206
3-day:, 70,83,99,113,131,146,161,177,198,215
4-day:, 75,88,105,119,138,154,169,185,207,224
7-day:, 89,105,124,139,159,175,191,207,228,244
10-day:, 103,121,141,157,179,195,212,228,250,266
20-day:, 144,168,194,214,240,261,280,299,324,342
30-day:, 181,212,242,265,296,319,341,363,390,410
45-day:, 232,271,305,332,366,391,415,437,464,484
60-day:, 281,326,366,395,433,460,485,508,536,556

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,18,19,21
10-min:, 11,14,16,19,21,23,25,26,28,30
15-min:, 14,17,20,23,26,28,31,33,35,37
30-min:, 18,22,28,32,37,40,44,48,52,56
60-min:, 23,28,35,40,48,53,59,65,72,79
2-hr:, 26,31,40,46,54,61,68,75,84,91
3-hr:, 28,34,42,49,58,65,73,81,91,99
6-hr:, 33,40,50,58,69,77,87,96,109,119
12-hr:, 40,48,59,68,81,91,102,113,129,141
24-hr:, 48,57,70,80,95,107,119,131,148,162
2-day:, 56,67,81,92,108,120,133,146,164,177
3-day:, 61,72,86,98,114,127,140,153,171,184
4-day:, 65,77,92,104,120,133,146,160,177,191
7-day:, 78,92,109,122,140,154,167,181,199,212
10-day:, 91,108,126,140,159,173,188,202,220,234
20-day:, 129,151,174,192,216,234,251,268,289,304
30-day:, 163,191,218,239,266,287,306,325,349,366
45-day:, 210,244,276,300,330,353,373,393,417,433
60-day:, 254,295,330,357,390,415,437,457,482,499

Date/time (GMT):  Thu Feb 29 23:06:31 2024
pyRunTime:  0.009334802627563477
