Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.47538693 Degree
Longitude: -74.65848483 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,23
10-min:, 14,17,20,22,25,27,29,31,34,36
15-min:, 18,21,25,28,32,35,37,39,42,45
30-min:, 24,29,36,41,47,52,57,61,67,72
60-min:, 30,37,46,53,63,71,78,86,97,105
2-hr:, 37,45,56,66,79,89,100,111,126,138
3-hr:, 41,49,62,73,87,100,112,125,143,159
6-hr:, 50,60,75,89,108,124,142,160,186,209
12-hr:, 60,72,90,108,133,156,180,207,246,282
24-hr:, 69,84,109,131,164,193,226,263,319,368
2-day:, 79,97,126,150,188,221,257,299,361,415
3-day:, 83,101,131,156,195,228,265,306,368,421
4-day:, 87,106,136,163,201,235,272,313,374,427
7-day:, 101,122,154,182,222,257,295,337,400,452
10-day:, 113,136,169,197,236,270,306,344,404,455
20-day:, 152,180,218,249,291,326,362,399,450,491
30-day:, 188,223,266,300,346,383,420,458,509,549
45-day:, 239,282,330,367,416,452,488,524,569,603
60-day:, 284,334,386,425,475,512,546,579,621,650

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,18,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,35,39,41,44,48,51
30-min:, 27,32,39,45,52,58,63,69,76,82
60-min:, 34,41,50,59,70,79,87,97,109,120
2-hr:, 42,51,64,76,90,102,115,128,146,162
3-hr:, 47,56,71,84,100,115,130,145,167,187
6-hr:, 58,70,87,103,125,144,165,187,218,247
12-hr:, 69,83,104,124,152,179,208,240,287,331
24-hr:, 76,93,121,145,180,212,247,287,347,400
2-day:, 88,107,139,167,208,244,284,329,397,458
3-day:, 92,112,144,172,214,250,290,335,402,462
4-day:, 96,116,150,178,220,256,296,340,407,466
7-day:, 110,133,168,198,242,279,320,365,433,490
10-day:, 122,147,183,213,256,291,329,371,435,491
20-day:, 162,192,233,265,311,347,385,424,480,524
30-day:, 200,237,282,318,367,406,445,486,541,584
45-day:, 252,297,348,387,438,477,515,552,601,638
60-day:, 299,351,407,447,499,538,575,610,654,686

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,26,27,29,30
15-min:, 16,19,22,25,28,31,33,34,37,38
30-min:, 22,26,32,36,42,46,50,54,58,62
60-min:, 27,33,41,47,56,62,69,75,83,90
2-hr:, 33,40,49,58,69,77,86,95,106,115
3-hr:, 36,43,54,63,75,85,95,105,119,130
6-hr:, 44,53,66,78,93,107,121,135,154,170
12-hr:, 53,64,80,95,116,134,153,173,201,226
24-hr:, 63,77,99,119,148,173,200,231,276,314
2-day:, 72,88,114,136,169,197,228,262,312,354
3-day:, 76,92,119,142,176,204,236,270,320,363
4-day:, 80,97,125,148,183,212,244,278,329,371
7-day:, 93,113,142,167,204,234,267,303,355,397
10-day:, 105,126,157,182,218,248,279,312,363,406
20-day:, 143,170,205,233,272,303,335,368,412,447
30-day:, 178,210,250,282,325,359,392,426,470,504
45-day:, 227,268,313,348,393,427,460,492,532,562
60-day:, 270,318,368,405,451,485,517,547,584,610

Date/time (GMT):  Thu Feb 29 23:06:33 2024
pyRunTime:  0.009349584579467773
