Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.16228791 Degree
Longitude: -79.1256185 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,18,20
10-min:, 12,14,17,19,22,24,25,27,29,31
15-min:, 15,18,21,24,27,30,32,34,37,39
30-min:, 20,24,30,35,41,45,49,53,59,62
60-min:, 25,30,39,46,54,61,68,75,84,91
2-hr:, 30,36,46,54,65,73,82,91,103,112
3-hr:, 32,39,49,58,69,78,88,97,111,122
6-hr:, 40,48,61,71,85,97,110,123,142,157
12-hr:, 50,60,75,88,106,122,140,159,187,211
24-hr:, 61,74,93,109,133,152,172,195,226,252
2-day:, 71,86,108,126,152,173,195,218,251,278
3-day:, 76,92,115,134,161,183,207,231,265,293
4-day:, 81,98,122,142,171,194,218,244,279,308
7-day:, 93,112,139,161,190,214,239,264,299,326
10-day:, 107,129,157,179,209,232,255,279,310,334
20-day:, 144,171,204,231,266,293,321,348,384,412
30-day:, 178,210,246,274,310,337,364,389,422,446
45-day:, 223,263,304,334,373,402,429,455,487,509
60-day:, 267,312,356,389,429,458,484,509,538,558

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,20,24,27,30,33,36,38,41,44
30-min:, 22,27,34,39,45,50,55,59,66,71
60-min:, 28,34,43,51,60,68,75,83,94,103
2-hr:, 33,40,51,60,71,81,91,101,115,126
3-hr:, 36,43,55,64,77,87,97,109,124,137
6-hr:, 45,54,67,79,95,108,122,138,160,179
12-hr:, 57,68,84,99,120,138,158,181,215,244
24-hr:, 67,81,102,120,144,165,188,213,248,277
2-day:, 78,94,118,138,165,188,212,238,275,305
3-day:, 83,100,125,146,175,199,224,251,289,320
4-day:, 88,106,133,154,185,210,237,264,303,335
7-day:, 101,121,150,173,205,231,258,285,324,353
10-day:, 115,138,168,192,224,249,274,299,333,360
20-day:, 153,182,218,246,283,313,342,372,412,442
30-day:, 188,222,261,290,328,357,385,413,449,475
45-day:, 235,277,320,352,393,424,453,481,515,540
60-day:, 280,328,374,408,450,480,508,535,566,588

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,17
10-min:, 10,13,15,17,19,21,22,24,25,26
15-min:, 13,16,19,22,24,26,28,30,31,33
30-min:, 18,22,27,31,36,40,43,46,50,53
60-min:, 22,27,35,41,48,54,59,65,72,77
2-hr:, 27,33,42,49,58,65,72,79,88,95
3-hr:, 29,35,45,52,62,69,77,85,95,103
6-hr:, 37,44,55,64,76,86,96,107,120,131
12-hr:, 45,54,67,78,94,107,120,135,154,170
24-hr:, 56,68,85,100,120,137,154,172,197,217
2-day:, 65,79,99,115,138,156,175,194,221,242
3-day:, 70,85,106,123,147,166,186,207,235,257
4-day:, 75,90,113,131,156,176,198,219,249,272
7-day:, 86,104,129,148,175,196,217,239,268,291
10-day:, 100,120,146,166,193,214,234,254,281,301
20-day:, 135,160,192,216,248,273,297,321,352,375
30-day:, 168,199,233,259,292,317,341,363,392,412
45-day:, 212,249,288,317,353,379,404,427,455,474
60-day:, 254,297,339,370,407,434,459,481,507,525

Date/time (GMT):  Thu Feb 29 23:06:35 2024
pyRunTime:  0.010847091674804688
