Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.13092549 Degree
Longitude: -80.00368564 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,20,22
10-min:, 12,15,17,19,22,24,26,28,30,32
15-min:, 15,18,21,24,27,30,33,35,38,40
30-min:, 20,24,29,34,39,43,48,52,57,62
60-min:, 25,30,37,43,51,58,64,71,80,87
2-hr:, 29,35,44,51,61,69,77,86,98,108
3-hr:, 31,38,47,55,65,74,83,93,107,118
6-hr:, 38,45,56,65,78,89,100,112,129,143
12-hr:, 46,54,66,77,92,105,118,133,154,172
24-hr:, 55,66,80,91,107,120,134,148,168,184
2-day:, 65,77,93,106,123,137,151,166,186,202
3-day:, 71,84,100,113,131,145,159,173,193,208
4-day:, 76,90,107,120,138,152,166,181,199,214
7-day:, 93,110,129,143,162,177,191,205,223,237
10-day:, 109,128,149,164,184,199,214,228,246,259
20-day:, 155,181,208,227,252,270,287,303,322,336
30-day:, 198,231,261,283,311,331,349,366,386,401
45-day:, 254,296,331,357,388,410,430,449,470,485
60-day:, 308,358,397,426,460,484,506,525,548,563

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,22,24
10-min:, 14,16,19,21,24,27,29,31,33,35
15-min:, 17,20,24,27,30,33,36,38,42,44
30-min:, 22,27,32,37,43,48,52,57,63,67
60-min:, 27,33,41,48,56,63,70,77,87,95
2-hr:, 32,39,48,56,67,76,85,94,107,118
3-hr:, 35,42,52,61,72,82,92,103,117,130
6-hr:, 42,50,62,72,86,97,110,123,141,156
12-hr:, 51,60,74,85,102,115,130,146,168,187
24-hr:, 59,71,86,98,115,128,143,158,179,195
2-day:, 70,83,99,113,131,146,161,177,198,215
3-day:, 75,89,106,120,139,153,168,184,204,220
4-day:, 81,96,113,128,146,161,176,191,211,226
7-day:, 98,116,136,151,171,186,201,216,235,249
10-day:, 114,134,156,172,193,209,224,239,258,271
20-day:, 162,190,217,238,263,282,300,317,337,352
30-day:, 206,241,273,296,325,346,365,383,405,420
45-day:, 265,308,345,372,405,428,449,468,491,507
60-day:, 320,372,412,442,478,504,526,546,570,586

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,19
10-min:, 11,13,16,18,20,22,23,25,27,28
15-min:, 14,16,19,22,25,27,29,31,33,35
30-min:, 18,22,27,30,35,39,42,46,50,54
60-min:, 22,27,34,39,46,51,57,63,70,76
2-hr:, 26,32,39,46,54,61,69,76,86,94
3-hr:, 28,34,42,49,58,66,74,82,93,102
6-hr:, 34,41,51,59,70,79,89,99,112,124
12-hr:, 41,49,60,70,83,94,105,117,133,148
24-hr:, 51,61,74,85,99,111,123,136,153,167
2-day:, 61,73,87,99,115,127,140,153,171,185
3-day:, 67,79,94,106,123,135,148,161,178,192
4-day:, 72,85,101,114,130,143,156,169,186,199
7-day:, 88,104,122,136,154,168,181,193,209,221
10-day:, 104,122,141,156,175,189,203,215,231,243
20-day:, 148,174,198,217,240,257,273,288,306,318
30-day:, 189,221,250,271,298,316,334,349,368,381
45-day:, 244,284,318,342,372,393,412,429,449,463
60-day:, 296,344,382,410,443,466,486,504,525,539

Date/time (GMT):  Thu Feb 29 23:06:41 2024
pyRunTime:  0.011486053466796875
