Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.05852462 Degree
Longitude: -79.73912144 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,18,19
10-min:, 12,14,17,19,22,23,25,27,29,30
15-min:, 15,18,21,24,27,30,32,34,36,38
30-min:, 20,24,30,35,41,45,49,53,58,62
60-min:, 25,30,39,45,54,61,67,74,83,90
2-hr:, 29,36,46,54,64,72,81,90,101,110
3-hr:, 32,38,49,57,69,78,87,97,110,121
6-hr:, 40,49,61,72,86,98,110,124,143,159
12-hr:, 50,60,76,89,108,124,141,161,189,214
24-hr:, 63,75,94,110,133,151,171,193,223,249
2-day:, 73,88,110,128,153,173,195,218,250,276
3-day:, 79,95,118,136,162,183,205,229,262,288
4-day:, 84,101,125,144,171,193,216,240,273,300
7-day:, 98,118,144,165,194,216,240,264,297,324
10-day:, 113,135,163,185,214,236,259,282,312,337
20-day:, 152,181,214,241,276,303,329,356,392,419
30-day:, 190,223,261,289,325,353,379,405,438,462
45-day:, 240,281,324,356,396,426,454,481,515,539
60-day:, 287,335,381,414,456,485,513,538,568,590

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,20,24,27,30,33,36,38,41,44
30-min:, 22,27,34,39,45,50,55,59,66,71
60-min:, 28,34,44,51,60,67,75,83,94,103
2-hr:, 32,39,51,59,71,80,90,100,114,125
3-hr:, 35,43,55,64,76,86,97,108,124,137
6-hr:, 45,54,69,80,96,110,124,140,163,183
12-hr:, 57,68,86,100,122,140,161,184,219,250
24-hr:, 69,83,104,121,146,166,188,212,247,276
2-day:, 81,97,121,141,168,191,215,241,278,309
3-day:, 86,104,129,148,177,200,225,251,288,319
4-day:, 91,110,136,156,185,209,234,260,298,328
7-day:, 106,127,155,177,208,233,258,285,322,352
10-day:, 121,144,174,198,229,253,278,303,337,365
20-day:, 162,192,228,255,292,321,350,380,419,450
30-day:, 200,236,275,305,343,373,401,429,466,493
45-day:, 252,296,341,374,417,449,479,509,546,573
60-day:, 300,352,399,434,478,509,538,565,599,622

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,11,12,13,14,15,16,16
10-min:, 10,12,15,17,19,21,22,23,25,26
15-min:, 13,16,19,21,24,26,28,29,31,32
30-min:, 18,22,27,31,36,39,43,46,49,52
60-min:, 22,27,35,40,48,53,59,64,71,76
2-hr:, 26,32,42,48,57,64,71,78,87,93
3-hr:, 29,35,45,52,62,69,77,84,94,102
6-hr:, 36,44,55,64,77,86,97,107,121,132
12-hr:, 45,55,68,79,95,108,122,136,156,172
24-hr:, 57,69,86,100,120,136,153,170,195,214
2-day:, 68,81,101,117,139,157,175,194,220,240
3-day:, 73,88,108,125,148,166,185,205,232,253
4-day:, 78,94,116,133,157,176,196,216,244,266
7-day:, 92,110,134,153,179,199,220,240,268,289
10-day:, 105,126,152,172,198,219,239,259,284,305
20-day:, 144,170,202,226,258,283,306,330,360,383
30-day:, 179,211,246,273,306,331,355,378,407,427
45-day:, 227,267,307,337,375,402,428,452,482,502
60-day:, 274,320,363,395,434,462,487,510,536,555

Date/time (GMT):  Thu Feb 29 23:06:44 2024
pyRunTime:  0.2044980525970459
