Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.00586266 Degree
Longitude: -78.49123865 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,19,20,23,25
10-min:, 12,15,18,20,23,26,28,31,34,37
15-min:, 15,18,22,25,29,32,35,38,42,46
30-min:, 20,24,30,34,40,45,50,55,63,69
60-min:, 24,29,37,44,52,60,67,75,87,96
2-hr:, 28,34,43,51,62,71,80,91,107,120
3-hr:, 30,36,46,54,65,75,86,97,114,128
6-hr:, 38,45,57,66,80,91,104,118,138,155
12-hr:, 46,55,69,80,97,111,127,145,171,193
24-hr:, 55,67,83,97,117,134,152,173,202,227
2-day:, 64,76,94,110,133,152,173,196,230,258
3-day:, 68,82,101,117,141,161,182,205,239,267
4-day:, 73,87,107,124,149,169,191,215,248,277
7-day:, 86,102,125,143,168,188,209,231,262,287
10-day:, 99,118,142,160,186,207,229,250,281,306
20-day:, 136,160,187,207,234,255,275,294,320,338
30-day:, 169,198,227,249,278,300,320,340,365,383
45-day:, 214,250,283,308,339,361,381,400,423,439
60-day:, 257,300,336,363,395,418,439,457,479,493

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,17,19,21,23,26,28
10-min:, 14,16,20,22,26,28,31,34,38,40
15-min:, 17,20,24,27,32,35,39,42,47,50
30-min:, 22,27,33,38,45,50,56,61,69,76
60-min:, 27,33,42,49,58,66,74,83,96,106
2-hr:, 31,37,48,56,68,78,89,100,117,131
3-hr:, 33,40,51,60,72,83,94,107,125,140
6-hr:, 42,50,63,73,88,101,114,129,151,169
12-hr:, 52,62,76,89,107,123,140,159,187,210
24-hr:, 61,73,91,105,127,146,165,188,220,247
2-day:, 69,83,103,120,144,165,188,213,249,280
3-day:, 74,89,109,127,152,174,197,222,259,290
4-day:, 79,94,116,134,160,182,206,232,269,300
7-day:, 92,109,133,152,180,201,224,248,282,310
10-day:, 106,126,151,171,199,221,244,268,301,329
20-day:, 143,169,197,219,247,269,290,312,339,360
30-day:, 178,209,240,263,294,317,339,360,387,408
45-day:, 225,263,299,325,357,380,402,423,447,465
60-day:, 269,314,352,380,414,439,461,480,504,520

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,18,20,21
10-min:, 11,13,16,18,20,22,24,26,29,31
15-min:, 13,16,19,22,25,28,30,33,36,39
30-min:, 18,21,26,30,36,40,44,48,54,58
60-min:, 21,26,33,39,46,52,59,65,74,82
2-hr:, 25,30,38,45,54,62,70,79,91,101
3-hr:, 27,33,41,48,58,66,75,85,98,109
6-hr:, 34,41,51,59,71,81,92,103,119,132
12-hr:, 42,50,62,72,87,99,112,126,147,164
24-hr:, 51,61,76,88,106,121,136,153,177,196
2-day:, 59,70,87,101,121,138,156,174,202,224
3-day:, 63,75,93,108,129,146,165,184,211,233
4-day:, 68,81,100,115,137,155,174,193,221,243
7-day:, 80,95,116,133,156,174,192,211,236,256
10-day:, 93,110,133,150,174,192,211,230,255,275
20-day:, 128,151,176,196,221,239,258,275,297,312
30-day:, 160,187,215,236,263,283,301,319,341,356
45-day:, 203,237,269,293,321,342,361,378,399,412
60-day:, 245,286,321,346,376,398,417,433,453,466

Date/time (GMT):  Thu Feb 29 23:06:48 2024
pyRunTime:  0.07039690017700195
