Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.30805946 Degree
Longitude: -79.52822778 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,20,21
10-min:, 13,16,19,21,24,26,28,29,32,33
15-min:, 17,20,24,27,30,33,35,37,40,41
30-min:, 23,28,34,39,45,49,54,58,63,67
60-min:, 28,35,44,51,60,67,74,81,91,98
2-hr:, 34,41,53,61,73,83,92,102,116,126
3-hr:, 36,44,57,66,79,89,99,110,125,137
6-hr:, 46,55,70,82,99,112,127,143,165,183
12-hr:, 56,68,86,101,124,142,163,185,218,246
24-hr:, 70,85,109,128,157,182,209,239,283,320
2-day:, 83,101,128,150,182,209,238,270,315,353
3-day:, 88,107,136,159,193,221,251,284,331,371
4-day:, 93,113,143,168,203,232,264,298,347,388
7-day:, 108,130,162,188,226,256,289,324,374,415
10-day:, 122,147,181,208,246,277,309,342,389,427
20-day:, 163,195,235,266,308,341,375,409,456,492
30-day:, 201,238,281,314,357,389,420,451,492,522
45-day:, 253,298,347,384,431,466,499,532,573,603
60-day:, 300,352,405,444,494,530,564,597,637,667

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,21,22,23
10-min:, 15,18,21,23,26,29,31,33,35,37
15-min:, 18,22,27,30,34,36,39,41,44,46
30-min:, 25,31,38,43,50,55,59,64,70,75
60-min:, 31,38,49,56,66,74,82,90,101,109
2-hr:, 37,45,58,68,81,91,102,113,128,141
3-hr:, 40,49,63,73,87,98,110,122,139,153
6-hr:, 51,62,78,91,110,125,141,158,184,205
12-hr:, 63,76,97,114,138,159,182,207,245,278
24-hr:, 76,93,118,139,170,196,225,257,305,346
2-day:, 90,109,139,163,197,226,257,291,342,385
3-day:, 96,116,147,172,208,238,271,307,359,404
4-day:, 101,122,155,181,219,251,285,322,377,422
7-day:, 117,141,175,204,244,277,312,350,404,450
10-day:, 132,158,194,223,264,297,331,367,418,461
20-day:, 174,208,251,284,329,365,401,438,489,530
30-day:, 213,252,298,332,377,411,445,479,523,557
45-day:, 265,313,365,404,453,490,525,560,605,638
60-day:, 314,369,424,466,518,556,592,627,672,704

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,16,17,18
10-min:, 12,14,17,19,22,23,25,26,27,28
15-min:, 15,18,22,24,27,29,31,33,35,36
30-min:, 21,25,31,35,41,44,48,51,55,58
60-min:, 26,31,40,46,54,60,66,72,79,84
2-hr:, 31,37,48,55,66,74,82,90,100,108
3-hr:, 33,40,51,60,71,79,88,97,108,117
6-hr:, 41,50,64,74,88,100,112,124,140,153
12-hr:, 51,62,78,91,110,125,141,158,182,201
24-hr:, 65,79,100,118,144,165,188,213,248,278
2-day:, 77,94,119,139,167,191,216,243,280,311
3-day:, 82,99,125,146,176,201,227,254,293,325
4-day:, 86,104,132,154,185,211,238,266,306,339
7-day:, 100,121,150,174,208,234,263,292,333,366
10-day:, 114,137,169,194,228,255,283,311,350,382
20-day:, 153,183,220,249,288,318,348,378,417,447
30-day:, 190,225,266,297,336,366,394,422,457,482
45-day:, 240,283,330,365,409,441,471,500,536,561
60-day:, 286,336,386,423,469,503,534,563,599,625

Date/time (GMT):  Thu Feb 29 23:06:50 2024
pyRunTime:  0.007710695266723633
