Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.41551389 Degree
Longitude: -75.92318433 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,20
10-min:, 14,16,19,21,23,25,26,28,30,31
15-min:, 17,20,24,26,29,31,33,35,37,39
30-min:, 23,28,33,38,43,46,50,53,58,61
60-min:, 28,34,43,49,56,62,68,74,82,88
2-hr:, 34,42,52,60,71,80,90,100,114,126
3-hr:, 38,46,57,66,79,89,99,111,127,140
6-hr:, 47,57,71,83,99,113,128,144,167,187
12-hr:, 58,70,88,103,125,143,164,187,221,251
24-hr:, 67,81,102,119,145,167,191,218,258,291
2-day:, 78,95,119,139,168,193,219,248,290,325
3-day:, 83,100,125,145,175,200,227,256,298,333
4-day:, 87,105,131,152,182,207,235,264,307,342
7-day:, 103,123,152,175,210,238,269,302,351,391
10-day:, 118,141,171,196,231,259,289,321,366,402
20-day:, 160,189,225,253,292,323,355,387,432,467
30-day:, 199,234,272,302,342,373,404,435,476,507
45-day:, 251,294,337,370,412,444,475,505,543,572
60-day:, 301,352,401,438,485,519,552,584,624,654

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,17,19,20,21,22
10-min:, 15,18,21,23,26,27,29,31,33,34
15-min:, 19,22,26,29,32,34,37,39,41,43
30-min:, 25,31,37,42,47,51,55,59,64,68
60-min:, 31,38,47,54,62,69,75,82,91,98
2-hr:, 39,47,58,68,80,90,101,112,129,142
3-hr:, 43,52,65,75,89,100,112,125,143,159
6-hr:, 54,65,81,94,112,127,144,162,189,211
12-hr:, 67,81,101,117,141,162,185,210,249,283
24-hr:, 75,90,113,132,160,185,211,239,282,318
2-day:, 87,105,132,154,185,212,240,272,317,355
3-day:, 91,110,137,159,191,218,247,278,324,363
4-day:, 95,114,142,165,197,225,254,285,332,370
7-day:, 112,134,165,191,227,258,292,328,380,423
10-day:, 128,153,186,212,250,281,313,347,396,436
20-day:, 171,202,240,270,312,345,379,414,462,500
30-day:, 211,248,289,321,363,396,429,462,506,540
45-day:, 265,310,356,390,435,469,501,533,574,604
60-day:, 317,371,422,461,510,547,582,616,658,690

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,15,17,19,21,22,23,25,26,27
15-min:, 15,18,21,24,26,28,30,31,33,34
30-min:, 21,25,30,34,38,41,45,47,51,53
60-min:, 26,31,38,44,51,56,61,66,72,77
2-hr:, 31,37,46,53,63,71,79,87,98,108
3-hr:, 34,41,51,58,69,77,86,95,108,119
6-hr:, 42,51,63,73,87,98,110,123,141,156
12-hr:, 52,62,78,90,109,124,140,158,184,205
24-hr:, 61,73,92,107,129,148,168,190,221,247
2-day:, 71,86,108,125,151,171,194,217,251,278
3-day:, 76,91,114,132,159,180,203,228,262,290
4-day:, 81,97,120,140,167,189,213,238,274,303
7-day:, 95,114,140,162,192,218,245,273,314,347
10-day:, 110,131,159,181,213,238,264,292,330,360
20-day:, 150,177,210,237,272,300,329,358,396,426
30-day:, 188,221,257,285,322,350,378,406,442,469
45-day:, 238,279,320,351,390,420,448,476,510,535
60-day:, 286,335,381,416,460,492,523,552,589,615

Date/time (GMT):  Thu Feb 29 23:06:54 2024
pyRunTime:  0.012592792510986328
