Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.13428276 Degree
Longitude: -81.12714225 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,14,16,17,19,20
10-min:, 12,14,16,18,21,23,25,27,29,31
15-min:, 14,17,21,23,27,29,31,34,37,39
30-min:, 20,24,29,34,39,44,48,53,59,64
60-min:, 25,30,38,44,52,59,66,74,85,93
2-hr:, 28,34,43,51,61,70,79,88,102,113
3-hr:, 30,36,46,54,64,74,83,93,108,119
6-hr:, 36,43,54,63,75,85,96,107,123,136
12-hr:, 44,52,64,74,87,98,110,122,140,154
24-hr:, 54,65,78,89,104,115,128,140,157,170
2-day:, 65,77,93,105,121,133,146,159,176,189
3-day:, 70,83,98,111,127,140,153,165,182,194
4-day:, 74,88,104,117,134,146,159,172,188,200
7-day:, 87,103,121,134,152,166,179,192,208,220
10-day:, 100,118,138,154,174,189,203,217,235,249
20-day:, 137,161,186,206,231,249,267,285,307,323
30-day:, 171,200,227,248,274,294,312,329,350,365
45-day:, 216,251,284,309,340,362,384,403,427,444
60-day:, 261,304,339,365,397,420,440,459,481,496

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,18,19,22,24
10-min:, 13,15,18,20,23,26,28,31,34,37
15-min:, 16,19,23,26,30,33,36,39,43,47
30-min:, 22,26,33,38,44,49,55,60,69,75
60-min:, 27,33,42,49,59,67,75,85,99,110
2-hr:, 31,38,48,57,68,78,89,101,119,134
3-hr:, 33,40,51,59,72,82,94,106,125,142
6-hr:, 40,47,59,69,83,94,107,121,142,160
12-hr:, 48,57,70,80,96,108,122,136,159,178
24-hr:, 58,69,84,95,111,124,137,150,168,183
2-day:, 69,82,99,111,128,142,156,170,189,204
3-day:, 74,88,104,118,135,149,162,176,195,209
4-day:, 79,93,110,124,142,155,169,183,201,214
7-day:, 92,108,128,142,161,175,189,203,222,235
10-day:, 105,125,146,162,183,199,215,231,251,266
20-day:, 144,170,196,216,242,262,282,301,326,344
30-day:, 179,209,238,260,288,308,328,347,371,388
45-day:, 226,264,298,324,357,381,404,425,453,472
60-day:, 273,317,354,382,415,439,462,482,506,523

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,13,13,14,15,16
10-min:, 10,12,15,16,18,20,21,23,24,25
15-min:, 13,15,19,21,23,25,27,29,31,32
30-min:, 18,21,26,30,35,38,42,45,49,51
60-min:, 22,27,34,39,46,52,57,63,70,75
2-hr:, 26,31,39,46,54,61,68,75,84,91
3-hr:, 27,33,41,48,57,65,72,79,89,96
6-hr:, 33,40,49,57,67,76,84,92,103,111
12-hr:, 40,48,59,68,79,88,97,106,118,128
24-hr:, 51,61,73,83,96,107,118,128,142,153
2-day:, 61,73,87,98,113,124,136,147,161,172
3-day:, 66,78,93,104,119,131,142,153,167,177
4-day:, 70,83,99,110,126,137,148,159,173,183
7-day:, 82,97,114,127,144,156,168,179,192,202
10-day:, 95,112,131,145,164,178,191,203,219,230
20-day:, 130,153,177,195,218,236,252,267,286,299
30-day:, 163,191,217,237,261,279,296,311,330,343
45-day:, 206,241,272,295,324,345,364,382,403,418
60-day:, 250,291,325,350,380,401,420,437,456,469

Date/time (GMT):  Thu Feb 29 23:06:59 2024
pyRunTime:  0.14068913459777832
