Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.01974191 Degree
Longitude: -81.69888019 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,23,24
10-min:, 14,17,20,22,25,27,29,31,34,36
15-min:, 17,21,25,27,31,34,36,39,42,44
30-min:, 23,28,34,38,44,48,53,57,62,67
60-min:, 28,34,42,48,57,64,70,77,86,93
2-hr:, 32,39,48,55,66,73,82,90,102,111
3-hr:, 34,41,51,58,69,78,87,96,109,119
6-hr:, 40,48,59,68,81,91,102,113,129,142
12-hr:, 46,56,68,78,92,104,116,129,147,162
24-hr:, 56,67,81,92,108,121,134,148,168,183
2-day:, 68,81,97,110,127,142,156,171,192,208
3-day:, 74,88,104,118,136,150,165,180,200,216
4-day:, 80,94,112,126,145,159,174,189,209,224
7-day:, 96,114,133,148,168,183,198,212,231,246
10-day:, 112,132,153,169,190,205,220,235,253,267
20-day:, 157,184,211,230,255,273,290,307,326,341
30-day:, 198,231,261,283,311,331,349,366,387,401
45-day:, 252,293,328,354,385,407,427,445,467,482
60-day:, 305,354,393,422,456,480,501,521,543,559

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 15,19,22,24,28,30,32,34,37,39
15-min:, 19,23,27,30,34,37,40,43,46,49
30-min:, 25,30,37,42,48,53,58,62,69,73
60-min:, 31,37,46,53,62,70,77,85,95,103
2-hr:, 35,42,53,61,72,80,89,99,111,122
3-hr:, 37,45,55,64,75,85,94,105,119,130
6-hr:, 44,53,65,75,89,100,111,123,141,155
12-hr:, 50,60,74,84,99,112,125,139,158,175
24-hr:, 60,71,86,98,115,129,143,158,178,194
2-day:, 73,86,103,117,136,151,166,182,204,221
3-day:, 79,93,111,125,145,160,175,191,213,229
4-day:, 85,100,119,134,153,169,184,200,221,237
7-day:, 102,121,141,157,178,194,209,225,245,260
10-day:, 118,139,162,179,201,217,233,248,268,283
20-day:, 165,193,221,242,268,287,305,322,343,358
30-day:, 207,242,274,297,326,347,367,385,406,422
45-day:, 263,306,342,369,402,424,446,465,488,504
60-day:, 318,369,410,439,475,500,522,543,567,583

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,19,20,21
10-min:, 13,15,18,20,23,25,26,28,30,31
15-min:, 16,19,22,25,28,30,33,35,37,39
30-min:, 21,25,31,35,40,43,47,51,55,58
60-min:, 25,31,38,44,51,57,63,69,76,82
2-hr:, 29,35,44,50,59,66,73,80,89,97
3-hr:, 31,37,46,53,63,70,78,85,96,104
6-hr:, 37,44,55,63,74,83,92,101,114,124
12-hr:, 43,52,63,72,84,94,105,115,130,142
24-hr:, 53,63,76,86,101,113,125,137,154,168
2-day:, 64,76,91,103,119,132,145,158,176,190
3-day:, 69,82,98,111,127,141,154,167,185,199
4-day:, 75,89,105,119,136,149,163,176,194,207
7-day:, 91,107,126,140,158,172,185,198,215,228
10-day:, 106,125,145,160,179,194,208,221,238,250
20-day:, 150,175,200,219,242,259,275,290,308,321
30-day:, 188,220,248,270,296,315,332,348,367,380
45-day:, 241,281,314,338,368,389,408,425,445,459
60-day:, 292,339,377,404,436,459,480,498,519,533

Date/time (GMT):  Thu Feb 29 23:07:01 2024
pyRunTime:  0.12354612350463867
