Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.78869215 Degree
Longitude: -76.51570822 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,17,18
10-min:, 11,13,16,17,20,21,22,24,25,27
15-min:, 14,16,19,21,24,26,28,30,32,33
30-min:, 18,22,26,30,34,37,40,43,47,50
60-min:, 22,27,33,38,44,49,54,59,65,70
2-hr:, 25,31,38,44,52,58,65,72,81,88
3-hr:, 28,33,41,47,56,63,70,77,88,96
6-hr:, 35,42,51,59,69,77,86,95,108,118
12-hr:, 43,52,63,73,86,97,108,120,137,150
24-hr:, 52,62,76,86,101,113,125,138,155,168
2-day:, 60,72,87,100,117,131,145,160,180,196
3-day:, 64,76,92,105,122,137,151,166,186,202
4-day:, 67,80,97,110,128,142,157,172,192,208
7-day:, 80,94,111,124,141,155,168,181,199,211
10-day:, 90,107,125,139,159,174,189,203,222,236
20-day:, 124,145,167,185,208,226,243,261,283,299
30-day:, 153,179,204,223,248,267,285,303,325,340
45-day:, 196,228,257,279,307,327,346,363,384,399
60-day:, 237,275,308,333,365,388,409,429,453,469

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,15,16,18,19,20
10-min:, 12,15,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,41,45,48,52,55
60-min:, 24,30,37,42,49,54,60,65,72,77
2-hr:, 28,34,42,49,57,64,71,79,89,97
3-hr:, 31,37,45,52,61,69,77,85,96,105
6-hr:, 39,46,57,65,76,85,94,104,118,129
12-hr:, 48,57,70,80,94,105,117,130,149,164
24-hr:, 56,67,81,93,109,121,134,147,165,178
2-day:, 65,78,95,108,127,142,157,173,195,212
3-day:, 69,83,100,114,133,148,164,179,201,218
4-day:, 73,87,105,119,139,154,170,186,207,224
7-day:, 86,101,119,133,152,166,180,194,213,227
10-day:, 97,114,134,149,170,186,202,217,238,253
20-day:, 131,154,177,196,220,239,258,276,300,317
30-day:, 162,189,215,235,262,282,301,320,343,360
45-day:, 206,240,271,294,323,344,364,382,405,420
60-day:, 249,289,324,350,384,408,430,451,476,493

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,11,12,13,14,15,16
10-min:, 10,12,14,16,18,19,20,21,22,23
15-min:, 12,15,17,19,22,23,25,26,28,29
30-min:, 16,20,24,27,31,33,36,38,41,43
60-min:, 20,24,30,34,40,44,48,52,57,61
2-hr:, 23,28,35,40,47,52,58,63,70,76
3-hr:, 25,30,37,43,50,56,62,68,77,83
6-hr:, 32,38,47,53,62,69,77,84,94,101
12-hr:, 40,47,58,66,77,87,96,106,119,129
24-hr:, 48,58,70,80,94,105,115,126,141,152
2-day:, 56,67,81,92,108,120,133,146,163,177
3-day:, 59,70,85,97,113,126,138,152,169,182
4-day:, 62,74,90,102,118,131,144,157,175,188
7-day:, 74,88,103,115,131,144,156,168,183,194
10-day:, 85,100,117,130,148,162,175,188,205,218
20-day:, 117,137,158,174,196,212,229,244,264,278
30-day:, 145,170,193,211,234,252,269,285,305,319
45-day:, 186,216,244,265,291,310,327,344,363,376
60-day:, 225,262,293,317,347,369,389,407,429,443

Date/time (GMT):  Thu Feb 29 23:07:06 2024
pyRunTime:  0.32620787620544434
