Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.70034948 Degree
Longitude: -80.72010959 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,16,19,21,24,26,27,29,31,33
15-min:, 16,19,23,26,29,32,34,36,39,41
30-min:, 21,26,32,36,41,45,49,53,58,61
60-min:, 26,32,40,46,54,60,66,72,80,87
2-hr:, 31,37,46,53,63,71,79,87,97,106
3-hr:, 33,39,49,57,67,76,84,93,105,115
6-hr:, 40,48,59,68,81,91,102,113,128,141
12-hr:, 47,56,69,79,94,106,119,133,152,167
24-hr:, 56,67,81,92,108,121,134,148,168,183
2-day:, 67,79,95,107,124,138,152,167,186,201
3-day:, 72,85,102,115,133,147,161,175,194,209
4-day:, 78,92,109,123,141,155,170,184,203,217
7-day:, 95,112,132,146,166,181,195,209,227,241
10-day:, 110,130,151,166,187,202,217,231,249,261
20-day:, 157,184,210,230,255,273,290,306,325,339
30-day:, 200,233,264,286,314,334,353,370,390,404
45-day:, 257,299,334,360,392,415,435,453,475,489
60-day:, 311,361,401,430,465,489,511,530,552,568

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 14,17,20,23,26,28,30,32,34,35
15-min:, 18,21,25,28,32,34,37,39,42,44
30-min:, 23,28,35,39,45,49,53,58,63,67
60-min:, 29,35,43,50,58,65,72,78,87,94
2-hr:, 33,41,51,58,69,77,85,94,105,115
3-hr:, 36,43,54,62,74,83,92,101,114,125
6-hr:, 43,52,64,74,87,98,110,122,138,152
12-hr:, 51,62,75,86,102,115,129,143,163,181
24-hr:, 61,72,87,99,116,130,144,159,179,195
2-day:, 72,85,102,115,133,148,163,178,199,215
3-day:, 77,92,109,123,142,157,172,187,207,223
4-day:, 83,98,117,131,151,166,181,196,216,231
7-day:, 101,120,140,156,176,192,207,222,242,256
10-day:, 117,137,159,176,197,213,228,243,262,276
20-day:, 166,195,222,243,269,289,307,323,344,359
30-day:, 211,246,278,302,331,352,371,389,411,426
45-day:, 269,313,350,377,411,434,455,475,497,513
60-day:, 326,378,420,450,487,512,535,555,579,595

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,14,17,19,21,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,36
30-min:, 20,24,29,33,38,41,45,48,52,55
60-min:, 24,29,36,42,49,54,60,65,72,77
2-hr:, 28,34,43,49,58,64,71,78,87,94
3-hr:, 30,36,45,52,61,69,76,84,94,102
6-hr:, 37,44,54,62,73,82,92,101,114,124
12-hr:, 44,52,64,73,86,97,107,119,134,147
24-hr:, 52,62,75,86,100,112,124,136,153,166
2-day:, 62,74,88,100,115,128,141,153,171,184
3-day:, 67,80,95,107,124,136,149,162,179,192
4-day:, 73,86,102,115,132,145,158,170,187,200
7-day:, 89,105,124,137,155,169,182,195,211,223
10-day:, 104,123,143,157,176,191,204,217,233,245
20-day:, 149,174,199,218,241,258,274,288,306,319
30-day:, 189,221,250,271,297,316,333,349,368,381
45-day:, 245,285,318,343,373,394,413,430,450,464
60-day:, 297,345,383,410,444,467,487,505,526,540

Date/time (GMT):  Thu Feb 29 23:07:08 2024
pyRunTime:  0.14745116233825684
