Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.61629031 Degree
Longitude: -82.16360037 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,10,11,13,14,16,17,19,20
10-min:, 12,14,16,18,21,23,25,27,29,31
15-min:, 15,18,21,23,26,29,31,34,37,39
30-min:, 21,24,30,34,39,44,48,53,59,64
60-min:, 26,31,38,44,52,59,66,74,85,93
2-hr:, 29,35,42,49,59,68,77,87,101,113
3-hr:, 31,37,45,52,63,71,81,91,105,117
6-hr:, 37,44,53,61,72,82,92,102,117,129
12-hr:, 46,54,64,73,85,95,106,116,131,143
24-hr:, 55,65,77,86,97,106,115,123,134,145
2-day:, 66,77,91,101,115,126,136,147,160,170
3-day:, 71,84,98,109,124,136,147,158,173,184
4-day:, 76,90,105,117,133,146,158,170,186,197
7-day:, 92,109,127,142,162,178,193,208,228,243
10-day:, 107,126,146,163,186,204,222,240,264,283
20-day:, 151,176,201,220,245,264,283,300,322,339
30-day:, 188,219,245,265,292,311,329,347,368,383
45-day:, 240,278,308,331,360,381,400,418,440,454
60-day:, 291,336,371,397,429,452,473,492,514,529

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,17,19,21,22
10-min:, 13,16,18,20,23,25,27,30,33,35
15-min:, 17,20,23,26,29,32,35,37,41,44
30-min:, 23,27,33,37,43,48,53,58,66,71
60-min:, 29,34,42,49,58,65,73,82,94,104
2-hr:, 32,38,47,55,65,75,85,96,112,126
3-hr:, 35,41,50,58,69,79,89,100,117,131
6-hr:, 41,49,59,67,79,90,100,112,129,143
12-hr:, 50,59,70,80,93,104,115,127,144,157
24-hr:, 59,70,82,92,104,114,123,132,144,159
2-day:, 70,83,97,108,123,135,147,159,174,186
3-day:, 76,90,105,117,133,146,159,171,188,201
4-day:, 82,96,113,126,143,157,171,184,203,216
7-day:, 99,117,137,153,175,192,209,227,250,268
10-day:, 115,135,158,176,201,220,240,261,289,311
20-day:, 160,187,213,234,261,282,302,322,348,367
30-day:, 198,230,258,280,308,329,349,368,393,411
45-day:, 253,293,324,349,380,403,424,444,469,487
60-day:, 305,353,389,417,452,477,500,521,546,564

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,13,14,15,16,17
10-min:, 11,13,15,16,19,20,22,23,25,26
15-min:, 14,16,19,21,24,26,28,29,32,33
30-min:, 19,22,27,30,35,39,42,46,50,54
60-min:, 23,28,34,39,46,52,58,64,72,79
2-hr:, 26,31,38,44,53,60,67,75,86,95
3-hr:, 28,33,41,47,56,63,71,79,90,98
6-hr:, 34,41,49,56,66,74,82,90,102,111
12-hr:, 42,49,59,67,78,86,95,104,116,125
24-hr:, 51,61,72,80,90,98,106,113,122,128
2-day:, 61,72,85,94,107,117,126,135,146,154
3-day:, 66,78,92,102,115,126,136,145,157,166
4-day:, 71,84,98,109,124,135,145,155,168,177
7-day:, 86,101,119,132,150,164,177,190,206,218
10-day:, 100,118,137,152,173,188,203,218,238,252
20-day:, 143,166,189,207,231,247,264,279,297,311
30-day:, 179,208,232,252,276,294,310,325,343,356
45-day:, 229,264,293,314,341,360,377,393,411,424
60-day:, 277,321,353,378,408,429,448,465,484,497

Date/time (GMT):  Thu Feb 29 23:07:11 2024
pyRunTime:  0.9713077545166016
