Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.8520873 Degree
Longitude: -73.86283008 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,19,22,24,27,31,34
10-min:, 13,16,20,23,28,31,35,39,44,49
15-min:, 15,18,23,27,32,37,41,45,52,57
30-min:, 21,25,32,37,45,51,57,63,72,80
60-min:, 27,32,41,48,57,65,72,80,92,102
2-hr:, 36,43,53,62,74,83,92,102,116,126
3-hr:, 42,50,62,72,85,96,106,118,133,146
6-hr:, 52,62,78,91,109,122,136,152,174,192
12-hr:, 62,74,95,113,137,155,174,196,229,257
24-hr:, 70,87,113,135,165,188,212,241,286,325
2-day:, 80,99,129,155,190,216,245,279,333,379
3-day:, 87,107,140,167,204,232,262,299,355,403
4-day:, 94,114,148,176,215,244,275,312,369,418
7-day:, 111,133,169,199,240,271,303,342,399,448
10-day:, 128,151,188,220,262,294,328,367,424,471
20-day:, 180,205,247,281,329,365,402,441,496,539
30-day:, 223,250,295,333,384,423,463,503,556,596
45-day:, 277,307,356,397,452,496,539,580,632,669
60-day:, 322,354,407,450,510,557,602,644,696,732

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,18,21,26,30,35,39,46,52
10-min:, 17,20,25,30,37,43,49,56,66,74
15-min:, 20,24,30,35,44,50,58,66,77,87
30-min:, 28,33,41,49,61,70,80,91,107,120
60-min:, 35,42,53,62,78,89,102,116,137,154
2-hr:, 47,55,69,80,99,113,129,146,171,190
3-hr:, 54,64,79,92,114,130,148,168,196,218
6-hr:, 66,79,99,116,145,165,190,216,255,286
12-hr:, 78,94,121,144,182,209,243,277,334,380
24-hr:, 89,109,143,171,219,253,297,339,414,477
2-day:, 100,123,162,195,250,290,341,390,478,553
3-day:, 108,133,175,210,268,310,363,416,508,586
4-day:, 116,142,185,221,281,325,379,433,527,606
7-day:, 137,165,210,248,311,357,414,472,567,646
10-day:, 158,186,233,273,338,386,445,505,600,678
20-day:, 220,251,303,347,419,473,535,602,696,769
30-day:, 272,306,362,409,486,545,611,683,777,848
45-day:, 337,374,434,486,570,634,705,783,879,948
60-day:, 391,430,495,550,640,709,784,868,965,1035

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,11,12,14,16,17,18,20,22
10-min:, 10,12,15,18,20,23,24,26,29,31
15-min:, 12,14,18,21,24,27,29,31,34,36
30-min:, 16,20,25,29,33,37,40,42,47,50
60-min:, 21,25,31,37,43,47,51,54,60,64
2-hr:, 28,33,41,48,55,60,65,69,75,80
3-hr:, 33,39,48,55,64,70,75,80,87,93
6-hr:, 41,48,61,70,82,90,97,103,114,123
12-hr:, 48,59,75,88,103,115,126,133,150,164
24-hr:, 56,68,89,106,126,140,155,165,188,208
2-day:, 63,78,103,122,146,162,179,191,219,244
3-day:, 70,85,111,132,157,175,193,205,234,260
4-day:, 75,91,118,140,165,184,202,215,244,270
7-day:, 89,107,135,158,185,204,223,236,265,290
10-day:, 103,122,151,175,203,223,241,254,282,306
20-day:, 146,166,199,226,255,276,294,307,331,350
30-day:, 182,204,239,268,298,321,338,351,372,388
45-day:, 226,250,289,320,352,376,393,406,424,437
60-day:, 264,290,331,365,398,423,439,452,468,479

Date/time (GMT):  Thu Feb 29 23:07:13 2024
pyRunTime:  0.007421255111694336
