Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.15903257 Degree
Longitude: -75.81325707 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,14,17,20,22,25,28,32
10-min:, 11,13,17,20,24,28,31,35,40,45
15-min:, 13,16,20,24,29,33,37,41,47,53
30-min:, 17,21,27,32,38,43,49,54,63,70
60-min:, 22,26,33,39,48,54,61,68,79,87
2-hr:, 27,32,40,47,55,62,69,79,94,107
3-hr:, 31,36,45,52,62,69,77,87,105,121
6-hr:, 38,45,56,65,77,86,96,110,133,153
12-hr:, 46,55,70,83,100,113,127,144,172,196
24-hr:, 54,66,85,101,123,140,157,178,210,237
2-day:, 62,76,97,115,140,159,178,202,238,269
3-day:, 69,83,105,124,150,169,190,215,252,284
4-day:, 74,89,112,131,158,177,198,224,262,294
7-day:, 89,104,128,148,176,196,218,244,283,315
10-day:, 104,119,144,165,193,215,237,263,302,334
20-day:, 148,166,194,218,250,275,300,328,367,398
30-day:, 186,205,237,263,300,327,355,385,425,456
45-day:, 234,255,291,321,362,394,426,458,500,532
60-day:, 274,298,338,371,416,451,486,520,565,598

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,18,23,27,31,36,43,49
10-min:, 14,17,21,26,33,38,44,51,61,70
15-min:, 16,20,25,30,38,45,52,60,72,82
30-min:, 22,26,34,40,51,59,69,80,96,109
60-min:, 27,33,42,50,64,74,86,100,120,136
2-hr:, 34,40,50,59,74,85,100,115,142,166
3-hr:, 39,45,56,65,82,94,111,127,159,187
6-hr:, 47,55,69,81,102,118,139,159,200,235
12-hr:, 56,67,86,103,131,152,180,207,257,299
24-hr:, 65,80,104,124,160,187,220,255,312,361
2-day:, 75,92,118,141,181,211,248,287,352,406
3-day:, 83,100,128,151,193,224,263,304,371,428
4-day:, 89,107,135,159,202,234,274,315,384,442
7-day:, 107,125,154,179,224,257,299,342,413,471
10-day:, 124,142,173,199,245,279,323,368,439,498
20-day:, 175,196,231,260,313,353,402,455,530,590
30-day:, 219,242,281,314,373,418,472,531,611,673
45-day:, 274,300,344,381,449,500,561,629,716,782
60-day:, 320,349,397,439,513,570,637,712,807,877

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,11,13,14,16,17,18,20
10-min:, 9,10,13,16,18,20,22,24,26,28
15-min:, 10,12,16,18,22,24,26,28,31,33
30-min:, 14,16,21,24,29,32,35,37,41,44
60-min:, 17,20,26,31,36,40,43,46,51,55
2-hr:, 22,25,31,36,42,46,50,53,61,68
3-hr:, 25,29,35,41,47,51,56,59,68,77
6-hr:, 30,36,44,51,59,65,71,75,87,98
12-hr:, 37,44,56,66,77,85,93,99,113,125
24-hr:, 43,53,68,81,95,106,115,122,138,152
2-day:, 51,61,79,93,109,121,132,139,157,173
3-day:, 56,67,85,100,117,129,141,148,167,183
4-day:, 61,72,91,106,123,135,147,155,174,190
7-day:, 74,86,105,120,138,150,162,170,188,204
10-day:, 86,98,118,134,152,165,176,184,201,217
20-day:, 123,137,160,179,198,212,223,230,246,259
30-day:, 155,171,197,217,237,253,263,271,285,297
45-day:, 196,214,243,266,288,305,316,323,337,347
60-day:, 230,250,282,308,331,349,361,368,381,391

Date/time (GMT):  Thu Feb 29 23:07:17 2024
pyRunTime:  0.013154029846191406
