Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.26818323 Degree
Longitude: -82.03749726 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,15,17,19,22,25,27,30,33,36
15-min:, 15,18,22,25,28,31,35,38,42,45
30-min:, 21,25,31,35,42,47,52,58,66,73
60-min:, 26,31,39,46,56,64,72,81,95,106
2-hr:, 30,36,45,53,65,75,86,98,117,133
3-hr:, 32,38,48,56,68,79,90,103,122,138
6-hr:, 38,46,56,65,79,91,103,117,138,155
12-hr:, 45,54,66,76,91,104,118,133,154,173
24-hr:, 55,66,80,93,110,125,140,157,181,201
2-day:, 67,80,97,112,132,148,166,184,210,231
3-day:, 73,87,105,120,141,158,175,194,220,241
4-day:, 78,93,112,128,150,167,185,204,229,250
7-day:, 95,113,135,151,172,188,204,219,241,261
10-day:, 112,132,154,170,190,205,219,232,252,271
20-day:, 155,183,211,231,257,275,292,308,328,341
30-day:, 194,227,258,281,309,329,347,363,383,397
45-day:, 246,288,324,349,379,400,419,436,456,469
60-day:, 298,348,390,419,454,479,500,519,541,555

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,21,24,26
10-min:, 14,16,19,22,25,28,30,33,37,41
15-min:, 17,20,24,27,32,35,38,42,47,51
30-min:, 23,28,35,40,47,52,58,65,74,82
60-min:, 29,35,44,51,62,71,80,91,106,119
2-hr:, 33,40,51,59,72,84,96,110,131,150
3-hr:, 36,43,54,63,77,88,101,116,138,157
6-hr:, 43,51,63,74,89,102,116,132,155,175
12-hr:, 51,60,74,85,102,116,131,147,172,192
24-hr:, 60,72,88,101,120,136,153,172,198,221
2-day:, 73,87,105,121,142,161,180,200,230,255
3-day:, 79,93,113,129,152,170,190,211,240,265
4-day:, 84,100,121,138,161,180,200,221,250,275
7-day:, 102,121,144,161,184,201,218,236,261,284
10-day:, 119,140,163,180,202,218,233,248,271,292
20-day:, 165,194,224,246,273,293,312,329,352,368
30-day:, 205,240,273,297,326,348,368,387,409,426
45-day:, 259,303,341,367,400,422,443,461,483,498
60-day:, 314,366,410,442,479,505,528,549,574,591

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,20
10-min:, 11,13,15,17,20,22,24,26,28,30
15-min:, 14,16,19,22,25,28,30,33,36,38
30-min:, 19,22,28,32,37,41,46,50,56,61
60-min:, 23,28,35,41,49,56,63,70,81,89
2-hr:, 27,32,40,47,57,65,75,85,99,111
3-hr:, 28,34,43,50,60,69,78,88,103,115
6-hr:, 34,41,50,58,70,80,90,101,118,131
12-hr:, 41,49,60,69,82,93,104,117,134,149
24-hr:, 51,61,74,85,101,114,127,141,160,175
2-day:, 62,74,90,103,121,135,150,165,186,202
3-day:, 68,80,97,111,130,145,160,175,196,212
4-day:, 73,87,105,119,138,154,169,185,205,221
7-day:, 89,106,126,141,160,174,188,201,220,236
10-day:, 105,124,144,159,178,191,204,216,232,249
20-day:, 146,172,199,218,241,258,273,287,304,315
30-day:, 183,214,244,265,291,309,325,340,358,369
45-day:, 234,273,307,330,359,378,396,411,428,439
60-day:, 283,330,369,397,430,452,472,489,508,521

Date/time (GMT):  Thu Feb 29 23:07:22 2024
pyRunTime:  0.011609792709350586
