Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.57242231 Degree
Longitude: -78.52518843 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,17,18,19,20,21
10-min:, 14,16,19,22,24,26,28,30,32,33
15-min:, 17,20,24,27,31,33,36,38,40,42
30-min:, 24,28,34,39,45,50,55,59,63,68
60-min:, 30,35,43,51,60,68,75,82,91,99
2-hr:, 36,42,52,62,74,84,94,104,118,129
3-hr:, 38,46,56,67,79,91,101,112,126,139
6-hr:, 48,57,70,84,100,115,130,146,168,188
12-hr:, 59,71,87,104,126,147,168,192,224,255
24-hr:, 71,86,110,130,160,185,214,245,290,329
2-day:, 83,101,128,151,183,211,240,272,318,357
3-day:, 89,107,136,160,195,224,255,288,337,377
4-day:, 94,113,144,169,206,236,269,304,356,398
7-day:, 108,130,163,189,228,259,293,330,382,425
10-day:, 123,147,181,210,249,281,315,351,402,443
20-day:, 163,195,235,267,310,345,379,414,462,499
30-day:, 201,239,282,315,358,391,423,454,495,526
45-day:, 252,298,349,386,434,470,504,537,579,610
60-day:, 298,351,405,445,497,535,571,605,648,679

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,20,21,22,23
10-min:, 15,18,21,24,27,29,31,33,35,37
15-min:, 19,23,26,30,34,37,39,42,44,46
30-min:, 26,31,38,44,50,55,60,65,70,75
60-min:, 33,39,48,57,67,75,83,91,101,110
2-hr:, 40,48,59,70,83,94,105,116,131,144
3-hr:, 43,51,63,75,89,101,113,126,142,156
6-hr:, 54,65,79,95,113,130,147,165,189,211
12-hr:, 67,80,99,118,143,166,189,215,252,286
24-hr:, 79,95,122,144,176,204,234,268,318,361
2-day:, 91,111,141,165,200,230,262,297,348,391
3-day:, 97,117,149,175,212,244,277,314,368,413
4-day:, 103,124,158,185,224,257,293,332,388,436
7-day:, 117,141,176,205,246,280,317,357,414,462
10-day:, 132,159,196,226,268,303,340,379,435,480
20-day:, 175,209,253,287,333,369,407,445,497,537
30-day:, 214,254,300,335,381,416,450,484,528,561
45-day:, 267,316,369,408,459,497,534,569,615,649
60-day:, 315,370,428,470,525,565,603,640,687,721

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,18
10-min:, 12,15,17,19,22,23,25,26,28,29
15-min:, 16,18,21,24,27,30,32,33,35,36
30-min:, 21,25,31,35,41,45,48,52,55,59
60-min:, 27,32,39,46,54,61,67,72,80,85
2-hr:, 32,38,47,56,66,74,83,91,101,110
3-hr:, 34,41,50,59,70,80,88,97,108,118
6-hr:, 43,51,62,74,88,100,113,125,142,156
12-hr:, 53,63,77,92,111,128,145,162,186,208
24-hr:, 65,79,100,118,144,166,190,215,252,282
2-day:, 76,93,117,138,167,191,216,242,280,311
3-day:, 81,98,125,146,177,202,229,257,297,329
4-day:, 86,104,132,155,187,214,242,271,314,347
7-day:, 100,121,151,175,209,237,266,297,339,374
10-day:, 114,137,168,194,230,258,288,318,361,394
20-day:, 153,182,220,249,289,319,350,381,421,452
30-day:, 190,225,266,297,337,367,396,424,459,485
45-day:, 238,281,329,364,409,442,473,503,539,566
60-day:, 282,332,384,422,470,505,538,568,606,633

Date/time (GMT):  Thu Feb 29 23:07:24 2024
pyRunTime:  0.010872125625610352
