Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.3374017 Degree
Longitude: -75.10876276 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,20
10-min:, 14,16,19,21,24,26,27,29,30,32
15-min:, 17,20,24,27,30,32,34,36,38,40
30-min:, 23,28,35,39,45,49,53,56,61,64
60-min:, 29,36,44,51,59,66,72,79,88,94
2-hr:, 35,42,53,61,73,82,91,100,112,122
3-hr:, 38,46,58,68,80,90,100,111,125,136
6-hr:, 48,58,73,84,101,115,129,145,167,184
12-hr:, 59,71,89,104,127,146,167,189,223,250
24-hr:, 69,83,104,122,148,171,194,220,258,290
2-day:, 80,96,121,142,171,195,221,249,289,321
3-day:, 84,102,127,149,179,203,230,258,298,330
4-day:, 89,107,134,155,186,211,238,266,306,339
7-day:, 104,124,153,177,212,240,270,302,347,384
10-day:, 118,140,171,196,230,258,286,316,357,390
20-day:, 159,188,225,253,291,322,352,382,423,453
30-day:, 198,233,272,302,341,370,399,428,465,492
45-day:, 251,295,339,372,414,445,474,502,536,560
60-day:, 301,353,403,439,486,519,550,579,614,638

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,21,22
10-min:, 15,18,21,23,26,28,30,32,34,35
15-min:, 19,23,27,30,33,35,38,40,42,44
30-min:, 26,31,38,43,49,53,58,62,67,71
60-min:, 32,39,49,56,65,72,80,87,97,104
2-hr:, 38,47,59,68,80,89,99,110,124,135
3-hr:, 42,51,65,75,88,99,111,122,139,152
6-hr:, 53,64,80,93,112,127,143,160,185,205
12-hr:, 65,79,99,116,140,161,184,210,247,279
24-hr:, 75,90,113,132,160,184,209,237,278,313
2-day:, 87,105,133,155,186,212,241,271,314,350
3-day:, 92,111,139,162,194,221,249,280,323,360
4-day:, 96,116,145,168,202,229,257,288,332,369
7-day:, 112,134,166,192,228,259,291,325,374,414
10-day:, 126,151,184,210,247,276,307,339,384,419
20-day:, 170,201,240,270,311,343,376,409,453,487
30-day:, 209,246,287,319,360,391,423,453,493,523
45-day:, 265,311,357,392,436,469,500,529,566,592
60-day:, 316,370,423,461,510,545,578,608,646,673

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,15,18,19,21,23,24,26,27,28
15-min:, 16,19,22,24,27,29,31,32,34,35
30-min:, 21,26,31,35,40,44,47,50,54,56
60-min:, 27,32,40,46,54,59,65,70,77,82
2-hr:, 32,39,48,56,65,73,80,88,98,105
3-hr:, 35,42,53,61,72,80,89,97,108,117
6-hr:, 44,53,66,76,91,102,114,126,143,156
12-hr:, 53,64,81,94,113,129,146,163,188,208
24-hr:, 64,77,97,113,136,155,176,197,228,253
2-day:, 73,88,111,130,156,177,199,222,255,281
3-day:, 78,94,117,136,163,185,208,231,265,291
4-day:, 82,99,123,143,171,193,216,241,274,301
7-day:, 96,116,143,165,196,221,247,275,313,343
10-day:, 110,131,160,182,214,239,264,290,325,353
20-day:, 149,177,211,237,272,299,327,353,389,415
30-day:, 187,221,257,285,321,348,375,400,433,457
45-day:, 239,281,322,354,393,422,449,474,505,526
60-day:, 287,337,384,419,463,494,523,549,581,603

Date/time (GMT):  Thu Feb 29 23:07:26 2024
pyRunTime:  0.011199951171875
