Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.7370151 Degree
Longitude: -79.35654436 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,19,20
10-min:, 12,14,17,20,22,24,26,27,29,31
15-min:, 15,18,22,25,28,30,33,35,37,39
30-min:, 21,25,31,36,42,46,50,54,59,63
60-min:, 26,31,40,47,55,62,69,76,85,91
2-hr:, 30,36,47,55,65,74,82,91,102,111
3-hr:, 32,39,50,58,69,78,88,97,110,119
6-hr:, 40,48,61,71,85,97,109,122,140,154
12-hr:, 49,58,74,86,105,120,137,156,182,203
24-hr:, 61,74,94,110,134,154,175,198,231,258
2-day:, 72,87,109,128,154,176,199,223,257,285
3-day:, 77,93,117,136,164,186,210,236,271,300
4-day:, 82,99,124,144,173,197,222,248,285,314
7-day:, 94,113,141,163,193,217,242,269,304,332
10-day:, 108,129,158,180,210,234,258,282,313,338
20-day:, 145,172,206,233,269,297,325,352,390,417
30-day:, 178,211,247,275,312,339,366,392,425,449
45-day:, 225,265,306,338,377,406,433,460,492,515
60-day:, 268,315,359,392,432,462,489,513,543,563

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,15,17,18,19,21,22
10-min:, 13,16,19,22,24,27,29,31,33,35
15-min:, 17,20,24,27,31,34,36,39,42,44
30-min:, 23,28,35,40,46,51,55,60,66,71
60-min:, 28,35,44,52,61,69,76,84,95,103
2-hr:, 33,40,52,61,72,81,91,101,115,125
3-hr:, 36,43,55,64,77,87,97,108,123,135
6-hr:, 45,53,68,79,95,108,122,137,158,175
12-hr:, 55,66,83,97,118,136,155,176,208,234
24-hr:, 66,80,102,119,145,166,189,213,248,278
2-day:, 77,94,118,138,166,189,214,240,278,309
3-day:, 83,100,126,147,177,201,227,255,294,325
4-day:, 88,107,134,156,187,213,240,269,309,342
7-day:, 101,122,151,174,207,233,260,288,328,359
10-day:, 115,138,168,192,224,249,274,300,334,362
20-day:, 153,183,219,247,285,315,345,375,416,447
30-day:, 188,222,261,290,328,357,386,414,450,477
45-day:, 236,277,321,353,394,425,454,482,518,543
60-day:, 281,330,375,410,453,484,512,539,571,593

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,17
10-min:, 11,13,16,18,20,21,23,24,25,26
15-min:, 14,16,20,22,25,27,29,30,32,33
30-min:, 19,22,28,32,37,41,44,47,51,53
60-min:, 23,28,36,42,49,55,61,66,73,78
2-hr:, 27,33,42,49,59,66,73,79,88,94
3-hr:, 29,35,45,52,62,70,78,85,94,101
6-hr:, 36,43,55,64,76,86,96,106,119,128
12-hr:, 44,53,66,77,93,105,119,132,151,165
24-hr:, 57,69,87,102,123,140,159,178,205,226
2-day:, 66,80,101,118,142,161,181,202,230,253
3-day:, 71,86,108,125,150,170,191,213,242,265
4-day:, 75,91,114,133,159,180,201,223,253,277
7-day:, 87,105,131,150,178,199,222,244,274,297
10-day:, 101,121,148,168,196,217,238,259,286,307
20-day:, 137,162,195,219,252,278,303,327,359,382
30-day:, 169,200,234,261,294,319,343,366,395,416
45-day:, 214,252,291,320,357,384,409,433,462,481
60-day:, 256,301,343,374,412,439,464,487,513,531

Date/time (GMT):  Thu Feb 29 23:07:28 2024
pyRunTime:  0.0720670223236084
