Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.87681868 Degree
Longitude: -74.66931433 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 14,17,20,23,25,28,30,32,34,36
15-min:, 18,21,26,29,32,35,37,40,43,45
30-min:, 24,30,36,41,48,53,57,62,68,73
60-min:, 31,37,47,54,64,71,79,87,98,106
2-hr:, 37,45,57,66,79,89,99,110,125,137
3-hr:, 40,49,62,73,87,99,111,124,142,157
6-hr:, 50,61,77,90,109,125,142,161,187,210
12-hr:, 61,74,93,111,136,159,183,211,251,287
24-hr:, 71,86,111,132,165,193,225,261,315,362
2-day:, 81,98,126,151,187,218,253,292,351,401
3-day:, 85,103,132,157,194,226,261,300,358,408
4-day:, 89,108,138,164,201,233,269,307,365,414
7-day:, 104,126,158,185,226,260,297,338,397,448
10-day:, 118,142,176,204,244,277,312,350,405,454
20-day:, 160,190,229,261,304,339,375,413,464,505
30-day:, 198,235,278,312,359,395,432,469,519,557
45-day:, 253,299,348,386,435,473,509,544,589,622
60-day:, 303,356,411,451,503,541,576,610,652,683

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,35,38,41,44,48,51
30-min:, 27,33,40,46,53,58,63,69,76,82
60-min:, 34,41,51,59,70,79,87,97,109,120
2-hr:, 41,50,63,73,87,99,111,123,141,156
3-hr:, 45,55,69,81,97,110,125,139,161,179
6-hr:, 57,69,86,101,122,140,160,181,213,240
12-hr:, 69,83,105,124,153,178,206,238,286,329
24-hr:, 77,93,120,143,178,208,242,281,339,391
2-day:, 88,107,137,163,202,236,273,316,380,436
3-day:, 92,112,143,170,209,243,281,323,386,440
4-day:, 96,117,149,176,216,250,288,329,392,445
7-day:, 112,134,169,198,241,277,316,360,425,479
10-day:, 126,151,187,217,259,294,332,372,431,484
20-day:, 169,201,242,275,321,358,395,435,490,534
30-day:, 208,246,292,328,376,414,453,492,546,588
45-day:, 265,312,364,403,455,494,532,569,617,653
60-day:, 317,372,429,471,525,564,602,638,684,717

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,17,18,19,20
10-min:, 13,15,18,20,23,25,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,37,39
30-min:, 22,27,33,37,43,47,51,55,59,63
60-min:, 28,34,42,49,57,64,70,77,85,92
2-hr:, 33,40,51,59,70,79,87,96,108,117
3-hr:, 36,44,56,65,77,87,97,107,121,132
6-hr:, 45,55,69,80,96,110,124,138,158,174
12-hr:, 55,66,84,99,120,139,158,179,208,233
24-hr:, 65,79,102,122,150,175,202,232,276,313
2-day:, 75,91,117,139,171,198,228,260,308,348
3-day:, 79,96,123,146,179,207,237,269,317,357
4-day:, 83,101,129,152,186,215,245,278,326,366
7-day:, 98,118,148,173,210,240,273,307,358,399
10-day:, 111,134,165,191,228,258,289,322,369,410
20-day:, 152,181,218,247,288,320,352,385,430,464
30-day:, 189,224,265,297,340,374,407,441,484,517
45-day:, 242,285,332,368,415,449,482,514,554,583
60-day:, 290,341,393,432,480,516,549,580,618,645

Date/time (GMT):  Thu Feb 29 23:07:30 2024
pyRunTime:  0.009331941604614258
