Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.4206575 Degree
Longitude: -82.23973551 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,22,24
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 17,20,24,27,31,33,36,38,41,43
30-min:, 23,27,33,38,44,48,52,56,61,65
60-min:, 28,33,42,48,57,63,69,76,84,91
2-hr:, 32,38,48,55,65,73,81,89,100,109
3-hr:, 33,40,50,58,69,77,86,95,107,116
6-hr:, 39,47,58,67,80,90,100,111,126,138
12-hr:, 46,55,67,77,91,103,115,128,145,160
24-hr:, 56,67,81,92,108,121,134,148,167,182
2-day:, 67,80,95,108,125,139,153,168,187,202
3-day:, 72,85,102,115,133,147,161,175,194,209
4-day:, 77,91,109,122,140,154,168,182,201,215
7-day:, 93,109,128,142,161,176,190,203,221,234
10-day:, 107,125,145,161,180,195,209,223,240,252
20-day:, 148,173,198,217,240,257,273,288,306,319
30-day:, 185,216,245,266,291,310,327,343,362,375
45-day:, 236,275,307,331,361,381,400,417,436,450
60-day:, 284,330,366,393,424,447,467,484,505,518

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 15,18,22,24,27,29,32,33,36,37
15-min:, 19,22,27,30,34,36,39,42,45,47
30-min:, 25,30,37,41,48,52,57,61,66,70
60-min:, 30,37,46,53,62,69,76,82,91,99
2-hr:, 35,42,52,60,71,79,88,96,108,117
3-hr:, 37,44,55,63,75,84,93,103,115,126
6-hr:, 43,52,64,73,87,97,108,120,135,148
12-hr:, 50,59,73,83,98,110,123,136,154,169
24-hr:, 60,71,86,98,115,128,142,157,177,192
2-day:, 71,85,101,115,133,147,162,177,198,214
3-day:, 77,91,109,122,141,156,171,186,206,221
4-day:, 82,98,116,130,149,164,179,194,213,228
7-day:, 98,116,136,151,171,186,200,215,233,247
10-day:, 113,133,154,170,190,206,221,235,253,266
20-day:, 155,182,208,227,252,270,286,302,321,335
30-day:, 194,226,256,277,304,324,342,358,378,392
45-day:, 246,287,320,345,376,397,416,434,455,469
60-day:, 296,344,381,409,442,465,486,504,526,540

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,19,20,21
10-min:, 13,15,18,20,23,25,26,28,30,31
15-min:, 16,19,22,25,28,30,32,34,37,38
30-min:, 21,25,30,35,40,43,47,50,55,58
60-min:, 25,31,38,44,51,57,63,68,75,81
2-hr:, 29,35,44,50,59,66,73,80,89,96
3-hr:, 31,37,46,53,62,70,77,85,95,103
6-hr:, 36,44,54,62,73,82,91,100,112,122
12-hr:, 43,51,62,72,84,94,105,116,130,142
24-hr:, 53,63,76,86,101,113,125,137,154,167
2-day:, 63,75,90,101,117,130,143,156,173,187
3-day:, 68,80,96,108,124,137,150,163,180,193
4-day:, 72,86,102,114,131,144,157,169,186,199
7-day:, 87,103,121,134,152,165,178,191,207,218
10-day:, 101,119,138,152,170,184,197,210,225,236
20-day:, 141,165,189,206,228,244,259,273,290,302
30-day:, 177,207,234,254,278,296,312,327,344,356
45-day:, 226,263,294,317,345,365,382,398,417,429
60-day:, 273,317,351,377,407,428,447,464,483,496

Date/time (GMT):  Thu Feb 29 23:07:35 2024
pyRunTime:  0.0076618194580078125
