Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.84317349 Degree
Longitude: -81.11934581 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,15,17,18,20,21,22
10-min:, 13,16,19,21,24,26,27,29,31,33
15-min:, 16,19,23,26,29,32,34,36,39,41
30-min:, 21,26,32,36,41,45,49,53,58,61
60-min:, 26,32,40,46,53,60,66,72,80,86
2-hr:, 30,37,46,53,63,70,78,85,96,104
3-hr:, 32,39,49,56,67,75,83,92,104,113
6-hr:, 39,47,58,66,79,89,99,110,124,136
12-hr:, 46,55,67,77,91,102,114,127,144,159
24-hr:, 55,65,79,90,106,118,132,145,164,179
2-day:, 65,77,92,105,121,135,148,162,182,196
3-day:, 70,83,99,112,129,142,156,170,189,203
4-day:, 75,89,106,119,136,150,164,177,196,209
7-day:, 91,108,126,140,159,173,187,200,218,231
10-day:, 105,124,143,158,178,192,206,220,236,249
20-day:, 149,174,199,218,241,258,274,289,308,321
30-day:, 188,219,248,269,295,314,331,347,367,380
45-day:, 240,280,313,337,367,388,407,424,444,458
60-day:, 290,337,374,401,433,456,476,494,515,529

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 14,17,21,23,26,28,30,32,34,36
15-min:, 18,21,25,28,32,35,37,40,42,44
30-min:, 23,28,35,39,45,50,54,58,63,67
60-min:, 29,35,44,50,59,65,72,78,87,94
2-hr:, 33,41,50,58,68,76,85,93,104,113
3-hr:, 36,43,54,62,73,82,91,100,112,122
6-hr:, 42,51,63,72,85,96,107,118,134,146
12-hr:, 50,60,73,83,98,110,123,136,155,170
24-hr:, 59,70,85,97,113,127,140,155,174,190
2-day:, 69,82,98,111,129,143,158,172,192,208
3-day:, 74,88,105,118,136,151,165,180,199,214
4-day:, 80,94,112,125,144,158,173,187,206,220
7-day:, 96,113,133,148,167,182,196,210,229,242
10-day:, 110,130,151,166,186,202,216,230,248,261
20-day:, 156,183,209,229,253,272,288,304,324,337
30-day:, 197,230,260,283,310,330,348,365,385,399
45-day:, 252,294,329,354,385,407,427,445,466,480
60-day:, 304,353,391,420,454,477,498,517,539,554

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,14,17,19,21,23,25,26,28,29
15-min:, 15,18,21,23,26,29,31,32,35,36
30-min:, 19,23,29,32,37,41,44,47,51,54
60-min:, 24,29,36,41,48,54,59,64,71,76
2-hr:, 28,34,42,48,57,63,70,76,85,92
3-hr:, 30,36,45,51,60,68,75,82,92,99
6-hr:, 36,43,53,61,72,80,89,98,111,120
12-hr:, 42,50,61,70,83,93,103,114,128,140
24-hr:, 51,61,74,84,99,110,122,134,151,163
2-day:, 61,72,87,98,114,126,138,151,168,181
3-day:, 66,78,93,105,121,134,146,159,175,188
4-day:, 71,84,100,112,129,141,154,166,183,195
7-day:, 86,102,119,133,150,163,176,189,204,216
10-day:, 100,117,136,151,169,182,195,208,223,234
20-day:, 141,165,189,207,229,245,260,274,291,303
30-day:, 179,209,236,256,281,299,315,330,347,360
45-day:, 229,267,299,322,350,370,387,404,422,435
60-day:, 277,322,357,383,414,435,454,471,491,504

Date/time (GMT):  Thu Feb 29 23:07:37 2024
pyRunTime:  0.32623720169067383
