Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.53961642 Degree
Longitude: -76.56820632 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,21,22,24
10-min:, 15,18,21,23,26,28,31,33,35,37
15-min:, 18,22,26,29,33,36,39,41,44,47
30-min:, 25,30,38,43,49,54,59,64,71,76
60-min:, 31,38,48,56,66,74,82,90,101,110
2-hr:, 38,46,58,67,81,91,103,114,131,145
3-hr:, 41,50,63,74,89,101,114,128,148,165
6-hr:, 50,61,77,90,110,126,144,164,193,217
12-hr:, 60,73,93,110,136,158,184,212,255,293
24-hr:, 70,85,111,133,167,196,230,267,325,375
2-day:, 80,98,127,152,189,222,259,300,363,417
3-day:, 85,103,133,159,198,232,269,311,374,429
4-day:, 90,109,140,167,207,241,279,322,385,440
7-day:, 104,125,159,187,229,265,304,348,412,467
10-day:, 118,142,177,206,247,282,320,360,421,471
20-day:, 158,187,227,258,303,339,376,415,468,511
30-day:, 195,231,276,311,359,397,436,475,529,570
45-day:, 245,289,338,377,426,464,501,538,584,619
60-day:, 292,344,398,438,489,527,563,598,641,672

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,26,29,31,34,36,40,42
15-min:, 20,24,29,32,37,40,43,46,50,53
30-min:, 28,34,41,47,54,60,66,72,79,85
60-min:, 34,42,53,61,72,81,91,100,114,125
2-hr:, 42,51,64,75,89,101,114,128,147,163
3-hr:, 45,55,70,82,98,112,127,143,166,186
6-hr:, 56,68,86,100,122,141,161,184,218,247
12-hr:, 68,82,104,123,152,178,207,240,291,336
24-hr:, 79,96,125,149,186,218,254,296,359,414
2-day:, 90,109,142,169,211,247,288,334,403,464
3-day:, 95,115,149,177,220,257,298,344,414,474
4-day:, 100,121,156,185,229,267,308,355,424,484
7-day:, 114,138,174,205,251,290,333,380,450,510
10-day:, 128,154,192,224,269,306,347,391,456,512
20-day:, 169,202,244,278,325,364,404,445,503,550
30-day:, 209,248,295,333,384,424,466,508,566,611
45-day:, 260,307,359,400,452,492,531,570,621,659
60-day:, 310,364,421,464,518,558,597,634,680,714

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,24,25,27,29,31,32
15-min:, 17,20,24,27,30,32,34,36,39,40
30-min:, 23,28,34,38,44,48,53,57,62,65
60-min:, 28,35,44,50,59,66,73,79,88,95
2-hr:, 34,42,53,61,72,81,91,100,114,124
3-hr:, 37,45,57,66,79,89,100,111,127,139
6-hr:, 45,55,69,81,98,111,126,141,163,181
12-hr:, 54,65,83,97,119,138,158,179,211,238
24-hr:, 63,77,100,119,148,173,201,232,278,317
2-day:, 72,88,114,136,168,196,227,261,311,353
3-day:, 77,93,121,143,177,206,237,272,323,366
4-day:, 82,99,127,151,186,216,248,284,335,379
7-day:, 95,115,146,171,208,240,274,310,363,407
10-day:, 109,131,163,189,227,258,291,325,376,418
20-day:, 147,175,212,241,281,313,347,380,426,462
30-day:, 182,216,257,290,334,369,403,438,484,520
45-day:, 230,272,319,354,400,435,468,501,542,573
60-day:, 276,324,375,413,461,496,528,559,598,625

Date/time (GMT):  Thu Feb 29 23:07:39 2024
pyRunTime:  0.04157376289367676
