Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.4941853 Degree
Longitude: -78.71788306 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,16,17,19,21,23,25
10-min:, 13,15,18,21,24,26,28,31,34,37
15-min:, 15,19,22,25,29,32,35,39,43,46
30-min:, 20,25,31,35,41,46,51,56,63,69
60-min:, 25,31,39,45,54,61,68,76,87,97
2-hr:, 29,35,45,53,64,72,82,93,108,120
3-hr:, 31,38,48,56,68,77,88,99,116,130
6-hr:, 38,46,57,67,81,92,104,118,137,154
12-hr:, 48,58,71,83,100,114,130,148,174,196
24-hr:, 55,66,81,93,111,126,142,159,183,202
2-day:, 64,76,93,107,126,142,159,177,202,222
3-day:, 68,81,99,113,133,149,167,184,209,229
4-day:, 73,87,105,119,140,156,174,192,216,236
7-day:, 88,104,124,140,162,180,197,215,240,258
10-day:, 106,125,147,165,189,208,227,246,271,290
20-day:, 155,182,211,234,263,285,307,329,357,378
30-day:, 194,226,259,285,317,342,366,390,419,441
45-day:, 246,286,324,352,388,415,440,463,492,513
60-day:, 308,358,402,435,475,505,532,557,588,610

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,23,26,28
10-min:, 14,17,20,23,26,29,31,34,38,40
15-min:, 17,21,25,28,32,36,39,42,47,50
30-min:, 23,28,34,39,46,51,56,62,69,75
60-min:, 28,34,43,50,59,67,75,84,96,106
2-hr:, 32,39,50,58,70,80,90,102,118,132
3-hr:, 35,42,53,62,75,85,97,109,127,142
6-hr:, 43,51,64,74,89,102,115,130,151,169
12-hr:, 54,64,80,92,111,126,144,163,191,215
24-hr:, 61,72,89,102,122,137,154,172,198,219
2-day:, 69,83,101,116,136,154,172,191,217,239
3-day:, 74,88,107,122,143,161,179,198,225,246
4-day:, 79,94,113,128,150,168,187,206,233,254
7-day:, 94,112,133,150,173,192,211,230,256,276
10-day:, 113,134,157,176,201,222,241,262,289,310
20-day:, 164,193,223,247,278,301,324,347,377,400
30-day:, 203,238,272,299,334,360,385,410,442,465
45-day:, 257,300,340,370,407,435,461,486,517,540
60-day:, 321,373,419,453,495,526,555,581,614,637

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,17,18,20,22
10-min:, 11,14,17,19,21,23,25,27,30,32
15-min:, 14,17,20,23,26,29,31,34,37,40
30-min:, 19,23,28,32,37,41,45,49,55,59
60-min:, 23,28,35,40,48,54,61,67,76,84
2-hr:, 26,32,40,47,57,64,72,81,93,103
3-hr:, 28,34,43,50,60,69,77,87,100,111
6-hr:, 35,42,52,60,72,82,92,103,118,131
12-hr:, 43,52,65,75,90,102,115,129,150,167
24-hr:, 51,61,74,86,102,115,128,143,163,179
2-day:, 59,70,86,99,116,130,145,160,181,198
3-day:, 64,76,92,105,123,137,152,168,189,205
4-day:, 68,81,98,111,130,145,160,175,197,213
7-day:, 83,98,117,132,152,168,183,199,220,236
10-day:, 100,118,139,155,177,194,211,228,250,267
20-day:, 148,174,201,222,249,270,290,309,334,352
30-day:, 185,216,247,271,302,325,347,368,394,414
45-day:, 235,274,309,336,371,395,418,440,466,485
60-day:, 295,343,385,416,455,483,508,531,559,578

Date/time (GMT):  Thu Feb 29 23:07:41 2024
pyRunTime:  0.08979082107543945
