Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.43625568 Degree
Longitude: -78.20376846 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,26,28,31,33
15-min:, 14,17,21,23,27,30,32,35,39,42
30-min:, 19,23,28,32,38,42,47,51,57,62
60-min:, 23,28,36,41,49,56,62,69,79,87
2-hr:, 27,33,41,48,58,66,75,85,100,112
3-hr:, 29,36,45,52,62,71,81,92,108,122
6-hr:, 36,44,54,63,75,86,97,110,129,146
12-hr:, 45,54,67,77,93,106,121,137,163,184
24-hr:, 54,65,80,92,110,126,143,163,192,218
2-day:, 63,76,93,107,129,148,169,193,229,261
3-day:, 68,81,98,113,135,154,176,200,236,269
4-day:, 72,86,104,119,142,161,183,207,243,276
7-day:, 86,102,121,137,159,178,199,222,256,285
10-day:, 100,117,138,155,180,201,224,248,284,315
20-day:, 140,164,189,210,240,264,289,315,353,384
30-day:, 177,206,235,258,290,316,343,370,409,440
45-day:, 227,265,299,326,362,390,418,446,484,514
60-day:, 275,320,358,389,429,461,492,523,565,598

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,21,23,25
10-min:, 13,16,19,21,24,26,29,31,34,36
15-min:, 16,19,23,26,30,32,36,38,42,45
30-min:, 21,25,31,36,42,46,51,56,63,68
60-min:, 26,31,39,46,54,61,69,76,87,96
2-hr:, 30,36,46,53,64,73,83,94,109,123
3-hr:, 33,40,50,57,69,79,89,101,119,134
6-hr:, 40,48,60,69,82,94,106,120,141,159
12-hr:, 50,60,73,85,101,116,131,149,176,199
24-hr:, 60,72,88,101,121,137,156,177,209,236
2-day:, 70,83,102,117,140,161,183,209,249,284
3-day:, 74,88,107,123,147,168,191,217,257,292
4-day:, 79,93,113,130,154,175,198,224,265,301
7-day:, 93,110,130,147,171,192,214,239,276,308
10-day:, 107,126,149,167,193,216,240,266,305,338
20-day:, 149,175,202,224,256,281,308,336,377,411
30-day:, 187,219,249,274,308,335,364,393,435,469
45-day:, 240,280,315,343,381,411,441,471,513,545
60-day:, 290,337,377,410,452,485,518,551,597,632

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,20
10-min:, 11,13,15,17,19,21,23,25,27,29
15-min:, 13,15,19,21,24,26,29,31,34,36
30-min:, 17,21,25,29,34,37,41,45,50,54
60-min:, 21,25,32,37,44,49,55,61,69,75
2-hr:, 24,30,37,43,52,59,66,74,86,96
3-hr:, 27,32,40,47,56,63,72,81,94,104
6-hr:, 33,40,49,57,68,77,87,97,113,126
12-hr:, 41,50,61,70,84,95,108,121,141,158
24-hr:, 50,60,73,84,100,114,129,145,169,190
2-day:, 59,70,86,99,118,134,152,171,201,226
3-day:, 63,75,91,104,124,140,159,179,208,234
4-day:, 67,79,96,110,130,147,166,186,216,242
7-day:, 80,95,113,127,148,165,183,202,231,254
10-day:, 93,110,129,145,168,186,206,227,258,283
20-day:, 131,154,178,197,224,246,268,292,325,351
30-day:, 167,195,222,244,273,297,321,345,379,406
45-day:, 216,251,283,309,342,368,394,419,453,480
60-day:, 261,304,340,369,407,436,464,493,530,558

Date/time (GMT):  Thu Feb 29 23:07:45 2024
pyRunTime:  0.08353352546691895
