Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.20551978 Degree
Longitude: -79.09674063 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,21
10-min:, 14,16,19,22,24,26,28,30,32,33
15-min:, 17,21,25,28,31,33,36,37,40,41
30-min:, 24,29,35,40,46,50,54,58,63,67
60-min:, 30,36,45,52,61,68,75,82,91,98
2-hr:, 35,42,53,62,74,84,94,104,117,128
3-hr:, 37,45,57,67,80,90,100,111,125,137
6-hr:, 47,56,71,83,100,114,129,144,166,184
12-hr:, 57,69,87,103,125,144,165,187,220,248
24-hr:, 70,84,108,128,157,182,209,240,285,322
2-day:, 83,100,127,149,182,209,238,269,315,353
3-day:, 87,106,134,158,192,220,251,284,332,372
4-day:, 92,112,142,166,202,232,264,298,348,390
7-day:, 106,128,160,186,224,255,288,323,374,416
10-day:, 121,145,179,207,245,277,310,345,395,434
20-day:, 162,193,233,265,308,341,375,410,457,493
30-day:, 199,236,279,312,355,387,418,449,489,519
45-day:, 250,295,344,382,429,464,498,531,572,602
60-day:, 297,349,403,443,494,531,567,601,643,673

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,21,22,23
10-min:, 15,18,21,24,27,29,31,33,35,36
15-min:, 19,23,27,30,34,36,39,41,44,46
30-min:, 26,31,39,44,50,55,60,64,69,74
60-min:, 32,39,49,57,67,74,82,90,100,108
2-hr:, 39,47,59,69,81,92,103,114,129,141
3-hr:, 41,50,63,74,88,99,110,122,138,151
6-hr:, 52,62,78,92,110,126,142,159,183,203
12-hr:, 63,76,96,114,138,158,181,205,242,272
24-hr:, 77,93,119,140,172,199,228,261,309,351
2-day:, 90,110,139,163,198,228,259,294,345,388
3-day:, 96,116,147,173,210,240,274,310,363,408
4-day:, 101,122,155,182,221,253,288,326,381,428
7-day:, 116,140,174,203,243,276,312,351,407,453
10-day:, 131,157,194,224,265,299,335,373,427,471
20-day:, 174,208,251,284,330,366,403,441,493,533
30-day:, 212,251,297,331,376,410,444,478,522,555
45-day:, 264,312,364,404,453,491,527,562,607,640
60-day:, 313,368,425,467,521,560,598,635,680,714

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,18
10-min:, 13,15,18,20,22,24,25,26,28,29
15-min:, 16,19,22,25,28,30,32,33,35,36
30-min:, 22,26,32,36,41,45,49,52,56,59
60-min:, 27,33,41,47,55,61,67,73,80,86
2-hr:, 32,38,48,56,67,75,83,91,102,110
3-hr:, 34,41,52,61,72,80,89,98,109,118
6-hr:, 42,51,64,75,90,101,114,126,143,156
12-hr:, 52,63,79,93,112,128,144,162,186,207
24-hr:, 64,78,99,117,142,164,187,212,248,278
2-day:, 76,92,117,137,165,189,214,240,277,308
3-day:, 80,97,123,144,174,199,225,253,292,324
4-day:, 85,102,130,152,183,209,236,265,306,340
7-day:, 98,118,147,171,204,231,259,289,331,364
10-day:, 112,134,165,190,225,253,282,312,353,385
20-day:, 151,180,217,246,285,315,345,376,415,446
30-day:, 187,222,262,293,332,361,390,417,452,478
45-day:, 236,279,325,360,404,437,467,496,533,559
60-day:, 281,331,382,419,467,502,534,564,602,628

Date/time (GMT):  Thu Feb 29 23:07:47 2024
pyRunTime:  0.01771092414855957
