Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.14963789 Degree
Longitude: -74.8012637 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,17,18,19,21,22
10-min:, 14,16,19,22,24,27,29,31,33,35
15-min:, 18,21,23,27,31,34,36,39,41,44
30-min:, 24,28,33,39,45,51,56,60,66,71
60-min:, 30,36,43,51,60,69,77,85,94,104
2-hr:, 36,43,52,63,75,86,97,108,121,134
3-hr:, 40,47,57,70,83,96,108,121,138,154
6-hr:, 50,58,70,86,103,120,137,155,179,203
12-hr:, 59,70,84,104,127,150,174,200,236,274
24-hr:, 69,84,109,131,164,193,226,263,319,369
2-day:, 79,97,126,150,188,221,258,299,361,416
3-day:, 84,102,131,157,195,228,265,307,369,423
4-day:, 88,107,137,163,202,236,273,315,377,430
7-day:, 102,123,155,183,224,260,298,341,404,457
10-day:, 114,137,171,199,239,273,309,348,408,460
20-day:, 153,181,219,250,293,328,364,401,453,495
30-day:, 190,225,269,303,350,387,425,463,515,555
45-day:, 241,284,333,370,419,456,493,528,575,609
60-day:, 286,337,390,429,479,516,552,585,627,657

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,19,20,22,23,25
10-min:, 16,18,21,24,27,30,32,34,37,39
15-min:, 20,23,26,30,34,38,40,43,46,50
30-min:, 27,31,37,44,50,57,62,67,74,80
60-min:, 33,39,47,57,67,77,85,95,106,117
2-hr:, 41,49,59,71,85,97,109,122,138,154
3-hr:, 45,53,64,78,94,108,123,138,157,177
6-hr:, 56,66,80,97,117,136,156,177,205,234
12-hr:, 68,79,96,117,143,170,197,228,271,315
24-hr:, 77,93,121,145,181,212,248,288,349,403
2-day:, 88,108,140,167,208,244,284,329,397,458
3-day:, 92,112,145,173,214,250,290,335,403,463
4-day:, 96,117,150,178,220,256,297,341,409,468
7-day:, 111,134,169,199,243,281,322,368,436,495
10-day:, 123,148,184,214,258,294,332,375,438,500
20-day:, 163,194,234,267,312,349,387,427,483,528
30-day:, 202,239,285,321,371,410,450,491,546,590
45-day:, 254,300,351,390,442,481,520,558,608,645
60-day:, 301,354,410,451,504,542,580,615,660,693

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,10,12,14,15,16,17,18,19
10-min:, 13,15,17,19,22,24,25,27,29,30
15-min:, 16,18,21,24,27,30,32,34,36,38
30-min:, 22,25,30,35,41,45,49,53,57,61
60-min:, 27,32,38,46,54,61,68,74,82,89
2-hr:, 32,38,46,56,66,76,84,93,104,114
3-hr:, 36,42,51,61,73,84,94,104,117,129
6-hr:, 44,52,63,76,91,105,119,133,151,169
12-hr:, 53,62,75,92,112,131,150,170,197,223
24-hr:, 63,76,99,118,146,171,199,229,274,312
2-day:, 72,87,113,135,168,196,227,261,311,354
3-day:, 76,93,120,142,176,205,236,271,321,364
4-day:, 81,98,126,149,184,214,246,280,332,374
7-day:, 94,113,143,169,205,236,269,306,357,401
10-day:, 106,127,158,184,220,250,282,316,365,408
20-day:, 143,170,206,234,273,305,337,370,415,450
30-day:, 179,212,253,285,328,362,396,430,475,510
45-day:, 228,270,316,351,397,431,464,496,538,568
60-day:, 272,320,371,408,455,489,521,552,589,616

Date/time (GMT):  Thu Feb 29 23:07:50 2024
pyRunTime:  0.055580854415893555
