Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.91508025 Degree
Longitude: -75.70908737 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,23,26,29
10-min:, 14,16,20,22,25,28,31,34,39,44
15-min:, 17,20,24,27,32,35,39,43,49,55
30-min:, 23,27,34,39,45,51,57,64,75,84
60-min:, 28,34,43,50,59,68,78,88,105,120
2-hr:, 34,41,52,60,74,87,101,118,146,171
3-hr:, 37,45,57,66,81,95,110,129,159,187
6-hr:, 48,57,70,82,100,117,137,161,199,235
12-hr:, 59,71,89,104,128,150,176,208,259,307
24-hr:, 71,85,106,124,153,181,213,253,317,377
2-day:, 83,99,123,144,178,210,248,293,367,437
3-day:, 87,104,129,150,185,217,255,300,375,444
4-day:, 92,110,135,156,191,224,262,308,382,451
7-day:, 109,130,159,183,223,259,301,350,430,504
10-day:, 126,150,181,207,248,285,328,378,456,527
20-day:, 171,202,236,265,310,349,393,443,520,588
30-day:, 213,250,288,320,368,409,455,506,583,649
45-day:, 269,313,355,390,441,485,533,585,661,726
60-day:, 324,377,423,463,520,569,622,680,763,834

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,23,25,29,33
10-min:, 15,18,22,25,28,31,35,39,44,49
15-min:, 19,23,27,31,35,39,43,48,56,62
30-min:, 25,31,38,43,51,57,64,72,84,95
60-min:, 31,38,48,55,66,76,87,99,118,136
2-hr:, 38,46,58,67,83,97,113,132,164,194
3-hr:, 42,51,63,73,90,105,123,144,178,211
6-hr:, 53,64,78,91,111,130,153,180,224,266
12-hr:, 66,80,99,115,142,167,197,233,292,348
24-hr:, 78,93,116,135,166,195,230,271,338,401
2-day:, 91,109,135,157,194,227,267,315,394,468
3-day:, 96,114,141,164,201,235,275,323,401,475
4-day:, 100,120,147,170,208,242,282,331,409,483
7-day:, 119,142,173,200,242,280,325,378,463,542
10-day:, 137,163,196,224,268,308,353,406,489,566
20-day:, 184,217,254,284,331,373,420,473,555,627
30-day:, 227,267,307,341,391,435,483,538,619,690
45-day:, 285,332,376,413,467,514,564,619,701,770
60-day:, 342,398,447,488,548,600,655,716,804,879

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,18,19,22,24
10-min:, 12,15,17,20,22,25,27,30,33,36
15-min:, 15,18,22,24,28,31,34,37,42,45
30-min:, 20,25,30,34,40,45,50,55,63,70
60-min:, 25,30,38,44,52,60,67,76,89,99
2-hr:, 30,37,46,54,66,76,88,102,123,143
3-hr:, 34,41,51,59,72,83,96,111,135,156
6-hr:, 43,52,63,73,89,103,119,138,168,195
12-hr:, 54,65,80,93,113,132,153,178,218,253
24-hr:, 65,78,97,113,139,162,190,223,275,322
2-day:, 77,92,114,132,162,190,222,259,320,375
3-day:, 81,97,119,138,169,196,229,267,328,383
4-day:, 85,102,124,144,175,203,236,274,336,391
7-day:, 101,120,146,169,203,235,271,313,379,438
10-day:, 117,139,167,191,228,260,297,340,406,464
20-day:, 160,188,220,247,287,323,361,405,471,528
30-day:, 200,235,270,299,343,381,422,467,533,590
45-day:, 255,297,336,369,417,457,500,547,614,671
60-day:, 308,358,402,439,493,538,586,638,713,775

Date/time (GMT):  Thu Feb 29 23:07:52 2024
pyRunTime:  0.03758692741394043
