Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.87172293 Degree
Longitude: -75.82904158 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,22,23
10-min:, 14,17,20,23,25,28,30,32,34,36
15-min:, 18,21,26,29,32,35,38,40,43,45
30-min:, 24,30,36,41,48,53,58,62,68,73
60-min:, 30,37,46,54,63,71,79,87,98,107
2-hr:, 37,45,56,65,78,88,99,110,125,137
3-hr:, 40,48,61,71,86,98,110,123,141,156
6-hr:, 49,59,74,87,106,122,139,157,183,206
12-hr:, 59,71,89,106,131,152,177,203,243,278
24-hr:, 68,82,107,128,161,189,222,258,313,360
2-day:, 78,95,123,148,185,217,253,293,355,408
3-day:, 82,100,129,154,192,225,261,302,363,415
4-day:, 87,105,135,161,200,233,269,310,371,422
7-day:, 100,121,153,180,220,255,293,334,395,447
10-day:, 112,135,168,196,235,269,304,342,398,448
20-day:, 151,180,218,248,291,326,361,398,450,490
30-day:, 188,223,266,299,346,382,419,457,508,547
45-day:, 237,280,328,365,413,450,485,520,565,599
60-day:, 283,333,385,424,474,510,545,578,619,648

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 16,19,22,25,28,31,33,35,38,41
15-min:, 20,24,28,32,36,39,42,45,48,51
30-min:, 27,33,40,46,53,58,64,69,77,83
60-min:, 34,41,51,60,71,79,88,97,110,121
2-hr:, 41,50,62,73,87,98,110,123,141,156
3-hr:, 44,54,68,79,95,108,122,137,159,177
6-hr:, 55,66,83,97,118,135,155,176,207,234
12-hr:, 66,80,101,119,147,172,199,230,278,320
24-hr:, 74,90,117,140,175,205,239,278,337,388
2-day:, 86,105,136,163,203,237,276,320,386,444
3-day:, 91,110,143,170,211,246,285,329,395,452
4-day:, 95,116,149,177,218,254,294,338,404,461
7-day:, 109,132,167,196,239,276,316,361,426,482
10-day:, 121,146,182,211,253,288,326,367,427,487
20-day:, 162,193,233,266,311,348,386,425,481,525
30-day:, 201,239,284,320,369,408,447,487,542,584
45-day:, 252,297,348,387,438,477,514,552,600,636
60-day:, 299,351,406,447,499,538,575,609,653,685

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,18,19,20
10-min:, 13,15,18,20,23,24,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,37,39
30-min:, 22,27,32,37,42,47,51,54,59,63
60-min:, 27,33,42,48,57,63,70,76,85,92
2-hr:, 33,40,50,58,69,78,87,96,107,117
3-hr:, 36,43,55,64,76,86,96,107,121,132
6-hr:, 44,53,67,78,94,107,121,135,155,172
12-hr:, 52,63,79,94,115,133,152,172,201,226
24-hr:, 62,76,98,118,146,171,198,228,273,311
2-day:, 71,87,113,134,167,195,225,259,309,351
3-day:, 75,92,118,141,174,202,233,267,318,359
4-day:, 79,97,124,147,181,210,241,275,326,368
7-day:, 92,111,141,166,202,232,264,299,350,392
10-day:, 105,126,156,181,217,247,278,311,358,400
20-day:, 142,169,204,232,271,303,335,367,411,445
30-day:, 177,209,249,280,323,356,390,423,467,501
45-day:, 224,264,309,344,388,422,455,487,526,555
60-day:, 269,316,365,402,449,483,515,544,581,607

Date/time (GMT):  Thu Feb 29 23:07:54 2024
pyRunTime:  0.09330630302429199
