Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.02991616 Degree
Longitude: -77.34734766 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,22,23
10-min:, 15,18,21,23,26,28,31,32,35,37
15-min:, 19,22,26,30,33,36,39,41,44,46
30-min:, 26,31,37,43,49,54,59,64,70,74
60-min:, 32,39,48,56,65,73,81,89,100,109
2-hr:, 38,46,57,67,80,91,102,114,130,143
3-hr:, 41,50,62,73,87,100,112,125,143,159
6-hr:, 50,60,75,89,107,124,141,159,185,207
12-hr:, 61,73,91,109,133,155,179,204,243,276
24-hr:, 68,83,106,127,159,187,218,254,308,355
2-day:, 79,96,123,147,182,212,246,284,341,390
3-day:, 84,102,130,155,192,223,258,298,356,407
4-day:, 89,107,137,163,201,234,271,311,372,423
7-day:, 103,124,156,184,225,260,298,341,403,457
10-day:, 117,141,175,204,246,280,318,358,416,464
20-day:, 157,187,226,258,302,337,374,411,464,505
30-day:, 194,229,273,307,354,391,429,467,518,559
45-day:, 244,289,337,375,424,462,498,534,580,614
60-day:, 290,341,394,434,485,523,559,593,637,669

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,24,26
10-min:, 17,20,23,26,29,31,34,36,39,41
15-min:, 21,25,29,33,37,40,43,45,49,51
30-min:, 28,34,41,47,54,60,65,70,77,83
60-min:, 35,43,53,62,72,81,90,99,111,121
2-hr:, 42,51,64,75,89,101,114,127,145,160
3-hr:, 46,56,70,82,98,112,126,141,161,179
6-hr:, 57,69,86,101,122,140,159,179,209,235
12-hr:, 69,83,104,124,151,176,202,231,275,314
24-hr:, 76,92,119,142,176,206,240,278,337,389
2-day:, 87,106,136,162,200,233,270,311,373,428
3-day:, 92,112,144,170,210,245,283,325,390,445
4-day:, 98,118,151,179,221,256,296,340,406,463
7-day:, 112,135,171,201,245,282,324,370,438,497
10-day:, 127,153,190,221,266,303,343,387,450,503
20-day:, 169,201,243,277,324,361,401,441,498,544
30-day:, 207,245,291,328,378,417,457,498,554,598
45-day:, 260,307,359,399,451,490,529,567,617,655
60-day:, 306,360,416,458,512,552,590,627,674,709

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,29,30,32
15-min:, 17,20,24,27,30,32,34,36,38,40
30-min:, 23,28,34,38,44,48,52,56,61,65
60-min:, 29,35,43,50,59,66,72,79,87,94
2-hr:, 34,41,51,60,71,80,90,99,112,122
3-hr:, 37,44,55,65,77,87,97,108,122,134
6-hr:, 45,54,67,79,94,108,121,136,156,172
12-hr:, 54,65,81,96,116,134,153,172,201,226
24-hr:, 62,75,97,115,143,167,193,222,265,302
2-day:, 72,88,112,133,164,191,219,251,297,335
3-day:, 77,93,119,141,173,201,231,263,311,350
4-day:, 81,98,126,149,182,211,242,276,325,365
7-day:, 95,114,144,169,205,236,269,304,356,398
10-day:, 108,130,162,188,225,256,288,322,370,410
20-day:, 147,175,211,240,280,311,343,376,421,455
30-day:, 181,215,255,287,330,363,397,431,476,509
45-day:, 230,271,317,352,397,432,465,496,537,567
60-day:, 273,321,371,409,457,492,524,556,594,621

Date/time (GMT):  Thu Feb 29 23:07:56 2024
pyRunTime:  0.014379501342773438
