Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.56465022 Degree
Longitude: -77.02368761 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,32,34
15-min:, 17,20,24,27,30,33,35,38,41,43
30-min:, 23,28,34,39,45,49,54,58,64,69
60-min:, 29,35,44,50,59,66,74,81,92,100
2-hr:, 33,41,52,60,73,83,94,106,124,139
3-hr:, 36,44,56,65,78,90,102,115,134,150
6-hr:, 45,54,68,80,97,112,128,147,174,197
12-hr:, 54,65,83,98,121,141,163,189,228,263
24-hr:, 64,77,98,117,146,171,201,235,287,333
2-day:, 74,89,113,134,166,194,226,261,316,363
3-day:, 78,94,120,142,175,204,237,274,331,381
4-day:, 82,99,126,149,184,214,249,287,346,398
7-day:, 96,115,145,170,208,241,278,319,382,436
10-day:, 110,131,163,190,229,262,298,338,396,446
20-day:, 149,177,212,242,283,317,352,390,443,486
30-day:, 184,217,257,289,334,370,407,446,501,544
45-day:, 231,272,316,351,397,433,469,504,552,589
60-day:, 276,324,372,410,459,497,533,570,617,653

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,23,26,29,31,33,36,38
15-min:, 19,22,27,30,33,36,39,41,45,47
30-min:, 25,31,38,43,49,54,59,64,71,76
60-min:, 32,39,48,55,65,73,81,90,101,110
2-hr:, 37,45,57,67,80,92,104,117,137,154
3-hr:, 41,49,62,72,87,100,113,128,150,168
6-hr:, 50,61,77,90,109,125,144,164,195,221
12-hr:, 62,75,95,112,137,160,185,214,258,297
24-hr:, 71,86,110,130,162,189,221,257,313,364
2-day:, 83,101,128,151,187,218,253,292,352,405
3-day:, 88,106,135,159,196,229,265,306,369,424
4-day:, 93,112,142,167,206,240,278,321,385,442
7-day:, 107,129,162,190,232,268,309,355,423,484
10-day:, 122,146,181,210,252,289,329,372,436,491
20-day:, 161,192,230,262,306,343,381,422,481,528
30-day:, 198,234,276,310,358,397,437,480,538,585
45-day:, 247,290,337,374,423,461,499,538,589,629
60-day:, 293,343,395,434,486,526,565,604,656,694

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,15,16,17,18,19
10-min:, 12,15,17,19,21,23,25,26,28,30
15-min:, 15,18,22,24,27,29,31,33,36,37
30-min:, 21,25,31,35,40,44,48,51,56,60
60-min:, 26,31,39,45,53,59,65,72,80,87
2-hr:, 30,37,46,54,65,73,83,93,107,119
3-hr:, 32,39,50,58,69,79,89,100,115,128
6-hr:, 40,48,61,71,86,98,112,126,148,165
12-hr:, 48,58,73,86,105,122,140,160,190,215
24-hr:, 58,70,89,105,130,152,177,204,245,281
2-day:, 66,80,102,120,148,171,197,226,270,306
3-day:, 70,85,107,127,155,180,208,238,283,321
4-day:, 74,89,113,133,163,189,218,249,296,336
7-day:, 87,104,131,153,186,214,246,279,329,372
10-day:, 100,120,148,172,207,235,266,299,347,386
20-day:, 138,164,196,223,260,291,322,354,399,435
30-day:, 172,203,240,270,310,343,376,410,457,493
45-day:, 218,256,297,329,372,405,437,469,511,543
60-day:, 261,306,351,386,431,466,499,531,573,604

Date/time (GMT):  Thu Feb 29 23:07:58 2024
pyRunTime:  0.01141214370727539
