Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.73066666 Degree
Longitude: -80.73455942 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 13,16,19,21,24,27,29,31,34,36
15-min:, 17,20,24,27,31,34,36,39,43,46
30-min:, 23,28,34,39,46,51,56,61,68,74
60-min:, 28,35,44,51,61,69,77,86,98,108
2-hr:, 34,41,53,62,74,85,96,108,125,139
3-hr:, 37,45,57,66,80,91,103,116,135,150
6-hr:, 46,56,70,82,98,112,127,143,165,184
12-hr:, 57,69,86,100,119,135,152,171,198,221
24-hr:, 68,83,105,123,149,169,191,215,248,276
2-day:, 82,99,125,145,173,196,220,246,282,312
3-day:, 87,105,132,153,182,206,231,257,294,325
4-day:, 92,111,139,161,191,216,241,268,306,338
7-day:, 106,127,156,179,210,235,260,287,323,353
10-day:, 122,145,176,200,231,256,281,307,343,371
20-day:, 164,195,231,260,297,327,356,386,426,457
30-day:, 203,240,279,307,345,372,399,426,461,487
45-day:, 258,302,345,377,417,447,476,503,539,565
60-day:, 307,359,406,441,485,518,549,578,616,644

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,22,25,27
10-min:, 15,18,21,23,27,29,32,35,39,42
15-min:, 18,22,26,30,34,37,41,44,49,53
30-min:, 25,30,38,43,50,56,62,69,78,85
60-min:, 31,38,48,56,67,76,86,96,112,125
2-hr:, 37,45,58,68,82,94,107,121,142,161
3-hr:, 40,49,62,73,88,101,115,131,154,175
6-hr:, 50,61,77,89,108,123,141,159,188,212
12-hr:, 62,75,93,108,130,148,168,189,222,250
24-hr:, 74,90,114,134,161,183,207,233,270,302
2-day:, 88,107,135,157,187,212,239,267,308,342
3-day:, 93,113,142,164,196,222,249,278,319,354
4-day:, 99,119,149,172,205,231,259,288,331,366
7-day:, 113,136,167,191,224,250,278,307,348,381
10-day:, 129,155,187,212,246,273,300,328,367,399
20-day:, 174,206,245,274,314,345,377,409,454,489
30-day:, 215,253,294,325,364,393,422,451,489,517
45-day:, 270,317,362,395,438,470,500,530,569,598
60-day:, 321,376,425,462,508,543,576,608,649,680

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 12,15,17,19,22,24,25,27,29,30
15-min:, 15,18,22,25,28,30,32,34,36,38
30-min:, 21,25,31,36,41,45,49,53,58,61
60-min:, 26,32,40,46,55,61,68,74,83,89
2-hr:, 31,38,48,56,67,75,84,93,105,114
3-hr:, 34,41,52,60,72,81,91,100,113,123
6-hr:, 42,51,64,74,89,100,111,123,139,152
12-hr:, 52,63,79,92,108,122,135,149,168,184
24-hr:, 63,77,97,114,136,154,173,193,221,243
2-day:, 76,92,115,134,159,179,200,222,252,275
3-day:, 81,98,122,142,168,189,210,233,264,289
4-day:, 86,104,130,150,177,199,221,244,276,302
7-day:, 99,119,146,167,195,217,240,263,294,319
10-day:, 114,137,165,187,216,239,261,284,315,338
20-day:, 155,184,218,245,280,306,333,359,394,420
30-day:, 193,227,263,290,325,350,374,399,429,452
45-day:, 245,288,328,358,396,424,450,475,507,530
60-day:, 293,343,387,420,462,492,520,548,582,606

Date/time (GMT):  Thu Feb 29 23:08:00 2024
pyRunTime:  0.0757439136505127
