Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.56654283 Degree
Longitude: -75.94628056 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,21
10-min:, 14,17,20,22,25,26,28,30,32,33
15-min:, 18,21,25,28,31,33,36,38,40,42
30-min:, 24,29,36,40,46,50,55,58,64,67
60-min:, 30,36,46,52,61,68,75,82,91,98
2-hr:, 36,44,55,64,76,86,96,106,120,132
3-hr:, 39,47,60,69,83,94,105,117,133,147
6-hr:, 48,58,73,86,103,118,134,151,175,196
12-hr:, 59,71,90,106,130,151,174,199,236,269
24-hr:, 68,82,104,124,153,178,206,237,283,324
2-day:, 78,95,121,142,175,202,232,266,315,356
3-day:, 82,100,127,149,183,211,242,276,327,369
4-day:, 87,104,133,156,190,220,252,287,338,382
7-day:, 101,121,152,177,215,247,281,319,374,421
10-day:, 114,136,168,195,232,263,296,332,383,427
20-day:, 154,183,220,249,290,323,356,390,437,474
30-day:, 191,225,266,298,341,375,409,443,489,524
45-day:, 242,285,330,365,410,444,477,509,550,579
60-day:, 289,340,391,429,477,512,546,577,617,645

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,21,23,24
10-min:, 16,19,22,25,27,30,32,34,36,38
15-min:, 20,24,28,31,35,37,40,42,45,47
30-min:, 27,33,40,45,52,56,61,66,72,77
60-min:, 34,41,51,59,69,76,84,92,103,112
2-hr:, 40,49,62,72,85,96,107,119,135,149
3-hr:, 44,53,67,77,92,104,117,130,149,165
6-hr:, 54,65,82,96,115,131,149,168,197,221
12-hr:, 67,81,103,121,148,171,197,226,270,308
24-hr:, 74,90,115,136,167,194,223,257,307,350
2-day:, 86,104,133,156,191,221,253,290,343,388
3-day:, 90,109,139,163,199,230,263,300,355,402
4-day:, 94,114,145,170,207,239,273,311,368,415
7-day:, 109,132,165,193,233,267,305,345,406,456
10-day:, 123,147,182,210,250,283,319,357,413,460
20-day:, 165,196,236,267,310,345,381,417,469,509
30-day:, 203,240,283,317,363,399,435,472,521,560
45-day:, 256,301,350,387,435,471,506,540,584,616
60-day:, 306,359,413,453,504,541,577,611,653,684

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,16,17,18
10-min:, 12,15,18,20,22,23,25,26,27,28
15-min:, 16,19,22,25,28,29,31,33,35,36
30-min:, 21,26,32,36,41,44,48,51,55,58
60-min:, 27,33,41,47,54,60,66,72,79,84
2-hr:, 32,39,49,57,67,75,84,92,103,112
3-hr:, 35,43,54,62,74,83,92,102,115,125
6-hr:, 44,53,66,77,92,104,117,130,149,164
12-hr:, 53,64,80,94,114,131,149,168,196,218
24-hr:, 62,75,96,113,138,160,184,210,247,279
2-day:, 72,87,110,130,158,182,208,236,276,309
3-day:, 76,91,116,136,166,191,217,246,287,321
4-day:, 80,96,122,143,174,199,227,256,299,333
7-day:, 93,112,140,163,197,225,255,287,333,370
10-day:, 106,127,156,180,214,242,271,301,345,380
20-day:, 144,171,205,233,270,299,329,359,400,431
30-day:, 179,212,250,279,319,350,380,411,450,480
45-day:, 228,268,311,344,385,417,447,475,511,537
60-day:, 274,322,370,405,450,483,514,542,578,603

Date/time (GMT):  Thu Feb 29 23:08:03 2024
pyRunTime:  0.013381719589233398
