Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.92126 Degree
Longitude: -77.82249856 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,19,22,23
10-min:, 12,14,18,20,23,25,27,29,32,34
15-min:, 15,18,22,24,28,31,34,36,40,42
30-min:, 20,24,29,34,40,44,48,53,59,63
60-min:, 24,29,37,43,51,58,65,72,81,89
2-hr:, 28,33,43,50,60,68,77,86,100,111
3-hr:, 30,36,45,53,63,72,82,92,107,118
6-hr:, 37,44,55,63,76,87,98,109,127,140
12-hr:, 45,54,67,78,94,107,121,137,159,178
24-hr:, 56,67,83,96,115,131,148,166,193,214
2-day:, 64,77,95,110,132,151,170,191,222,247
3-day:, 68,82,101,117,139,158,178,200,231,257
4-day:, 72,87,106,123,146,166,187,209,241,268
7-day:, 85,102,123,141,165,185,205,226,256,279
10-day:, 99,117,140,159,184,205,226,247,277,301
20-day:, 136,160,187,207,235,256,276,297,324,344
30-day:, 171,200,230,253,282,304,326,347,373,393
45-day:, 215,251,284,309,340,362,383,402,426,442
60-day:, 255,297,334,360,393,416,437,456,479,494

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,16,18,20,21,24,25
10-min:, 13,16,19,22,25,27,30,32,35,37
15-min:, 17,20,24,27,31,34,37,40,44,46
30-min:, 22,26,33,37,44,48,53,58,65,69
60-min:, 27,32,41,48,57,64,71,79,89,98
2-hr:, 31,37,48,56,67,76,85,95,110,122
3-hr:, 33,40,50,59,70,80,90,101,117,130
6-hr:, 41,49,61,70,84,95,107,120,138,153
12-hr:, 50,60,75,86,103,118,133,149,173,193
24-hr:, 60,72,90,104,124,141,159,178,207,230
2-day:, 70,84,103,119,143,162,183,206,239,267
3-day:, 74,89,109,126,150,170,192,216,250,278
4-day:, 78,94,115,132,158,179,201,225,260,289
7-day:, 92,109,132,151,177,198,220,242,275,301
10-day:, 106,125,150,170,197,219,241,265,297,323
20-day:, 145,170,198,220,249,272,294,316,345,367
30-day:, 181,212,243,266,298,321,344,366,395,416
45-day:, 226,264,299,325,358,382,404,424,450,468
60-day:, 267,312,350,378,412,436,458,478,503,519

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,20,22,24,26,28,29
15-min:, 13,16,19,22,25,27,30,32,34,36
30-min:, 18,21,26,30,35,39,43,46,51,55
60-min:, 22,26,33,39,46,51,57,63,71,77
2-hr:, 25,30,38,44,53,60,67,75,85,94
3-hr:, 27,32,40,47,56,64,72,80,91,101
6-hr:, 33,40,49,57,68,77,86,96,110,120
12-hr:, 41,49,61,71,84,96,107,120,137,151
24-hr:, 52,62,77,89,106,120,134,150,172,189
2-day:, 60,72,88,102,122,138,154,172,197,218
3-day:, 63,76,93,108,128,145,162,181,207,228
4-day:, 67,80,99,114,135,152,170,189,216,237
7-day:, 80,95,115,131,153,171,189,207,232,251
10-day:, 92,110,131,148,172,190,209,227,253,272
20-day:, 128,151,176,195,220,240,259,277,300,317
30-day:, 162,190,218,239,266,287,307,325,349,366
45-day:, 204,238,270,293,322,343,362,380,401,415
60-day:, 243,283,318,343,374,396,415,433,454,468

Date/time (GMT):  Thu Feb 29 23:08:05 2024
pyRunTime:  0.029125690460205078
