Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.51092331 Degree
Longitude: -76.98580666 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,23,27,29,31,33,36,38
15-min:, 18,22,27,30,34,36,39,42,45,48
30-min:, 25,31,38,43,50,55,60,65,72,77
60-min:, 32,39,49,56,66,74,83,91,103,113
2-hr:, 37,45,58,67,80,91,102,114,131,145
3-hr:, 40,49,62,73,87,100,113,126,146,163
6-hr:, 49,60,76,89,108,124,141,160,188,212
12-hr:, 59,72,91,108,133,155,180,207,248,284
24-hr:, 68,83,108,129,162,191,223,260,315,364
2-day:, 78,95,124,148,184,216,252,292,353,406
3-day:, 83,101,130,155,193,226,262,303,365,418
4-day:, 88,107,137,163,202,235,273,314,376,430
7-day:, 102,123,155,183,224,260,298,341,405,458
10-day:, 116,140,174,203,244,279,316,356,414,463
20-day:, 156,185,224,256,300,335,372,410,463,506
30-day:, 193,228,272,306,354,391,430,469,522,563
45-day:, 242,285,334,371,421,458,495,530,577,612
60-day:, 288,339,392,431,482,520,555,589,632,663

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,16,18,20,22,23,25,27
10-min:, 16,20,23,26,29,32,34,37,40,43
15-min:, 20,25,29,33,37,40,43,46,50,54
30-min:, 28,34,42,47,55,61,66,72,80,87
60-min:, 35,42,54,62,73,82,91,101,115,126
2-hr:, 41,50,64,74,89,100,113,127,146,163
3-hr:, 45,55,69,81,97,111,125,141,164,184
6-hr:, 55,67,84,99,120,138,158,179,212,240
12-hr:, 67,81,103,121,149,174,202,233,281,324
24-hr:, 77,94,121,145,181,212,248,288,350,404
2-day:, 88,107,139,166,207,242,282,326,394,453
3-day:, 93,113,146,174,216,252,292,337,405,464
4-day:, 99,119,153,182,225,262,303,348,416,476
7-day:, 112,135,171,201,246,284,327,373,443,502
10-day:, 127,153,190,221,265,303,343,387,450,504
20-day:, 168,200,242,275,322,359,399,440,497,544
30-day:, 206,244,291,328,379,419,459,501,558,603
45-day:, 257,304,356,395,447,487,526,564,614,652
60-day:, 305,358,415,456,510,550,588,624,670,704

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,39,41
30-min:, 23,28,34,39,45,49,53,57,63,67
60-min:, 29,35,44,51,59,66,74,81,90,98
2-hr:, 34,41,52,60,72,81,90,100,114,124
3-hr:, 36,44,56,65,78,88,99,110,125,138
6-hr:, 45,54,68,79,96,109,123,138,160,177
12-hr:, 53,65,82,96,117,135,154,175,206,232
24-hr:, 62,75,97,116,144,169,196,226,270,308
2-day:, 70,86,111,132,164,191,221,254,302,343
3-day:, 75,91,117,139,172,200,231,264,314,355
4-day:, 80,96,124,147,181,209,241,275,326,368
7-day:, 93,112,142,167,204,234,268,304,355,398
10-day:, 107,129,160,186,223,254,286,320,369,409
20-day:, 145,173,209,238,278,309,342,376,421,457
30-day:, 180,213,254,286,329,363,398,432,478,512
45-day:, 227,268,313,348,394,428,461,493,534,564
60-day:, 271,319,369,406,454,488,521,551,589,616

Date/time (GMT):  Thu Feb 29 23:08:07 2024
pyRunTime:  0.05155634880065918
