Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.01909701 Degree
Longitude: -78.66314092 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,22
10-min:, 15,17,20,23,26,28,29,31,33,34
15-min:, 18,22,26,29,32,35,37,39,42,43
30-min:, 25,30,37,42,48,53,57,61,66,70
60-min:, 31,38,47,55,64,71,79,86,95,102
2-hr:, 37,45,56,66,78,89,99,109,123,135
3-hr:, 40,48,60,71,84,95,106,117,132,145
6-hr:, 49,59,74,87,104,119,134,150,173,192
12-hr:, 59,71,89,106,129,149,170,193,226,255
24-hr:, 69,83,106,126,155,179,206,236,281,318
2-day:, 81,98,124,146,177,204,232,263,308,345
3-day:, 85,103,131,154,187,215,245,278,324,363
4-day:, 90,109,138,163,197,227,258,292,341,382
7-day:, 104,125,156,182,218,249,282,316,366,407
10-day:, 118,142,175,202,240,271,304,338,387,426
20-day:, 160,191,231,262,305,338,372,406,453,489
30-day:, 198,235,277,310,353,385,416,447,487,516
45-day:, 249,294,344,381,428,464,497,530,571,601
60-day:, 297,349,403,443,494,532,568,602,645,675

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,23,24
10-min:, 17,20,23,26,29,31,33,35,37,38
15-min:, 21,25,29,32,36,39,42,44,46,48
30-min:, 28,34,41,47,54,59,64,68,74,78
60-min:, 35,43,53,61,71,80,88,96,106,114
2-hr:, 42,51,64,74,88,99,111,122,138,151
3-hr:, 45,55,68,80,95,107,119,131,148,162
6-hr:, 56,67,84,99,118,135,152,170,195,216
12-hr:, 67,81,101,120,145,167,190,215,252,284
24-hr:, 76,92,118,139,171,198,227,260,309,351
2-day:, 89,107,136,160,194,223,254,288,338,380
3-day:, 94,113,144,169,205,235,268,304,356,400
4-day:, 99,120,152,178,216,247,282,319,373,419
7-day:, 113,137,170,198,238,271,306,344,399,445
10-day:, 128,154,190,219,260,294,329,367,420,464
20-day:, 172,205,248,281,327,363,399,436,487,527
30-day:, 211,249,295,329,374,408,442,475,518,552
45-day:, 264,311,364,403,453,491,527,562,607,641
60-day:, 313,368,425,468,523,563,601,637,684,718

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,28,29
15-min:, 16,19,23,26,29,31,33,34,36,37
30-min:, 22,27,33,37,42,46,50,53,57,60
60-min:, 28,34,42,48,56,63,69,74,82,87
2-hr:, 33,40,50,58,68,77,85,94,105,114
3-hr:, 35,43,53,62,73,83,92,101,112,122
6-hr:, 43,52,65,76,91,103,115,128,145,159
12-hr:, 53,63,79,93,113,129,146,164,189,210
24-hr:, 63,76,97,114,139,160,183,208,244,273
2-day:, 74,90,114,133,161,185,209,234,271,301
3-day:, 78,95,120,141,170,195,220,247,286,317
4-day:, 83,100,127,148,180,205,232,260,301,333
7-day:, 96,115,143,166,199,226,254,283,324,356
10-day:, 109,131,161,186,220,248,276,305,346,378
20-day:, 149,178,215,243,282,312,342,372,411,442
30-day:, 186,220,260,291,330,359,387,414,449,474
45-day:, 235,277,324,359,403,435,466,495,531,557
60-day:, 280,330,381,418,466,501,534,564,602,629

Date/time (GMT):  Thu Feb 29 23:08:11 2024
pyRunTime:  0.044571638107299805
