Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.03639622 Degree
Longitude: -78.48597204 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,35,37,39,42,44
30-min:, 25,30,36,41,47,52,57,61,67,71
60-min:, 31,37,46,54,63,71,78,86,96,104
2-hr:, 37,45,56,66,78,88,99,110,126,139
3-hr:, 40,49,61,72,85,97,109,121,138,152
6-hr:, 51,62,77,91,109,125,142,160,185,208
12-hr:, 65,78,97,115,140,162,186,212,251,286
24-hr:, 77,93,119,141,173,201,232,266,316,360
2-day:, 91,110,140,165,201,231,264,299,351,395
3-day:, 97,117,149,175,213,245,280,317,372,418
4-day:, 103,125,158,186,226,259,296,335,392,441
7-day:, 120,144,180,209,252,287,325,366,425,474
10-day:, 135,163,201,232,276,311,349,389,446,493
20-day:, 178,212,256,291,338,375,413,452,504,545
30-day:, 218,259,306,342,389,425,459,494,539,573
45-day:, 272,322,376,417,469,507,545,581,627,661
60-day:, 320,376,434,478,533,574,613,650,696,731

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,17,19,20,22,23,25
10-min:, 16,19,22,25,28,30,32,34,37,39
15-min:, 20,24,28,31,35,38,41,43,46,49
30-min:, 27,33,40,46,52,58,63,68,74,79
60-min:, 34,41,51,59,70,78,86,95,106,116
2-hr:, 42,51,64,74,88,100,112,125,142,157
3-hr:, 46,56,70,82,98,110,124,138,158,174
6-hr:, 58,70,87,103,123,141,160,180,209,235
12-hr:, 74,89,111,131,159,184,211,240,285,325
24-hr:, 87,105,134,158,193,223,257,294,350,398
2-day:, 102,123,157,184,224,256,293,333,392,441
3-day:, 107,130,165,194,235,270,308,350,411,463
4-day:, 113,137,174,204,247,284,324,367,431,485
7-day:, 130,157,196,228,274,313,354,399,464,519
10-day:, 146,176,217,250,297,336,377,421,484,536
20-day:, 190,227,274,311,361,401,442,484,542,588
30-day:, 232,275,325,363,413,451,489,526,575,613
45-day:, 288,341,398,441,496,537,577,616,668,705
60-day:, 337,396,458,503,561,605,646,686,737,775

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,23,26,29,31,33,35,37,38
30-min:, 22,27,32,37,42,47,50,54,58,62
60-min:, 28,34,42,48,56,63,69,76,84,90
2-hr:, 32,39,49,57,68,77,85,94,106,116
3-hr:, 35,43,53,62,74,83,93,103,116,126
6-hr:, 45,55,68,79,95,108,121,135,155,171
12-hr:, 57,69,85,101,122,139,158,178,207,231
24-hr:, 69,84,107,126,154,177,202,229,269,301
2-day:, 82,99,126,147,178,203,230,259,300,333
3-day:, 88,107,135,159,192,219,248,279,323,358
4-day:, 94,114,145,170,205,234,265,298,345,383
7-day:, 110,132,165,192,230,260,293,327,374,413
10-day:, 125,150,186,214,253,284,317,351,398,436
20-day:, 167,199,240,272,315,348,382,415,460,495
30-day:, 206,244,288,321,365,397,428,459,498,527
45-day:, 257,304,355,394,442,477,511,543,583,613
60-day:, 303,357,411,452,504,541,576,610,651,681

Date/time (GMT):  Thu Feb 29 23:08:13 2024
pyRunTime:  0.007881879806518555
