Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.13891056 Degree
Longitude: -76.7638805 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,14,17,20,22,25,29,32
10-min:, 11,13,17,20,25,28,31,35,41,46
15-min:, 13,16,20,24,29,33,37,41,48,54
30-min:, 17,21,27,31,38,43,48,55,64,71
60-min:, 21,26,33,39,47,54,60,68,79,88
2-hr:, 26,32,40,47,57,64,72,82,96,109
3-hr:, 30,36,45,53,64,72,80,91,109,124
6-hr:, 36,43,55,65,78,88,99,112,134,153
12-hr:, 43,53,67,80,97,109,123,139,165,188
24-hr:, 51,62,81,96,117,132,149,169,199,225
2-day:, 59,72,94,111,136,154,173,197,232,262
3-day:, 65,79,102,121,147,166,187,212,250,283
4-day:, 70,85,108,128,155,175,197,223,263,296
7-day:, 84,100,125,145,174,195,218,245,285,320
10-day:, 98,114,140,161,190,212,235,262,302,335
20-day:, 141,158,186,209,241,265,290,316,352,380
30-day:, 176,195,225,250,285,312,338,365,398,423
45-day:, 221,242,276,304,342,373,402,429,462,484
60-day:, 259,281,318,349,392,425,457,485,519,541

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,16,19,24,28,32,37,45,51
10-min:, 15,18,23,27,34,39,46,52,63,72
15-min:, 17,21,27,32,40,46,54,62,74,84
30-min:, 23,27,35,42,53,61,71,81,98,111
60-min:, 28,34,44,52,66,76,88,101,122,139
2-hr:, 34,41,53,62,79,91,106,121,148,170
3-hr:, 39,46,58,69,87,101,118,135,166,192
6-hr:, 46,55,71,84,106,122,144,164,203,235
12-hr:, 55,66,86,102,130,150,176,202,248,287
24-hr:, 64,78,101,121,155,180,211,243,297,343
2-day:, 73,89,116,139,179,207,244,281,344,396
3-day:, 80,97,126,150,192,223,262,302,369,425
4-day:, 86,104,133,159,202,234,275,316,386,445
7-day:, 102,121,152,178,224,258,300,344,417,477
10-day:, 118,137,169,196,243,278,322,367,440,499
20-day:, 167,188,222,252,303,341,388,438,508,562
30-day:, 209,231,268,300,355,397,447,502,571,622
45-day:, 260,284,325,361,423,470,524,587,659,709
60-day:, 302,329,374,413,481,534,593,662,738,791

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,11,13,14,16,17,19,20
10-min:, 8,10,13,15,18,20,22,23,26,29
15-min:, 10,12,15,18,21,24,26,28,31,34
30-min:, 13,16,20,24,28,31,34,36,41,45
60-min:, 16,20,25,29,35,39,42,45,51,56
2-hr:, 20,24,31,36,42,47,51,55,63,69
3-hr:, 23,27,35,40,48,53,58,61,71,79
6-hr:, 28,34,43,50,59,65,72,76,87,97
12-hr:, 34,41,53,62,73,81,89,95,108,120
24-hr:, 41,49,64,75,89,99,109,115,131,144
2-day:, 47,58,75,88,105,116,127,135,153,169
3-day:, 53,64,82,97,114,126,138,146,165,182
4-day:, 57,69,88,103,121,133,146,154,174,191
7-day:, 69,82,102,118,136,149,161,170,190,207
10-day:, 81,94,114,131,149,163,175,183,201,218
20-day:, 117,131,154,172,190,204,215,222,236,247
30-day:, 148,163,188,207,226,241,250,257,268,276
45-day:, 186,204,231,253,273,289,297,303,311,316
60-day:, 219,238,268,292,314,331,339,344,351,354

Date/time (GMT):  Thu Feb 29 23:08:16 2024
pyRunTime:  0.049063682556152344
