Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.4941926 Degree
Longitude: -75.60942539 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,14,17,19,21,24,28,31
10-min:, 10,13,16,19,23,27,30,34,39,44
15-min:, 12,15,19,23,28,31,35,40,46,52
30-min:, 16,20,26,30,37,42,47,53,62,69
60-min:, 20,25,32,38,46,52,59,66,77,87
2-hr:, 26,31,39,45,54,61,68,77,90,102
3-hr:, 30,35,43,50,60,67,75,85,100,113
6-hr:, 37,43,54,63,75,83,93,105,124,140
12-hr:, 45,53,67,79,95,107,120,135,159,179
24-hr:, 53,64,81,96,116,131,147,166,195,220
2-day:, 62,74,94,110,133,150,168,190,223,252
3-day:, 69,81,102,119,143,160,179,202,236,265
4-day:, 74,87,109,126,150,169,188,211,244,273
7-day:, 90,103,125,144,169,188,208,231,264,291
10-day:, 105,119,142,161,188,208,228,251,284,310
20-day:, 150,167,194,216,247,271,295,320,353,379
30-day:, 189,207,238,263,298,325,352,379,414,440
45-day:, 237,259,293,322,362,393,423,453,490,517
60-day:, 278,302,340,372,415,450,483,514,553,581

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,15,17,22,26,30,34,42,47
10-min:, 13,16,21,25,31,36,42,49,59,67
15-min:, 15,19,24,29,37,43,50,57,69,79
30-min:, 21,25,32,39,49,57,66,76,92,105
60-min:, 26,31,40,48,61,71,83,95,115,132
2-hr:, 33,39,49,57,72,83,96,110,133,153
3-hr:, 37,44,55,64,80,91,106,121,147,170
6-hr:, 46,54,67,78,98,112,131,149,181,209
12-hr:, 55,66,83,98,124,142,166,190,230,265
24-hr:, 65,78,100,119,150,173,202,231,281,323
2-day:, 75,90,115,136,171,197,229,262,318,366
3-day:, 83,99,124,146,183,210,243,277,335,383
4-day:, 90,106,132,154,192,219,253,288,345,393
7-day:, 108,124,152,175,214,242,277,314,370,416
10-day:, 125,143,171,195,236,266,302,340,396,442
20-day:, 179,199,232,260,307,342,384,428,488,534
30-day:, 224,246,284,315,368,408,454,505,569,617
45-day:, 280,306,348,384,444,490,542,600,670,721
60-day:, 328,356,402,442,508,559,615,679,754,808

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,14,15,16,18,20
10-min:, 8,10,13,15,17,19,21,23,25,28
15-min:, 9,11,15,17,21,23,25,27,30,33
30-min:, 13,15,20,23,27,30,33,36,40,44
60-min:, 16,19,25,29,34,38,42,44,50,55
2-hr:, 20,24,30,35,41,45,49,52,58,64
3-hr:, 23,27,34,39,45,50,54,57,65,72
6-hr:, 29,34,42,49,57,62,68,71,81,89
12-hr:, 36,42,53,62,72,80,87,92,104,115
24-hr:, 42,51,65,76,89,98,108,114,128,141
2-day:, 50,60,75,88,103,113,124,131,147,162
3-day:, 56,66,82,96,111,122,132,139,156,171
4-day:, 60,71,88,101,117,128,138,146,162,176
7-day:, 73,84,102,116,132,143,153,160,176,188
10-day:, 86,97,116,131,147,158,168,175,189,201
20-day:, 124,138,159,177,194,208,217,224,237,246
30-day:, 157,172,197,216,235,250,260,266,278,286
45-day:, 198,215,243,266,287,303,313,319,330,337
60-day:, 233,252,283,307,330,347,357,363,374,380

Date/time (GMT):  Thu Feb 29 23:08:18 2024
pyRunTime:  0.02543044090270996
