Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.67670048 Degree
Longitude: -76.30545744 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,23,25,27,29
10-min:, 18,21,24,27,31,34,37,39,43,46
15-min:, 23,27,30,35,39,43,46,50,54,57
30-min:, 31,37,43,50,58,65,71,77,85,93
60-min:, 39,46,55,66,77,88,98,108,122,136
2-hr:, 45,54,66,79,95,110,125,140,162,182
3-hr:, 48,58,71,86,104,122,140,159,186,212
6-hr:, 58,70,85,104,126,148,170,194,229,262
12-hr:, 69,82,101,123,151,178,207,238,283,327
24-hr:, 77,94,121,144,179,208,240,276,330,376
2-day:, 90,109,140,167,207,242,280,324,389,445
3-day:, 96,116,148,176,216,251,289,331,394,450
4-day:, 101,123,156,184,225,260,297,338,398,456
7-day:, 119,144,181,211,255,292,332,375,438,489
10-day:, 135,162,201,233,279,318,359,403,466,518
20-day:, 184,219,266,305,360,405,452,501,571,628
30-day:, 227,269,324,367,427,475,524,574,643,697
45-day:, 282,334,399,452,526,586,648,713,803,875
60-day:, 339,400,471,529,607,668,729,792,877,942

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,15,17,19,21,23,25,27,30,32
10-min:, 20,23,26,30,34,37,40,43,47,51
15-min:, 25,30,33,38,43,47,51,55,59,64
30-min:, 34,41,48,56,64,71,78,85,94,103
60-min:, 43,51,61,72,85,97,108,120,135,150
2-hr:, 50,60,73,88,105,121,138,155,179,201
3-hr:, 54,65,79,96,116,135,155,176,206,235
6-hr:, 65,78,95,116,141,165,189,216,254,291
12-hr:, 77,92,113,138,169,200,231,266,316,365
24-hr:, 84,103,133,158,195,226,261,300,360,411
2-day:, 98,119,153,182,225,262,305,353,426,490
3-day:, 104,126,161,191,234,272,313,359,430,495
4-day:, 110,133,169,199,243,281,321,366,435,500
7-day:, 128,155,194,227,275,314,358,405,475,534
10-day:, 145,174,215,249,299,340,385,433,503,564
20-day:, 196,234,284,325,384,432,483,537,615,680
30-day:, 241,287,345,391,455,506,559,614,692,754
45-day:, 300,356,424,481,559,624,691,761,861,943
60-day:, 358,423,499,560,642,707,774,842,937,1012

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,17,19,21,22,24,25
10-min:, 16,19,22,25,28,30,33,35,37,40
15-min:, 21,24,28,31,35,39,41,44,47,50
30-min:, 28,34,39,46,52,58,63,69,75,81
60-min:, 35,42,50,59,69,79,87,96,108,118
2-hr:, 41,49,59,71,85,98,110,123,141,157
3-hr:, 44,52,64,77,93,108,123,139,160,181
6-hr:, 52,63,76,92,112,130,149,169,196,222
12-hr:, 61,73,90,109,133,156,179,204,239,272
24-hr:, 71,87,112,132,163,188,215,244,286,322
2-day:, 83,101,129,153,188,218,250,285,336,378
3-day:, 89,107,137,162,197,227,259,293,342,386
4-day:, 94,114,145,170,206,236,268,301,349,394
7-day:, 111,134,168,196,235,267,301,337,387,427
10-day:, 127,152,188,217,259,293,328,364,415,456
20-day:, 173,206,250,285,335,374,414,456,513,557
30-day:, 214,254,305,346,400,443,485,528,586,630
45-day:, 267,315,376,425,493,546,600,655,730,787
60-day:, 320,378,446,499,570,625,680,734,805,858

Date/time (GMT):  Thu Feb 29 23:08:20 2024
pyRunTime:  0.0077402591705322266
