Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.97307948 Degree
Longitude: -75.74580403 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,15,16,17,18,19,19
10-min:, 14,17,20,22,24,25,27,28,29,30
15-min:, 18,21,25,27,30,32,34,35,37,38
30-min:, 24,29,36,40,45,48,52,55,59,61
60-min:, 30,37,46,52,60,66,72,77,84,89
2-hr:, 36,44,55,63,74,82,91,99,111,120
3-hr:, 39,48,60,69,80,90,99,109,121,131
6-hr:, 49,59,73,85,101,113,127,141,161,176
12-hr:, 59,72,89,104,126,143,163,183,213,238
24-hr:, 69,83,104,121,146,167,190,214,249,279
2-day:, 80,96,121,140,169,192,217,243,280,311
3-day:, 84,101,127,147,177,201,226,253,292,323
4-day:, 88,106,133,154,185,209,236,264,304,336
7-day:, 103,124,153,177,211,239,269,301,346,382
10-day:, 118,141,172,196,231,258,287,317,358,391
20-day:, 159,189,225,254,292,323,353,383,424,456
30-day:, 198,234,272,302,341,371,400,429,467,494
45-day:, 251,295,339,373,415,446,475,502,537,561
60-day:, 301,353,403,440,486,519,551,580,615,640

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,18,19,19,20,21
10-min:, 16,19,22,24,26,28,30,31,32,33
15-min:, 20,23,28,30,33,35,37,39,41,42
30-min:, 27,32,39,44,49,53,57,61,65,68
60-min:, 33,41,50,57,66,72,79,85,93,99
2-hr:, 40,49,61,70,82,91,101,110,123,133
3-hr:, 44,53,66,76,89,99,109,120,134,145
6-hr:, 54,65,81,94,111,125,140,155,177,195
12-hr:, 66,80,100,116,139,158,180,203,236,263
24-hr:, 75,90,113,132,159,181,205,232,270,302
2-day:, 87,105,132,154,184,209,236,265,306,339
3-day:, 92,111,139,161,193,219,247,276,319,353
4-day:, 97,117,145,169,202,229,257,288,332,367
7-day:, 112,135,167,192,229,259,291,326,375,415
10-day:, 128,152,186,212,249,279,309,341,387,423
20-day:, 171,203,242,272,313,345,377,410,455,489
30-day:, 210,248,289,321,362,394,425,456,496,527
45-day:, 266,312,359,394,438,471,502,531,568,595
60-day:, 317,372,425,464,512,548,581,612,650,677

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,12,14,14,15,16,16,17
10-min:, 13,15,18,20,22,23,24,25,26,26
15-min:, 16,19,23,25,27,29,30,31,33,33
30-min:, 22,27,32,36,41,44,46,49,52,54
60-min:, 28,34,41,47,54,59,64,69,74,78
2-hr:, 33,40,49,57,66,73,80,87,96,103
3-hr:, 36,43,54,62,72,80,88,95,105,113
6-hr:, 44,53,66,76,90,101,112,123,138,150
12-hr:, 54,65,81,94,112,127,142,158,180,198
24-hr:, 63,76,95,111,133,152,171,192,221,245
2-day:, 73,88,111,129,154,174,196,218,249,274
3-day:, 77,93,116,135,161,182,204,227,260,285
4-day:, 81,97,122,141,168,190,213,236,270,296
7-day:, 95,114,141,163,193,218,244,271,309,339
10-day:, 109,131,159,181,212,237,262,288,323,351
20-day:, 149,177,210,237,272,299,326,353,389,415
30-day:, 187,220,256,284,320,348,374,400,432,456
45-day:, 238,280,322,353,392,421,448,473,504,526
60-day:, 286,336,383,418,461,493,521,548,580,603

Date/time (GMT):  Thu Feb 29 23:08:22 2024
pyRunTime:  0.009370088577270508
