Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.37369854 Degree
Longitude: -77.58668072 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,20,22,23
10-min:, 15,18,21,24,26,28,30,32,34,36
15-min:, 19,23,27,30,33,36,38,41,43,45
30-min:, 26,31,38,43,49,54,59,63,69,73
60-min:, 32,39,48,56,66,74,81,89,99,107
2-hr:, 39,46,58,68,81,92,103,115,130,143
3-hr:, 42,50,63,74,88,100,112,125,143,157
6-hr:, 50,60,75,89,107,123,140,158,182,204
12-hr:, 60,73,91,109,132,153,176,201,237,268
24-hr:, 70,85,109,130,160,185,214,245,292,331
2-day:, 82,100,127,149,182,210,240,272,320,359
3-day:, 87,105,134,157,192,221,252,286,335,376
4-day:, 91,111,141,166,201,232,264,299,350,393
7-day:, 105,127,159,185,223,254,288,324,376,419
10-day:, 120,144,178,206,245,277,310,346,396,436
20-day:, 162,193,233,265,308,343,377,413,461,499
30-day:, 201,238,281,315,359,393,426,459,502,534
45-day:, 252,297,347,385,434,470,505,538,582,613
60-day:, 299,352,407,448,500,538,575,610,654,686

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,16,18,20,21,23,24,25
10-min:, 17,20,23,26,29,32,34,36,38,40
15-min:, 21,25,30,33,37,40,43,45,48,50
30-min:, 29,35,42,48,55,60,65,70,77,81
60-min:, 36,44,54,63,73,82,90,99,110,119
2-hr:, 43,52,65,76,91,103,115,128,145,160
3-hr:, 47,57,71,83,99,112,126,140,160,176
6-hr:, 57,69,86,101,122,139,158,177,205,229
12-hr:, 69,83,104,123,149,173,197,224,264,299
24-hr:, 78,95,121,143,176,204,235,269,320,363
2-day:, 91,110,140,164,200,231,263,299,351,395
3-day:, 95,116,147,173,210,242,276,313,367,413
4-day:, 100,121,154,181,220,253,288,326,383,431
7-day:, 115,139,173,202,243,277,314,354,412,460
10-day:, 130,156,193,223,265,300,337,376,431,476
20-day:, 174,208,251,285,331,368,406,444,498,539
30-day:, 214,254,301,336,383,420,455,491,538,574
45-day:, 268,316,370,410,461,500,538,574,622,657
60-day:, 317,373,430,473,529,570,609,646,695,730

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,20
10-min:, 14,16,19,21,23,25,27,28,30,31
15-min:, 17,20,24,27,30,32,34,36,38,39
30-min:, 23,28,34,39,44,48,52,56,60,63
60-min:, 29,35,43,50,59,65,72,78,86,92
2-hr:, 34,41,52,60,72,81,90,99,112,122
3-hr:, 37,45,56,65,77,87,98,108,122,133
6-hr:, 45,54,67,78,94,107,121,135,154,170
12-hr:, 54,65,81,96,116,133,151,171,198,221
24-hr:, 64,78,99,117,143,165,189,215,252,283
2-day:, 75,91,116,136,165,189,214,241,279,311
3-day:, 80,96,122,144,174,199,226,254,294,327
4-day:, 84,102,129,152,183,210,237,267,309,343
7-day:, 97,117,146,170,204,231,260,291,334,369
10-day:, 111,133,165,190,225,253,282,313,355,388
20-day:, 151,180,217,246,285,316,347,378,419,450
30-day:, 188,222,263,294,334,365,394,423,461,488
45-day:, 236,279,325,360,405,438,470,500,538,565
60-day:, 281,331,383,421,469,504,538,569,608,635

Date/time (GMT):  Thu Feb 29 23:08:24 2024
pyRunTime:  0.007837533950805664
