Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.11294697 Degree
Longitude: -77.99252665 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,22,25,27
10-min:, 13,16,19,22,25,28,30,33,37,40
15-min:, 16,20,24,27,31,34,38,41,46,50
30-min:, 22,27,33,38,45,50,56,61,70,76
60-min:, 27,33,42,49,58,66,75,84,98,109
2-hr:, 32,39,50,58,71,82,93,106,124,139
3-hr:, 34,42,53,62,76,87,99,113,133,149
6-hr:, 43,51,65,76,92,106,120,136,160,180
12-hr:, 52,63,79,92,112,129,148,169,200,227
24-hr:, 60,72,91,106,128,147,167,189,221,248
2-day:, 69,83,104,122,147,169,192,217,254,284
3-day:, 74,89,111,129,156,178,202,228,265,296
4-day:, 79,94,118,137,165,188,213,239,277,308
7-day:, 91,109,135,155,184,208,232,258,294,324
10-day:, 104,124,151,173,202,226,250,275,309,337
20-day:, 141,167,197,221,252,277,301,325,356,379
30-day:, 173,204,237,262,295,320,344,367,397,419
45-day:, 217,255,292,319,354,379,402,424,451,470
60-day:, 260,304,344,373,409,435,458,479,504,521

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,16,18,20,22,24,27,29
10-min:, 15,18,22,24,28,31,33,36,41,44
15-min:, 18,22,27,30,35,38,42,45,51,55
30-min:, 25,30,37,42,50,55,61,68,77,84
60-min:, 30,37,47,54,65,74,83,93,107,119
2-hr:, 36,43,56,65,79,91,103,116,136,153
3-hr:, 39,47,59,69,84,96,110,124,146,164
6-hr:, 48,57,72,84,102,116,132,150,175,197
12-hr:, 58,70,87,102,124,142,162,184,218,247
24-hr:, 65,79,98,115,138,158,180,204,238,267
2-day:, 75,91,113,132,159,182,207,234,273,306
3-day:, 80,96,120,140,168,192,218,246,286,319
4-day:, 85,102,127,148,178,202,229,258,299,333
7-day:, 98,118,145,167,198,223,250,278,317,350
10-day:, 112,134,162,185,216,242,268,295,332,362
20-day:, 150,178,210,235,269,295,320,346,380,405
30-day:, 183,215,250,277,312,338,364,389,422,446
45-day:, 228,268,306,335,371,398,423,446,475,496
60-day:, 272,318,360,391,429,455,480,503,530,549

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,27,29,32,34
15-min:, 15,18,21,24,28,30,33,36,40,43
30-min:, 20,24,30,34,40,44,49,53,60,65
60-min:, 24,29,37,43,52,59,66,73,84,93
2-hr:, 29,35,44,52,63,72,82,92,107,119
3-hr:, 31,37,48,56,67,77,87,98,114,127
6-hr:, 39,46,58,68,82,94,106,119,138,154
12-hr:, 47,57,71,83,100,114,130,147,171,192
24-hr:, 55,67,84,97,117,134,152,170,197,218
2-day:, 64,77,96,112,135,154,173,194,224,248
3-day:, 69,82,103,119,143,163,184,205,236,260
4-day:, 73,88,109,127,152,172,194,216,247,272
7-day:, 85,102,125,144,170,191,213,235,265,290
10-day:, 97,116,141,161,187,209,230,252,281,304
20-day:, 133,157,186,207,236,258,280,301,328,348
30-day:, 164,193,224,247,278,301,323,344,370,389
45-day:, 206,242,277,303,335,359,380,401,424,441
60-day:, 248,290,328,356,390,413,435,455,477,492

Date/time (GMT):  Thu Feb 29 23:08:28 2024
pyRunTime:  0.04735064506530762
