Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.46231092 Degree
Longitude: -81.07652217 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 13,16,19,21,24,26,28,29,31,33
15-min:, 16,19,23,26,29,32,34,36,39,41
30-min:, 22,26,32,36,41,46,49,53,58,61
60-min:, 26,32,40,46,54,60,66,72,80,86
2-hr:, 30,37,46,53,63,70,78,85,96,104
3-hr:, 32,39,49,56,67,75,83,92,104,113
6-hr:, 39,47,58,67,79,89,99,110,125,137
12-hr:, 46,55,67,77,91,103,115,128,145,160
24-hr:, 55,66,80,91,107,120,133,147,166,181
2-day:, 66,78,94,106,123,137,151,165,185,200
3-day:, 72,85,101,114,132,146,160,174,193,208
4-day:, 77,91,109,122,140,154,168,183,201,216
7-day:, 94,110,129,144,163,178,192,206,224,237
10-day:, 108,128,148,163,183,199,213,227,244,257
20-day:, 153,180,205,225,249,267,283,299,318,332
30-day:, 194,227,256,278,305,325,343,359,379,393
45-day:, 249,290,324,349,380,402,421,439,460,474
60-day:, 301,349,388,416,449,473,494,513,535,549

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,21,23,25
10-min:, 15,17,21,23,26,28,30,32,34,36
15-min:, 18,21,26,28,32,35,37,40,42,45
30-min:, 24,29,35,40,45,50,54,58,63,67
60-min:, 29,35,44,50,59,66,72,79,87,94
2-hr:, 33,40,50,58,68,76,84,92,103,112
3-hr:, 36,43,53,61,73,81,90,99,112,121
6-hr:, 42,51,63,72,85,96,107,118,133,146
12-hr:, 50,60,73,83,98,110,123,136,155,170
24-hr:, 59,71,86,98,114,128,142,156,176,192
2-day:, 70,84,100,113,131,146,160,175,196,212
3-day:, 76,90,108,121,140,155,169,185,205,220
4-day:, 82,97,116,130,149,164,179,194,214,229
7-day:, 99,117,137,152,172,188,202,217,236,250
10-day:, 114,135,156,172,193,209,224,239,257,271
20-day:, 162,189,216,236,262,280,298,314,334,348
30-day:, 204,238,269,292,320,341,359,377,398,413
45-day:, 261,303,339,365,397,420,441,459,481,497
60-day:, 315,365,405,434,469,494,516,536,559,574

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,18,19,20
10-min:, 12,14,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,36
30-min:, 20,24,29,33,38,41,44,48,52,54
60-min:, 24,29,36,42,49,54,59,65,71,76
2-hr:, 28,34,42,48,57,63,70,76,85,92
3-hr:, 30,36,45,52,61,68,75,83,92,100
6-hr:, 36,43,54,61,73,81,90,99,112,121
12-hr:, 43,51,62,72,84,94,105,116,130,142
24-hr:, 52,62,75,85,100,111,123,135,152,165
2-day:, 62,73,88,99,115,128,140,153,170,184
3-day:, 67,80,95,107,123,136,149,162,179,192
4-day:, 73,86,102,115,132,145,157,170,187,200
7-day:, 88,104,122,136,154,167,180,193,209,221
10-day:, 103,121,141,155,174,188,201,214,230,241
20-day:, 146,171,196,214,237,253,269,283,301,313
30-day:, 185,216,244,265,290,308,325,341,359,371
45-day:, 239,277,310,334,363,384,403,420,439,452
60-day:, 288,335,371,398,430,452,472,490,510,523

Date/time (GMT):  Thu Feb 29 23:08:31 2024
pyRunTime:  0.010430335998535156
