Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.00110782 Degree
Longitude: -78.47592663 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,20,22,24
10-min:, 12,14,17,20,23,25,27,29,32,35
15-min:, 15,18,21,24,28,31,34,36,40,43
30-min:, 20,24,29,33,39,44,48,53,60,65
60-min:, 24,29,37,43,51,58,65,72,83,91
2-hr:, 28,34,43,50,60,68,77,86,100,111
3-hr:, 30,36,46,53,64,73,82,93,108,120
6-hr:, 37,44,55,64,77,87,98,111,128,143
12-hr:, 46,55,67,78,94,107,121,137,160,180
24-hr:, 54,65,79,92,109,124,139,156,180,200
2-day:, 63,75,91,105,125,142,160,179,207,229
3-day:, 67,80,97,111,130,147,164,181,207,231
4-day:, 72,85,102,116,136,151,167,184,207,232
7-day:, 86,101,120,135,155,171,187,204,225,242
10-day:, 100,117,138,154,176,193,210,227,249,266
20-day:, 139,163,188,208,234,254,273,292,317,335
30-day:, 175,205,234,257,287,309,330,351,378,397
45-day:, 226,263,297,323,356,380,403,424,450,469
60-day:, 272,316,354,383,419,445,468,491,517,536

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,21,24,26
10-min:, 13,16,19,22,25,27,29,32,35,38
15-min:, 16,19,23,27,31,33,37,40,44,47
30-min:, 21,26,32,37,43,48,53,58,65,71
60-min:, 26,32,40,47,56,63,71,78,90,99
2-hr:, 31,37,47,55,65,74,84,94,108,120
3-hr:, 33,40,50,59,70,80,90,101,117,130
6-hr:, 41,49,60,70,84,95,107,120,139,155
12-hr:, 50,60,74,85,102,116,131,148,173,193
24-hr:, 59,70,86,99,118,133,149,167,192,213
2-day:, 68,81,99,114,135,153,171,191,221,245
3-day:, 72,86,104,119,140,157,175,194,222,246
4-day:, 77,91,109,124,145,161,178,196,223,247
7-day:, 91,108,127,143,164,181,198,216,239,256
10-day:, 106,125,146,163,186,204,222,239,263,281
20-day:, 147,172,199,220,247,268,288,308,334,353
30-day:, 184,216,246,270,301,325,347,369,397,417
45-day:, 237,276,312,339,373,398,422,445,472,492
60-day:, 284,331,370,401,438,465,490,514,542,562

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,17,19,21
10-min:, 11,13,16,18,20,22,24,26,28,30
15-min:, 13,16,19,22,25,27,30,32,35,37
30-min:, 18,21,26,30,35,39,43,47,52,56
60-min:, 22,26,33,38,46,51,57,63,72,79
2-hr:, 25,30,38,45,53,60,68,75,86,95
3-hr:, 27,33,41,48,57,65,73,81,93,103
6-hr:, 34,40,50,58,69,78,88,98,112,124
12-hr:, 42,50,62,71,85,96,108,121,140,155
24-hr:, 50,60,74,85,101,114,128,142,163,179
2-day:, 58,69,85,98,115,130,146,162,185,204
3-day:, 63,75,90,103,121,135,150,166,187,204
4-day:, 67,80,96,109,126,141,155,170,189,205
7-day:, 81,96,113,127,146,161,175,190,209,223
10-day:, 94,111,130,145,165,181,197,212,232,247
20-day:, 132,155,179,198,222,241,258,276,298,314
30-day:, 167,195,223,245,273,294,314,332,356,374
45-day:, 215,251,284,309,339,362,383,403,427,443
60-day:, 260,302,339,366,400,424,447,468,492,509

Date/time (GMT):  Thu Feb 29 23:08:33 2024
pyRunTime:  0.0540158748626709
