Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.23284762 Degree
Longitude: -77.63656492 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,20,21
10-min:, 12,14,17,19,22,23,25,27,29,31
15-min:, 15,17,21,23,27,29,31,34,37,39
30-min:, 19,23,29,32,38,42,45,49,54,58
60-min:, 23,28,36,41,49,55,61,67,75,82
2-hr:, 27,33,41,48,58,65,73,82,95,105
3-hr:, 30,36,45,52,62,70,79,89,104,115
6-hr:, 37,45,55,64,76,87,98,109,127,141
12-hr:, 47,56,70,80,96,110,124,140,163,183
24-hr:, 56,67,82,95,112,127,142,158,181,200
2-day:, 65,77,95,109,130,147,164,183,210,232
3-day:, 69,82,100,115,136,153,171,190,217,238
4-day:, 73,87,106,121,142,160,178,197,223,244
7-day:, 86,103,122,138,159,176,194,211,235,253
10-day:, 100,118,139,157,180,198,217,236,261,281
20-day:, 138,162,187,207,234,255,275,295,322,341
30-day:, 173,202,230,253,282,304,325,346,373,392
45-day:, 220,257,290,315,347,370,392,412,438,456
60-day:, 266,310,347,376,411,437,461,483,510,529

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,20,22,24
10-min:, 13,16,19,21,24,26,28,30,32,34
15-min:, 16,19,23,26,29,32,35,37,40,43
30-min:, 21,26,32,36,42,46,50,54,60,64
60-min:, 26,32,40,46,54,60,67,73,83,90
2-hr:, 30,37,46,53,64,72,81,90,104,116
3-hr:, 33,40,49,57,68,77,87,98,113,126
6-hr:, 41,49,61,70,84,95,107,120,139,154
12-hr:, 52,62,77,88,106,120,136,153,178,200
24-hr:, 61,73,90,103,122,137,154,171,196,216
2-day:, 71,84,103,119,141,159,178,198,228,251
3-day:, 75,89,109,124,147,165,184,205,234,257
4-day:, 79,94,114,130,153,172,191,211,240,263
7-day:, 93,110,131,147,170,188,207,226,251,271
10-day:, 107,126,149,167,192,212,232,252,279,300
20-day:, 146,172,199,220,248,270,292,313,341,363
30-day:, 182,213,243,267,298,321,343,365,394,415
45-day:, 232,271,305,332,365,390,413,434,461,480
60-day:, 280,326,365,395,432,459,484,507,536,556

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,19
10-min:, 11,13,15,17,19,21,22,24,26,27
15-min:, 13,16,19,21,24,26,28,30,32,34
30-min:, 17,21,26,29,34,37,40,43,48,51
60-min:, 21,26,32,37,44,49,54,59,66,71
2-hr:, 24,30,37,43,51,58,65,72,82,90
3-hr:, 27,32,40,47,55,63,70,78,89,99
6-hr:, 34,41,50,58,69,78,87,96,110,121
12-hr:, 43,51,63,73,87,98,110,122,141,155
24-hr:, 52,62,76,87,103,115,129,143,162,177
2-day:, 60,72,88,101,119,134,149,165,188,206
3-day:, 64,76,93,106,125,140,156,172,195,213
4-day:, 68,81,98,112,131,147,163,179,202,220
7-day:, 81,96,114,129,148,163,179,194,215,230
10-day:, 93,110,131,146,168,184,201,218,240,256
20-day:, 130,152,176,195,220,239,257,275,299,316
30-day:, 164,191,218,239,266,287,306,325,349,366
45-day:, 209,244,275,299,329,350,371,389,412,428
60-day:, 253,294,330,357,390,414,436,456,481,498

Date/time (GMT):  Thu Feb 29 23:08:35 2024
pyRunTime:  0.20078325271606445
