Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.26420587 Degree
Longitude: -77.39609676 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,20,21,22,24
10-min:, 15,18,21,24,27,29,31,33,35,37
15-min:, 19,23,27,30,34,37,39,42,45,47
30-min:, 27,32,38,44,50,56,60,65,71,76
60-min:, 33,40,49,57,67,75,83,91,102,110
2-hr:, 39,48,59,70,83,95,106,118,135,149
3-hr:, 42,51,64,75,90,103,116,130,149,165
6-hr:, 51,62,77,91,110,127,144,163,189,212
12-hr:, 61,74,92,110,135,157,180,205,242,275
24-hr:, 71,86,110,131,161,187,215,246,292,332
2-day:, 83,100,127,150,183,211,241,274,322,361
3-day:, 87,106,135,158,193,222,253,287,337,378
4-day:, 92,111,142,167,203,233,265,301,352,395
7-day:, 107,128,160,187,225,257,291,327,379,422
10-day:, 122,146,180,208,247,280,313,349,399,440
20-day:, 164,196,237,269,313,348,384,420,469,508
30-day:, 204,242,286,320,366,400,435,469,513,547
45-day:, 255,302,353,392,442,479,516,551,597,631
60-day:, 304,358,414,456,510,550,588,625,672,706

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,20,22,23,25,26
10-min:, 17,20,24,27,30,32,35,37,39,41
15-min:, 22,26,30,34,38,41,44,46,50,52
30-min:, 30,35,43,49,56,62,67,72,79,84
60-min:, 37,44,55,64,75,84,92,101,113,123
2-hr:, 44,53,66,78,92,105,118,131,150,165
3-hr:, 48,57,72,84,101,115,130,145,166,184
6-hr:, 58,70,87,103,124,142,161,182,211,237
12-hr:, 70,84,105,125,152,176,201,229,270,307
24-hr:, 78,95,122,144,177,205,236,270,320,363
2-day:, 91,110,140,165,201,231,264,300,353,397
3-day:, 96,116,147,173,211,243,277,314,369,415
4-day:, 101,122,155,182,221,254,289,328,385,433
7-day:, 116,140,175,204,245,280,317,357,415,464
10-day:, 132,158,196,226,268,303,340,380,435,481
20-day:, 176,210,254,288,336,374,412,451,506,549
30-day:, 217,257,305,341,390,427,464,500,549,587
45-day:, 271,320,375,416,469,509,548,587,637,674
60-day:, 322,379,438,482,539,581,622,661,712,750

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,20
10-min:, 14,17,19,22,24,26,28,29,31,32
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 24,29,35,39,45,49,54,57,62,66
60-min:, 30,36,44,51,60,67,74,80,89,96
2-hr:, 35,43,53,62,74,84,93,103,117,127
3-hr:, 38,46,57,67,80,91,102,113,128,141
6-hr:, 46,55,68,81,97,111,125,140,161,178
12-hr:, 55,66,82,98,118,136,155,175,203,228
24-hr:, 65,79,100,119,145,167,191,217,254,285
2-day:, 76,92,117,137,166,191,216,243,282,314
3-day:, 80,97,124,145,176,201,228,256,297,329
4-day:, 85,103,130,153,185,211,239,269,311,345
7-day:, 98,118,148,172,206,234,263,294,337,372
10-day:, 113,135,167,192,228,256,286,316,359,392
20-day:, 153,183,221,251,291,322,353,385,427,460
30-day:, 191,227,269,300,342,374,404,434,473,501
45-day:, 240,284,332,368,414,449,482,513,553,582
60-day:, 287,338,391,430,480,517,552,585,626,656

Date/time (GMT):  Thu Feb 29 23:08:37 2024
pyRunTime:  0.024727821350097656
