Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.59509207 Degree
Longitude: -76.07048931 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,12,14,17,19,22,25,29,33
10-min:, 10,13,17,20,24,28,31,35,41,46
15-min:, 12,15,19,23,28,32,37,41,49,55
30-min:, 16,20,26,31,38,43,49,55,65,73
60-min:, 20,25,32,39,47,54,61,69,81,91
2-hr:, 26,31,39,47,56,63,71,80,94,105
3-hr:, 29,35,44,52,62,70,79,88,103,116
6-hr:, 36,43,54,64,77,86,96,109,127,142
12-hr:, 43,52,67,79,96,108,122,137,161,180
24-hr:, 51,62,80,95,115,131,147,166,196,220
2-day:, 60,72,92,109,132,148,167,189,223,252
3-day:, 67,80,101,118,142,160,179,203,239,270
4-day:, 72,86,108,126,151,169,190,214,251,282
7-day:, 88,102,125,145,172,191,213,238,275,306
10-day:, 103,118,142,163,191,212,234,259,296,327
20-day:, 150,167,195,218,250,275,300,326,362,390
30-day:, 189,208,239,265,301,328,355,383,419,446
45-day:, 237,259,294,323,364,395,426,455,492,518
60-day:, 277,301,340,372,416,451,485,516,554,581

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,15,18,23,26,31,35,43,49
10-min:, 13,16,21,25,32,37,44,50,61,69
15-min:, 15,19,25,30,38,44,51,59,71,81
30-min:, 20,25,33,40,51,59,69,79,95,109
60-min:, 26,32,41,50,63,73,86,98,119,136
2-hr:, 32,39,50,59,74,86,99,113,136,156
3-hr:, 37,44,56,66,82,94,109,125,150,171
6-hr:, 45,54,68,80,100,115,133,152,182,208
12-hr:, 54,65,83,99,124,143,167,190,229,262
24-hr:, 63,76,98,117,149,172,200,229,277,317
2-day:, 73,88,113,133,168,194,226,258,314,361
3-day:, 81,96,122,144,181,208,242,276,334,384
4-day:, 87,104,130,153,191,219,254,289,349,400
7-day:, 105,122,151,175,215,245,282,319,380,431
10-day:, 123,141,170,196,238,269,307,346,408,458
20-day:, 177,198,232,260,308,344,386,431,494,543
30-day:, 223,245,283,315,368,408,454,504,569,617
45-day:, 278,304,346,382,442,488,539,596,664,714
60-day:, 324,352,398,438,504,554,610,673,745,797

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,11,13,14,16,17,19,21
10-min:, 8,10,13,15,18,20,22,24,27,29
15-min:, 9,12,15,18,21,24,26,28,31,34
30-min:, 13,16,20,24,29,32,35,37,42,46
60-min:, 16,20,25,30,36,40,44,46,52,57
2-hr:, 20,24,31,36,43,47,51,54,61,67
3-hr:, 23,28,35,41,47,52,57,60,67,74
6-hr:, 29,34,43,50,59,65,70,74,83,90
12-hr:, 35,42,54,63,74,82,89,94,106,115
24-hr:, 41,50,65,76,89,99,108,114,129,142
2-day:, 49,59,75,88,103,113,124,130,148,163
3-day:, 55,65,82,96,111,123,133,141,159,174
4-day:, 59,70,88,102,118,130,141,148,166,183
7-day:, 72,84,103,118,135,147,158,166,183,199
10-day:, 85,98,117,133,150,163,174,181,198,212
20-day:, 125,139,162,180,198,212,222,229,243,254
30-day:, 158,174,199,219,239,254,264,270,282,291
45-day:, 200,218,246,269,290,306,316,322,332,339
60-day:, 234,254,285,310,333,350,360,366,375,381

Date/time (GMT):  Thu Feb 29 23:08:41 2024
pyRunTime:  0.0518343448638916
