Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.77820686 Degree
Longitude: -79.98573507 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,16,17,18,19
10-min:, 11,14,17,19,21,23,25,26,28,30
15-min:, 14,17,21,24,27,29,31,33,36,37
30-min:, 20,24,30,34,40,44,48,52,57,60
60-min:, 24,30,38,44,53,59,66,72,81,88
2-hr:, 28,34,44,51,61,69,77,85,95,103
3-hr:, 30,36,46,54,64,72,81,90,101,110
6-hr:, 37,44,56,65,78,89,100,112,128,142
12-hr:, 45,54,67,79,96,110,125,142,166,186
24-hr:, 57,69,87,102,123,141,160,180,210,234
2-day:, 68,82,102,119,143,162,183,205,236,261
3-day:, 72,87,108,126,151,171,192,215,246,272
4-day:, 76,92,115,133,158,179,201,224,257,283
7-day:, 89,107,131,151,178,200,222,245,277,303
10-day:, 102,122,148,168,195,216,238,259,288,310
20-day:, 137,162,194,218,251,276,301,326,360,385
30-day:, 169,200,234,259,293,318,342,366,396,418
45-day:, 213,251,289,318,355,381,407,431,461,482
60-day:, 256,300,341,372,409,437,462,485,512,531

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,15,19,21,24,26,28,30,33,34
15-min:, 16,19,24,27,30,33,35,38,41,43
30-min:, 22,27,34,39,45,50,54,59,65,70
60-min:, 28,34,43,50,60,67,75,83,93,102
2-hr:, 31,37,48,57,68,76,85,95,107,117
3-hr:, 33,40,51,60,72,81,91,101,115,127
6-hr:, 42,51,64,75,90,102,115,129,150,167
12-hr:, 52,63,79,93,112,129,148,168,199,226
24-hr:, 64,77,97,113,136,155,176,199,232,260
2-day:, 75,90,113,131,157,179,202,226,262,291
3-day:, 79,95,119,138,165,187,211,236,272,301
4-day:, 83,100,125,145,172,195,220,245,281,311
7-day:, 96,115,142,163,192,216,240,265,301,330
10-day:, 109,130,159,180,209,232,255,279,310,336
20-day:, 145,173,206,232,266,293,321,348,385,414
30-day:, 179,211,247,274,310,336,363,388,421,446
45-day:, 225,264,305,335,374,402,430,455,488,512
60-day:, 269,315,358,390,430,459,485,510,540,561

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,12,13,14,15,16
10-min:, 10,12,15,16,18,20,21,22,24,24
15-min:, 13,15,18,21,23,25,27,28,30,31
30-min:, 17,21,26,30,34,38,41,44,47,50
60-min:, 21,26,34,39,46,51,56,61,68,73
2-hr:, 25,30,39,46,54,61,67,73,81,87
3-hr:, 27,32,41,48,57,64,71,78,86,93
6-hr:, 33,39,50,58,69,77,86,95,107,116
12-hr:, 39,47,59,69,83,94,106,118,134,147
24-hr:, 52,63,79,93,111,126,142,159,182,201
2-day:, 62,74,93,108,129,145,163,181,206,225
3-day:, 66,80,99,115,137,154,172,191,217,237
4-day:, 71,85,106,122,145,163,182,201,228,249
7-day:, 83,99,122,140,164,184,203,223,249,270
10-day:, 95,114,138,157,181,200,219,238,262,281
20-day:, 129,153,182,204,234,257,279,302,330,351
30-day:, 160,188,220,244,275,298,320,341,367,386
45-day:, 202,238,274,301,335,360,383,405,431,449
60-day:, 244,286,326,355,390,415,438,459,484,501

Date/time (GMT):  Thu Feb 29 23:08:44 2024
pyRunTime:  0.009988069534301758
