Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.6848279 Degree
Longitude: -80.10872001 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,16,17,19,20,22,24
10-min:, 13,15,18,21,24,26,28,30,33,35
15-min:, 16,19,23,26,29,32,35,37,41,43
30-min:, 21,25,31,36,41,46,50,55,60,65
60-min:, 25,31,39,45,54,60,67,74,84,91
2-hr:, 29,35,45,52,62,69,78,86,98,107
3-hr:, 31,38,48,55,66,75,84,94,107,118
6-hr:, 37,45,56,65,78,89,100,112,129,143
12-hr:, 45,53,66,77,92,104,118,132,153,170
24-hr:, 53,63,78,89,106,119,134,149,170,187
2-day:, 61,73,89,101,119,133,148,164,185,202
3-day:, 66,79,95,108,127,141,156,172,194,211
4-day:, 71,85,101,115,134,149,165,181,202,220
7-day:, 87,103,122,137,157,173,190,206,228,245
10-day:, 100,118,139,155,177,194,211,228,251,268
20-day:, 141,166,192,212,239,260,280,299,325,344
30-day:, 178,208,239,262,293,317,340,362,390,411
45-day:, 230,269,304,332,367,392,417,440,469,490
60-day:, 279,325,365,395,433,461,487,512,541,563

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,25,26
10-min:, 14,17,20,23,26,28,31,33,36,38
15-min:, 17,21,25,28,32,35,38,41,45,48
30-min:, 23,28,34,39,46,50,55,60,67,72
60-min:, 28,34,43,50,59,66,74,81,92,101
2-hr:, 32,39,49,57,68,76,85,95,108,118
3-hr:, 35,42,53,61,73,83,93,103,118,130
6-hr:, 41,50,62,72,86,98,110,123,142,157
12-hr:, 50,59,74,85,101,115,129,145,168,186
24-hr:, 57,68,84,96,114,128,144,159,182,200
2-day:, 66,79,95,109,128,143,159,175,198,216
3-day:, 71,84,102,116,135,151,167,184,207,225
4-day:, 76,90,108,123,143,159,175,192,216,235
7-day:, 92,109,129,145,167,184,201,219,242,260
10-day:, 106,126,147,165,188,206,224,242,266,285
20-day:, 149,175,202,223,252,273,294,315,342,362
30-day:, 187,220,251,276,309,334,357,381,411,433
45-day:, 241,282,319,348,384,411,437,462,494,516
60-day:, 291,339,381,413,452,482,509,534,566,589

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,18,19,21
10-min:, 12,14,17,19,21,23,25,26,29,30
15-min:, 14,17,20,23,26,28,31,33,36,38
30-min:, 19,23,28,32,37,41,44,48,53,56
60-min:, 23,28,35,41,48,54,59,65,73,79
2-hr:, 26,32,40,47,55,62,69,76,86,93
3-hr:, 28,34,43,50,60,67,75,83,94,102
6-hr:, 34,41,51,59,70,79,88,98,112,122
12-hr:, 40,49,60,69,82,93,104,116,133,146
24-hr:, 49,59,72,83,98,110,123,135,154,168
2-day:, 57,68,83,95,111,123,137,150,168,182
3-day:, 62,74,89,101,118,131,145,159,177,191
4-day:, 67,79,95,108,125,139,153,167,186,200
7-day:, 82,97,115,128,147,162,177,191,210,225
10-day:, 95,112,131,147,167,182,198,213,233,248
20-day:, 134,157,182,201,226,245,263,281,303,320
30-day:, 169,198,227,249,278,300,321,341,366,385
45-day:, 220,257,290,316,349,373,396,417,443,462
60-day:, 267,311,349,379,415,441,465,487,515,534

Date/time (GMT):  Thu Feb 29 23:08:48 2024
pyRunTime:  0.04827141761779785
