Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.48401706 Degree
Longitude: -77.95862398 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,24
10-min:, 14,17,20,23,26,28,30,32,35,38
15-min:, 18,21,26,29,32,35,38,41,45,47
30-min:, 24,30,36,42,48,53,58,64,71,76
60-min:, 30,37,46,54,64,72,80,89,101,111
2-hr:, 36,44,55,65,78,89,100,113,130,145
3-hr:, 39,47,60,70,84,96,109,122,142,159
6-hr:, 49,59,73,86,104,120,136,154,181,204
12-hr:, 60,72,90,107,130,151,173,198,236,269
24-hr:, 70,84,108,128,160,187,217,252,304,350
2-day:, 81,98,126,149,183,212,245,281,335,381
3-day:, 86,105,133,158,194,225,259,297,354,402
4-day:, 92,111,141,167,205,238,274,314,373,424
7-day:, 107,128,161,189,231,266,304,346,408,460
10-day:, 121,146,181,210,252,287,324,364,421,469
20-day:, 162,193,233,265,309,344,381,418,471,512
30-day:, 198,234,278,313,359,396,433,471,522,561
45-day:, 248,293,342,379,428,465,501,536,581,614
60-day:, 292,344,396,436,487,525,561,595,638,670

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,26
10-min:, 16,19,22,25,28,31,33,36,39,42
15-min:, 20,24,28,32,36,39,42,45,49,52
30-min:, 27,33,40,46,53,59,64,70,78,84
60-min:, 34,41,51,60,70,79,88,98,112,123
2-hr:, 40,49,62,72,87,99,111,125,145,162
3-hr:, 44,54,67,79,95,108,122,137,159,178
6-hr:, 55,67,83,98,118,135,154,174,204,230
12-hr:, 68,82,102,121,147,170,195,223,265,303
24-hr:, 77,93,119,142,175,205,238,275,331,381
2-day:, 89,108,138,163,200,232,267,306,366,417
3-day:, 95,115,146,173,212,245,283,324,386,440
4-day:, 101,122,155,183,224,259,298,342,406,463
7-day:, 117,141,177,207,252,290,331,377,446,504
10-day:, 132,159,197,229,274,311,352,395,458,511
20-day:, 174,207,250,284,331,369,408,449,506,551
30-day:, 211,250,297,334,383,423,463,504,559,602
45-day:, 263,310,362,402,453,492,530,568,617,654
60-day:, 309,363,419,461,515,555,593,630,677,711

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,16,17,18,19,21
10-min:, 13,15,18,20,23,25,27,28,31,32
15-min:, 16,19,23,26,29,31,34,36,39,41
30-min:, 22,27,33,37,43,47,52,56,61,66
60-min:, 27,34,42,49,57,64,71,78,88,96
2-hr:, 32,39,49,58,69,78,88,98,112,123
3-hr:, 35,42,53,62,74,84,94,105,121,133
6-hr:, 43,52,65,76,91,104,117,132,152,169
12-hr:, 53,64,80,94,114,131,149,168,197,221
24-hr:, 64,77,99,117,144,168,193,221,263,299
2-day:, 74,90,115,136,166,191,219,248,292,328
3-day:, 79,96,122,144,176,203,232,263,309,347
4-day:, 84,102,130,153,186,215,245,278,326,366
7-day:, 98,118,148,173,210,240,273,308,358,400
10-day:, 112,134,167,193,230,261,293,327,374,412
20-day:, 151,180,217,246,286,318,350,382,427,461
30-day:, 186,220,261,293,336,369,402,435,478,512
45-day:, 233,275,321,356,401,435,467,498,538,567
60-day:, 277,325,375,412,460,494,527,557,595,622

Date/time (GMT):  Thu Feb 29 23:08:50 2024
pyRunTime:  0.01132965087890625
