Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.37167069 Degree
Longitude: -75.10660259 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,34,37,39,42,44
30-min:, 24,29,35,41,47,52,57,61,67,72
60-min:, 30,37,45,53,62,70,78,86,96,105
2-hr:, 37,44,55,65,77,87,97,108,122,134
3-hr:, 40,48,60,71,85,97,109,121,138,153
6-hr:, 49,59,73,87,105,121,137,155,180,202
12-hr:, 59,71,89,106,130,152,176,201,239,274
24-hr:, 68,83,107,128,161,189,221,257,312,360
2-day:, 78,95,124,148,185,217,252,292,353,405
3-day:, 82,100,129,154,192,224,260,301,361,413
4-day:, 86,105,135,161,199,232,269,309,370,422
7-day:, 100,120,152,179,220,254,292,333,394,446
10-day:, 112,134,167,195,234,267,302,340,398,448
20-day:, 151,179,217,247,290,324,359,396,447,488
30-day:, 187,222,264,298,344,381,417,455,506,545
45-day:, 238,281,329,366,414,451,486,521,567,600
60-day:, 285,335,387,426,476,513,548,581,622,651

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,35,39,42,44,48,51
30-min:, 27,33,40,46,53,58,64,69,76,82
60-min:, 34,41,51,59,70,79,88,97,109,119
2-hr:, 42,51,63,74,88,100,112,124,141,156
3-hr:, 46,55,69,81,97,110,125,140,160,178
6-hr:, 57,68,84,100,121,139,158,179,209,235
12-hr:, 69,82,102,122,149,174,202,232,277,318
24-hr:, 77,93,121,145,181,212,247,287,347,400
2-day:, 88,107,138,165,206,241,281,325,392,450
3-day:, 91,111,143,170,211,247,286,330,396,454
4-day:, 95,115,148,175,217,252,291,335,400,457
7-day:, 109,131,166,195,238,275,315,360,426,482
10-day:, 121,146,181,211,253,288,326,367,429,484
20-day:, 161,192,232,265,310,346,384,423,478,522
30-day:, 199,236,281,317,366,404,443,483,538,580
45-day:, 252,297,348,387,438,476,515,552,600,637
60-day:, 300,354,409,450,502,541,577,613,657,689

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 12,15,17,20,22,24,25,27,29,30
15-min:, 16,19,22,25,28,30,32,34,36,38
30-min:, 21,26,31,36,41,45,49,53,57,61
60-min:, 27,32,40,47,55,61,68,74,82,89
2-hr:, 32,38,48,56,66,75,83,92,102,111
3-hr:, 35,42,52,61,73,83,92,102,115,126
6-hr:, 43,52,64,75,90,104,117,130,148,164
12-hr:, 52,62,77,92,112,130,148,168,195,218
24-hr:, 60,74,95,114,141,165,191,220,263,300
2-day:, 70,85,110,131,163,190,219,252,300,340
3-day:, 74,90,117,139,171,199,230,263,312,353
4-day:, 79,96,123,146,180,209,240,275,324,366
7-day:, 92,111,141,165,201,231,264,299,350,392
10-day:, 103,124,155,180,215,244,275,308,356,398
20-day:, 141,167,202,230,269,299,331,363,408,442
30-day:, 176,208,248,279,322,355,388,422,466,499
45-day:, 224,265,310,344,389,423,456,487,528,557
60-day:, 269,317,367,404,450,484,516,546,583,610

Date/time (GMT):  Thu Feb 29 23:08:52 2024
pyRunTime:  0.010313749313354492
